test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/springframework/data/redis/core/RedisKeyValueTemplateTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,88,0,0,0,0,0,0.0,0.0,1.794,0.0,1,1,1,1,17,3,13,0,8,2,0,57,57,33,36,35,1,0,0,34,977,237,704,228,507,69,465,515,180,335,8,8,8,8,1,0.1,64,64,64,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/core/RedisKeyValueAdapterTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,58,0,0,0,0,0,0.0,0.0,0.16,0.0,1,1,1,1,14,3,10,0,8,4,1,39,37,34,25,38,0,2,0,36,767,210,519,213,324,77,368,417,163,254,3,3,3,1,2,0.15,43,43,44,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/repository/configuration/RedisRepositoryConfigurationUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,3,0,0,0,0,0,0.0,0.0,0.555,0.0,1,1,1,1,5,1,4,0,7,1,0,7,7,6,3,7,4,0,0,3,139,26,95,69,18,21,49,63,50,13,1,1,1,1,0,0.22,7,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/core/RedisKeyValueAdapterUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,6,0,0,0,0,0,0.0,0.0,0.529,0.0,1,1,1,1,13,4,9,0,3,0,0,8,8,8,7,8,0,0,0,8,199,49,129,67,60,27,92,103,54,49,1,1,1,1,0,0.21,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/repository/support/QueryByExampleRedisExecutorTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,8,0,0,0,0,0,0.0,0.0,0.038,0.0,1,1,1,1,8,2,6,0,3,0,0,15,15,13,11,13,0,1,0,12,229,55,153,97,71,29,94,110,72,38,1,1,1,1,0,0.19,15,15,15,15,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/repository/configuration/RedisRepositoryConfigurationExtensionUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,7,0,0,0,0,0,0.0,0.0,0.04,0.0,1,1,1,1,6,1,5,0,8,2,0,13,13,11,7,13,0,5,0,8,192,47,123,74,42,29,56,81,58,23,3,3,3,3,2,0.24,16,16,16,15,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/repository/RedisRepositoryIntegrationTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,22,0,0,0,0,0,0.0,0.0,0.213,0.0,1,1,1,1,11,3,7,0,2,0,0,4,4,4,1,4,1,1,0,2,117,25,73,53,22,20,49,55,41,14,1,1,1,1,0,0.27,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/repository/RedisRepositoryClusterIntegrationTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,1,0,0,0,0,0,0.0,0.0,0.006,0.0,1,1,1,1,12,4,8,0,2,0,2,1,1,1,0,1,1,0,0,0,74,12,40,34,9,22,25,28,25,3,1,1,1,1,0,0.55,1,1,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/core/convert/BinaryKeyspaceIdentifierUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,7,1,6,0,1,0,0,4,4,4,0,4,0,0,0,4,67,11,36,14,17,24,20,25,10,15,1,1,1,1,0,0.67,4,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/core/convert/MappingRedisConverterUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,126,0,0,0,0,0,0.0,0.0,1.244,0.0,1,1,1,1,11,2,8,0,6,0,0,137,137,137,10,137,3,2,0,132,1945,553,1370,574,893,179,813,962,407,555,4,4,5,1,1,0.13,143,143,145,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
