test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,time_0,failures_%,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/apache/commons/text/similarity/JaroWinklerDistanceTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,4.0,0.0,1.0,0.0,0.0,0.0,0.114,0.0,0.001,0.358616769,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,8.0,8.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,73.0,10.0,44.0,17.0,21.0,19.0,23.0,29.0,12.0,17.0,1.0,1.0,1.0,1.0,0.0,0.43,8.0,8.0,8.0,8.0,0,1,2,5,0,1,1
org/apache/commons/text/similarity/ParameterizedSimilarityScoreFromTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,4.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.006999999999999999,0.62934736,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,60.0,7.0,32.0,13.0,16.0,21.0,10.0,14.0,11.0,3.0,1.0,1.0,3.0,1.0,0.0,0.66,3.0,3.0,5.0,3.0,0,1,0,1,0,1,1
SMOTE,4464ac0190dbf4bd3c244103608c4910376864ac,2.0,0.0,0.0,0.0,0.0,1.0,0.005569754160423369,0.9086049167915327,0.011000000000000001,0.28031463286687014,1.0,1.0,1.0,1.0,15.0,0.0,14.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,64.0,6.0,38.0,19.0,23.0,19.0,23.0,27.0,14.0,13.0,1.0,1.0,1.0,1.0,0.0,0.6078030294975615,2.0,2.0,2.0,2.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
org/apache/commons/text/similarity/StringMetricFromTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,3.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.122,0.62919358,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,66.0,9.0,38.0,23.0,20.0,19.0,22.0,29.0,20.0,9.0,3.0,3.0,4.0,1.0,2.0,0.5,6.0,6.0,7.0,4.0,0,0,0,0,0,0,0
SMOTE,4464ac0190dbf4bd3c244103608c4910376864ac,2.0,0.0,0.0,0.0,0.0,1.0,0.0045629306614484826,0.9608469157691053,0.018399932912239157,0.3029451497996182,1.0,1.0,1.0,1.0,18.0,0.0,16.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,64.0,5.0,38.0,18.0,23.0,20.0,25.0,29.0,13.0,15.0,1.0,1.0,1.0,1.0,0.0,0.6773348987144197,3.0,3.0,3.0,2.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
org/apache/commons/text/similarity/LevenshteinDistanceTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,9.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.628426532,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,1.0,15.0,15.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,144.0,25.0,89.0,24.0,56.0,30.0,60.0,70.0,15.0,55.0,1.0,1.0,1.0,1.0,0.0,0.34,15.0,15.0,15.0,15.0,0,1,0,1,0,1,1
org/apache/commons/text/similarity/ParameterizedLevenshteinDistanceTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,38.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.055,0.629128981,1.0,1.0,1.0,1.0,34.0,5.0,23.0,5.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,104.0,18.0,56.0,13.0,41.0,30.0,9.0,12.0,10.0,2.0,1.0,1.0,1.0,1.0,0.0,0.54,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0
org/apache/commons/text/similarity/ParameterizedEditDistanceFromTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,10.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.073,0.62980111,1.0,1.0,1.0,1.0,11.0,1.0,10.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,69.0,11.0,37.0,13.0,21.0,21.0,10.0,14.0,11.0,3.0,1.0,1.0,3.0,1.0,0.0,0.57,3.0,3.0,5.0,3.0,0,0,0,0,0,0,0
SMOTE,4464ac0190dbf4bd3c244103608c4910376864ac,2.0,0.0,0.0,0.0,0.0,1.0,0.0031751769520137847,0.976096956547374,0.01551767520802863,0.31646909087831093,1.0,1.0,1.0,1.0,20.0,0.0,17.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,59.0,4.0,33.0,13.0,21.0,20.0,23.0,26.0,10.0,15.0,1.0,1.0,1.0,1.0,0.0,0.7445875784793319,2.0,2.0,2.0,2.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
org/apache/commons/text/lookup/InterpolatorStringLookupTest.java,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1.0,2.0,3.0,5.0,5.0,3.0,0.0,5.0,0.0,1.0,0.0,4.0,95.0,11.0,68.0,33.0,40.0,16.0,52.0,58.0,29.0,29.0,1.0,1.0,1.0,1.0,0.0,0.24,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0
