test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/springframework/data/redis/core/RedisKeyValueTemplateTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794,0.0,1.0,1.0,1.0,1.0,17.0,3.0,13.0,0.0,8.0,2.0,0.0,57.0,57.0,33.0,36.0,35.0,1.0,0.0,0.0,34.0,977.0,237.0,704.0,228.0,507.0,69.0,465.0,515.0,180.0,335.0,8.0,8.0,8.0,8.0,1.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMOTE,322cfabb17eb93c492dce96cf0ea5134948d61a6,1710.0,0.0,0.0,22.0,22.0,1.0,0.02631578947368421,1.1929871633372737,1.36697994271449,21.125615907292218,1.0,1.0,1.0,1.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,46.0,5.0,15.0,8.0,4.0,26.0,7.0,11.0,8.0,3.0,1.0,1.0,1.0,1.0,0.0,1.73,3.0,3.0,3.0,3.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
org/springframework/data/redis/core/RedisKeyValueAdapterTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,1.0,1.0,1.0,1.0,14.0,3.0,10.0,0.0,8.0,4.0,1.0,39.0,37.0,34.0,25.0,38.0,0.0,2.0,0.0,36.0,767.0,210.0,519.0,213.0,324.0,77.0,368.0,417.0,163.0,254.0,3.0,3.0,3.0,1.0,2.0,0.15,43.0,43.0,44.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/repository/configuration/RedisRepositoryConfigurationUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555,0.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,0.0,7.0,1.0,0.0,7.0,7.0,6.0,3.0,7.0,4.0,0.0,0.0,3.0,139.0,26.0,95.0,69.0,18.0,21.0,49.0,63.0,50.0,13.0,1.0,1.0,1.0,1.0,0.0,0.22,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/core/RedisKeyValueAdapterUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529,0.0,1.0,1.0,1.0,1.0,13.0,4.0,9.0,0.0,3.0,0.0,0.0,8.0,8.0,8.0,7.0,8.0,0.0,0.0,0.0,8.0,199.0,49.0,129.0,67.0,60.0,27.0,92.0,103.0,54.0,49.0,1.0,1.0,1.0,1.0,0.0,0.21,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/repository/support/QueryByExampleRedisExecutorTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,1.0,1.0,1.0,1.0,8.0,2.0,6.0,0.0,3.0,0.0,0.0,15.0,15.0,13.0,11.0,13.0,0.0,1.0,0.0,12.0,229.0,55.0,153.0,97.0,71.0,29.0,94.0,110.0,72.0,38.0,1.0,1.0,1.0,1.0,0.0,0.19,15.0,15.0,15.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/repository/configuration/RedisRepositoryConfigurationExtensionUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,8.0,2.0,0.0,13.0,13.0,11.0,7.0,13.0,0.0,5.0,0.0,8.0,192.0,47.0,123.0,74.0,42.0,29.0,56.0,81.0,58.0,23.0,3.0,3.0,3.0,3.0,2.0,0.24,16.0,16.0,16.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
SMOTE,322cfabb17eb93c492dce96cf0ea5134948d61a6,819.0,18.0,18.0,18.0,18.0,1.0,0.02197802197802198,2.15006510059455,2.417051818546452,5.13429876079729,1.0,1.0,1.0,1.0,10.0,1.0,9.0,0.0,13.0,2.0,0.0,79.0,79.0,61.0,3.0,63.0,0.0,1.0,0.0,62.0,833.0,144.0,654.0,295.0,440.0,48.0,419.0,488.0,232.0,256.0,2.0,2.0,3.0,1.0,1.0,0.07,85.0,85.0,94.0,79.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
org/springframework/data/redis/repository/RedisRepositoryIntegrationTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.0,1.0,1.0,1.0,1.0,11.0,3.0,7.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,0.0,2.0,117.0,25.0,73.0,53.0,22.0,20.0,49.0,55.0,41.0,14.0,1.0,1.0,1.0,1.0,0.0,0.27,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/repository/RedisRepositoryClusterIntegrationTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,1.0,1.0,1.0,1.0,12.0,4.0,8.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,74.0,12.0,40.0,34.0,9.0,22.0,25.0,28.0,25.0,3.0,1.0,1.0,1.0,1.0,0.0,0.55,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/core/convert/BinaryKeyspaceIdentifierUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,67.0,11.0,36.0,14.0,17.0,24.0,20.0,25.0,10.0,15.0,1.0,1.0,1.0,1.0,0.0,0.67,4.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/core/convert/MappingRedisConverterUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244,0.0,1.0,1.0,1.0,1.0,11.0,2.0,8.0,0.0,6.0,0.0,0.0,137.0,137.0,137.0,10.0,137.0,3.0,2.0,0.0,132.0,1945.0,553.0,1370.0,574.0,893.0,179.0,813.0,962.0,407.0,555.0,4.0,4.0,5.0,1.0,1.0,0.13,143.0,143.0,145.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/core/IndexWriterUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,1.0,1.0,1.0,1.0,8.0,2.0,6.0,0.0,4.0,0.0,4.0,15.0,15.0,15.0,4.0,15.0,0.0,0.0,0.0,15.0,216.0,54.0,143.0,74.0,63.0,30.0,81.0,99.0,60.0,39.0,1.0,1.0,1.0,1.0,0.0,0.21,15.0,15.0,15.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
SMOTE,322cfabb17eb93c492dce96cf0ea5134948d61a6,1710.0,42.0,42.0,42.0,42.0,1.0,0.02631578947368421,1.313516135154188,1.3666487466250619,4.731223871355185,1.0,1.0,1.0,1.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,46.0,5.0,15.0,8.0,4.0,26.0,7.0,11.0,8.0,3.0,1.0,1.0,1.0,1.0,0.0,1.73,3.0,3.0,3.0,3.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
org/springframework/data/redis/core/convert/KeyspaceIdentifierUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,65.0,11.0,34.0,14.0,15.0,24.0,20.0,25.0,10.0,15.0,1.0,1.0,1.0,1.0,0.0,0.71,4.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/mapping/ObjectHashMapperTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027000000000000003,0.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,60.0,13.0,28.0,20.0,9.0,22.0,15.0,20.0,17.0,3.0,1.0,1.0,1.0,1.0,0.0,0.79,4.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/core/RedisKeyExpiredEventUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,46.0,7.0,19.0,9.0,7.0,22.0,10.0,13.0,7.0,6.0,1.0,1.0,1.0,1.0,0.0,1.16,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
SMOTE,322cfabb17eb93c492dce96cf0ea5134948d61a6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.20747681089411207,0.19849052258313993,23.7792627098705,1.0,1.0,1.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,61.0,11.0,30.0,19.0,8.0,20.0,18.0,21.0,15.0,6.0,1.0,1.0,1.0,1.0,0.0,0.6942458571034669,3.0,3.0,3.0,3.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,322cfabb17eb93c492dce96cf0ea5134948d61a6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003847805617689891,0.0006152194382310109,2.180165601189094,1.0,1.0,1.0,1.0,5.0,1.0,4.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,66.0,13.0,33.0,21.0,10.0,21.0,20.0,24.0,17.0,7.0,1.0,1.0,1.0,1.0,0.0,0.64,4.0,4.0,4.0,4.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
