test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,time_0,failures_%,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/apache/commons/bcel6/generic/FieldAnnotationsTestCase.java,294b5827154e60ccde947a7c850a98104d670041,3,0,0,0,0,0,0,0,0.01,0,3,3,3,1,21,0,18,2,1,0,0,6,6,6,0,6,0,1,0,5,167,9,125,36,73,34,55,76,32,44,9,9,9,3,3,0.27,19,19,19,8,0,0,0,0,0,0,0
org/apache/commons/bcel6/generic/GeneratingAnnotatedClassesTestCase.java,294b5827154e60ccde947a7c850a98104d670041,9,0,0,0,0,0,0,0,0.052,0,1,1,1,1,24,0,19,5,1,0,0,24,24,24,0,24,0,11,0,13,700,28,512,201,365,173,298,337,181,156,5,5,5,1,3,0.34,35,35,35,24,0,0,0,0,0,0,0
org/apache/commons/bcel6/PerformanceTest.java,294b5827154e60ccde947a7c850a98104d670041,1,0,0,0,0,0,0,0,5.917,0,3,3,3,1,28,2,25,0,2,2,0,4,4,2,0,4,0,2,0,2,148,19,112,44,75,17,76,93,45,48,6,6,6,3,4,0.15,15,15,15,6,0,0,0,0,0,0,0
org/apache/commons/bcel6/PLSETestCase.java,294b5827154e60ccde947a7c850a98104d670041,2,0,0,0,0,0,0,0,0.001,0,1,1,1,1,16,0,11,5,1,0,0,2,2,2,0,2,0,0,0,2,65,4,33,23,16,28,24,27,23,4,1,1,1,1,0,0.85,2,2,2,2,0,0,0,0,0,0,0
org/apache/commons/bcel6/ElementValueGenTestCase.java,294b5827154e60ccde947a7c850a98104d670041,11,0,0,0,0,0,0,0,0.001,0,1,1,1,1,14,0,11,2,1,0,0,13,13,13,0,13,0,2,0,11,241,16,171,87,109,56,92,108,77,31,3,3,3,1,2,0.33,15,15,15,13,0,0,0,0,0,0,0
org/apache/commons/bcel6/generic/AnnotationGenTestCase.java,294b5827154e60ccde947a7c850a98104d670041,2,0,0,0,0,0,0,0,0,0,3,3,3,1,31,0,27,4,1,0,0,4,4,4,0,4,0,2,0,2,173,7,132,62,78,34,76,92,60,32,6,6,6,1,3,0.26,13,13,13,4,0,1,0,1,0,1,1
org/apache/commons/bcel6/CounterVisitorTestCase.java,294b5827154e60ccde947a7c850a98104d670041,37,0,0,0,0,0,0,0,0.008,0,1,1,1,1,4,0,4,0,1,0,0,38,38,38,0,38,0,0,1,37,215,40,158,42,38,17,40,79,41,38,1,1,1,1,0,0.11,38,38,38,38,0,0,0,0,0,0,0
org/apache/commons/bcel6/generic/MethodGenTestCase.java,294b5827154e60ccde947a7c850a98104d670041,2,0,0,0,0,0,0,0,0.001,0,1,1,1,1,14,1,11,0,2,0,0,4,4,4,0,4,0,1,0,3,95,16,61,28,36,18,44,53,28,25,3,3,3,3,2,0.3,6,6,6,6,0,0,0,0,0,0,0
org/apache/commons/bcel6/InstructionFinderTestCase.java,294b5827154e60ccde947a7c850a98104d670041,1,0,0,0,0,0,0,0,0.007,0,5,5,6,3,32,4,28,0,1,0,0,1,1,1,0,1,0,0,0,1,63,7,39,19,18,17,22,30,21,9,5,5,6,3,2,0.44,5,5,6,3,0,0,0,0,0,0,0
org/apache/commons/bcel6/AnnotationDefaultAttributeTestCase.java,294b5827154e60ccde947a7c850a98104d670041,1,0,0,0,0,0,0,0,0,0,1,1,1,1,17,0,12,5,1,0,0,1,1,1,0,1,0,0,0,1,46,3,21,13,9,22,12,14,12,2,1,1,1,1,0,1.05,1,1,1,1,0,1,0,1,0,1,1
org/apache/commons/bcel6/EnumAccessFlagTestCase.java,294b5827154e60ccde947a7c850a98104d670041,1,0,0,0,0,0,0,0,0,0,1,1,1,1,16,0,11,5,1,0,0,1,1,1,0,1,0,0,0,1,41,3,16,5,8,22,6,8,5,3,1,1,1,1,0,1.38,1,1,1,1,0,1,0,1,0,1,1
org/apache/commons/bcel6/EnclosingMethodAttributeTestCase.java,294b5827154e60ccde947a7c850a98104d670041,3,0,0,0,0,0,0,0,0.003,0,1,1,1,1,25,0,20,4,1,0,0,3,3,3,0,3,0,0,0,3,110,6,74,35,50,31,40,44,32,12,1,1,1,1,0,0.42,3,3,3,3,0,0,0,0,0,0,0
org/apache/commons/bcel6/AnonymousClassTestCase.java,294b5827154e60ccde947a7c850a98104d670041,4,0,0,0,0,0,0,0,0,0,1,1,1,1,7,0,7,0,1,0,0,4,4,4,0,4,0,0,0,4,58,6,35,14,15,17,14,19,11,8,1,1,1,1,0,0.49,4,4,4,4,0,1,0,1,0,1,1
