test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,time_0,failures_%,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
redis/clients/jedis/tests/commands/ClusterBinaryJedisCommandsTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,13,0,0,0,0,0,0,0,0.034,0,1,1,2,1,12,0,11,0,1,2,2,11,11,9,6,11,0,2,0,9,190,24,162,74,99,4,103,128,65,63,4,4,5,3,2,0.02,21,21,23,13,0,0,0,0,0,0,0
redis/clients/jedis/tests/JedisClusterTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,39,0,0,0,0,0,0,0,0.038,0,2,2,2,1,16,1,13,0,2,2,4,26,26,24,6,26,0,3,0,23,500,75,403,130,280,22,259,317,114,203,5,5,5,4,3,0.05,53,53,53,33,0,0,0,0,0,0,0
redis/clients/jedis/tests/commands/ClusterCommandsTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,25,0,0,0,0,0,0,0,0.003,0,1,1,1,1,6,0,6,0,1,1,2,15,15,14,2,15,0,0,0,15,157,27,126,67,63,4,75,94,53,41,3,3,3,1,2,0.03,17,17,17,15,0,0,0,0,0,0,0
redis/clients/jedis/tests/commands/ClusterScriptingCommandsTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,19,0,0,0,0,0,0,0,0.035,0,1,1,1,1,10,0,9,0,1,2,2,14,14,12,6,14,0,2,0,12,209,27,178,92,99,4,113,137,74,63,4,4,5,3,2,0.02,22,22,24,16,0,0,0,0,0,0,0
redis/clients/jedis/tests/commands/ListCommandsTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,18,0,0,0,0,0,0,0,0.006,0,1,1,1,1,25,5,19,0,3,0,0,20,20,20,12,20,0,0,0,20,580,135,428,109,358,17,354,379,93,286,3,3,3,1,1,0.04,24,24,24,20,0,0,0,0,0,0,0
redis/clients/jedis/tests/ShardedJedisPipelineTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,5,0,0,0,0,0,0,0,0,0,1,1,1,1,18,1,16,0,1,0,2,6,6,6,1,6,0,0,0,6,156,25,131,70,87,0,111,118,64,54,1,1,1,1,0,0,6,6,6,6,0,1,0,1,0,1,1
redis/clients/jedis/tests/commands/SlowlogCommandsTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,1,0,0,0,0,0,0,0,0,0,1,1,1,1,36,9,26,1,1,0,0,1,1,1,0,1,0,0,0,1,48,14,33,16,24,1,28,30,15,15,1,1,1,1,0,0.03,1,1,1,1,0,1,0,1,0,1,1
redis/clients/jedis/tests/ShardedJedisTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,10,0,0,0,0,0,0,0,0.076,0,2,2,2,1,26,2,22,1,1,0,2,11,11,11,0,11,0,1,0,10,330,43,272,109,212,19,209,235,100,135,5,3,8,3,2,0.07,26,22,32,13,0,0,0,0,0,0,0
redis/clients/jedis/tests/commands/StringValuesCommandsTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,23,0,0,0,0,0,0,0,0.005,0,1,1,1,1,6,0,6,0,1,0,0,23,23,23,0,23,0,0,0,23,214,37,177,72,101,0,106,130,49,81,1,1,2,1,0,0,23,23,25,23,0,0,0,0,0,0,0
redis/clients/jedis/tests/JedisSentinelPoolTest.java,61a7065555c46f565277dc4971ae7d2809f95e92,8,0,0,0,0,0,0,0,0.031,0,1,1,1,1,13,1,10,0,1,0,7,12,12,12,1,12,0,3,0,9,210,44,161,80,104,5,103,123,62,61,4,4,4,3,2,0.03,17,17,17,14,0,0,0,0,0,0,0
