Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;112180;1000;0;2016-01-12 09:17:00;[1];0;1
2;112180;1000;0;2016-01-12 09:39:00;[0, 1];0;1
3;112175;39050;0;2016-01-12 10:32:00;[0];0;1
4;112180;1000;0;2016-01-12 10:34:00;[0, 0, 1];0;1
5;112284;47131;0;2016-01-12 10:38:00;[0];0;1
6;112289;39057;0;2016-01-12 10:39:00;[0];0;1
7;112433;45758;0;2016-01-13 12:15:00;[1];0;2
8;112461;24265;0;2016-01-13 13:34:00;[0];0;3
9;112175;39050;0;2016-01-13 16:53:00;[0, 0];0;3
10;112180;1000;0;2016-01-13 16:55:00;[0, 0, 0, 1];0;3
11;112284;47131;0;2016-01-13 16:58:00;[0, 0];0;3
12;112289;39057;0;2016-01-13 17:00:00;[0, 0];0;3
13;112433;45758;0;2016-01-13 17:02:00;[0, 1];0;3
14;112461;24265;0;2016-01-13 17:05:00;[0, 0];0;3
15;112464;46944;0;2016-01-13 17:08:00;[0];0;3
16;112471;45700;0;2016-01-13 17:13:00;[0];0;3
17;112472;21643;0;2016-01-13 17:16:00;[0];0;3
18;112473;45545;0;2016-01-13 17:20:00;[0];0;3
19;112477;19658;0;2016-01-13 17:24:00;[0];0;3
20;112478;8620;0;2016-01-13 17:26:00;[0];0;3
21;112479;38936;0;2016-01-13 17:30:00;[0];0;3
22;112480;11597;0;2016-01-13 17:34:00;[0];0;3
23;112481;43986;0;2016-01-13 17:38:00;[0];0;3
24;112482;15059;0;2016-01-13 17:41:00;[0];0;3
25;112483;45698;0;2016-01-13 17:44:00;[0];0;3
26;112484;42900;0;2016-01-13 17:47:00;[0];0;3
27;112485;11252;0;2016-01-13 17:50:00;[0];0;3
28;112486;2355;0;2016-01-13 17:55:00;[0];0;3
29;112487;15614;0;2016-01-13 17:58:00;[0];0;3
30;112488;42004;0;2016-01-13 18:01:00;[0];0;3
31;112489;41863;0;2016-01-13 18:04:00;[0];0;3
32;112490;18615;0;2016-01-13 18:07:00;[0];0;3
33;112491;6562;0;2016-01-13 18:12:00;[0];0;3
34;112492;42023;0;2016-01-13 18:15:00;[1];1;3
35;112492;42023;0;2016-01-14 09:50:00;[1, 1];0;3
36;112491;6562;0;2016-01-14 14:05:00;[0, 0];0;4
37;112491;6562;0;2016-01-14 14:59:00;[0, 0, 0];0;4
38;112471;45700;0;2016-01-14 17:12:00;[0, 0];0;4
39;112471;45700;0;2016-01-14 17:35:00;[0, 0, 0];0;4
40;112175;39050;0;2016-01-14 17:43:00;[0, 0, 0];0;4
41;112180;1000;0;2016-01-14 17:45:00;[0, 0, 0, 0, 1];0;4
42;112284;47131;0;2016-01-14 17:47:00;[0, 0, 0];0;4
43;112289;39057;0;2016-01-14 17:49:00;[0, 0, 0];0;4
44;112433;45758;0;2016-01-14 17:51:00;[0, 0, 1];0;4
45;112461;24265;0;2016-01-14 17:54:00;[0, 0, 0];0;4
46;112464;46944;0;2016-01-14 17:57:00;[0, 0];0;4
47;112471;45700;0;2016-01-14 18:02:00;[0, 0, 0, 0];0;4
48;112472;21643;0;2016-01-14 18:05:00;[0, 0];0;4
49;112473;45545;0;2016-01-14 18:09:00;[0, 0];0;4
50;112477;19658;0;2016-01-14 18:13:00;[0, 0];0;4
51;112478;8620;0;2016-01-14 18:16:00;[0, 0];0;4
52;112479;38936;0;2016-01-14 18:19:00;[0, 0];0;4
53;112480;11597;0;2016-01-14 18:23:00;[0, 0];0;4
54;112481;43986;0;2016-01-14 18:27:00;[0, 0];0;4
55;112482;15059;0;2016-01-14 18:30:00;[0, 0];0;4
56;112483;45698;0;2016-01-14 18:34:00;[0, 0];0;4
57;112484;42900;0;2016-01-14 18:37:00;[0, 0];0;4
58;112485;11252;0;2016-01-14 18:39:00;[0, 0];0;4
59;112486;2355;0;2016-01-14 18:44:00;[0, 0];0;4
60;112487;15614;0;2016-01-14 18:47:00;[0, 0];0;4
61;112488;42004;0;2016-01-14 18:50:00;[0, 0];0;4
62;112489;41863;0;2016-01-14 18:53:00;[0, 0];0;4
63;112490;18615;0;2016-01-14 18:55:00;[0, 0];0;4
64;112491;6562;0;2016-01-14 19:00:00;[0, 0, 0, 0];0;4
65;112492;42023;0;2016-01-14 19:04:00;[0, 1, 1];0;4
66;112472;21643;0;2016-01-14 19:25:00;[0, 0, 0];0;4
67;112472;21643;0;2016-01-14 20:23:00;[0, 0, 0, 0];0;4
68;112175;39050;0;2016-01-14 23:01:00;[0, 0, 0, 0];0;4
69;112180;1000;0;2016-01-14 23:03:00;[0, 0, 0, 0, 0, 1];0;4
70;112284;47131;0;2016-01-14 23:06:00;[0, 0, 0, 0];0;4
71;112289;39057;0;2016-01-14 23:08:00;[0, 0, 0, 0];0;4
72;112433;45758;0;2016-01-14 23:10:00;[0, 0, 0, 1];0;4
73;112461;24265;0;2016-01-14 23:13:00;[0, 0, 0, 0];0;4
74;112464;46944;0;2016-01-14 23:16:00;[0, 0, 0];0;4
75;112471;45700;0;2016-01-14 23:20:00;[0, 0, 0, 0, 0];0;4
76;112472;21643;0;2016-01-14 23:24:00;[0, 0, 0, 0, 0];0;4
77;112473;45545;0;2016-01-14 23:28:00;[0, 0, 0];0;4
78;112477;19658;0;2016-01-14 23:32:00;[0, 0, 0];0;4
79;112478;8620;0;2016-01-14 23:35:00;[0, 0, 0];0;4
80;112479;38936;0;2016-01-14 23:39:00;[0, 0, 0];0;4
81;112480;11597;0;2016-01-14 23:42:00;[0, 0, 0];0;4
82;112481;43986;0;2016-01-14 23:46:00;[0, 0, 0];0;4
83;112482;15059;0;2016-01-14 23:49:00;[0, 0, 0];0;4
84;112483;45698;0;2016-01-14 23:52:00;[0, 0, 0];0;4
85;112484;42900;0;2016-01-14 23:55:00;[0, 0, 0];0;4
86;112485;11252;0;2016-01-14 23:58:00;[0, 0, 0];0;4
87;112486;2355;0;2016-01-15 00:03:00;[0, 0, 0];0;4
88;112487;15614;0;2016-01-15 00:06:00;[0, 0, 0];0;4
89;112488;42004;0;2016-01-15 00:08:00;[0, 0, 0];0;4
90;112489;41863;0;2016-01-15 00:11:00;[0, 0, 0];0;4
91;112490;18615;0;2016-01-15 00:14:00;[0, 0, 0];0;4
92;112491;6562;0;2016-01-15 00:18:00;[0, 0, 0, 0, 0];0;4
93;112492;42023;0;2016-01-15 00:22:00;[0, 0, 1, 1];1;4
94;112175;39050;0;2016-01-15 23:01:00;[0, 0, 0, 0, 0];0;5
95;112180;1000;0;2016-01-15 23:03:00;[0, 0, 0, 0, 0, 0, 1];0;5
96;112284;47131;0;2016-01-15 23:06:00;[0, 0, 0, 0, 0];0;5
97;112289;39057;0;2016-01-15 23:08:00;[0, 0, 0, 0, 0];0;5
98;112433;45758;0;2016-01-15 23:10:00;[0, 0, 0, 0, 1];0;5
99;112461;24265;0;2016-01-15 23:13:00;[0, 0, 0, 0, 0];0;5
100;112464;46944;0;2016-01-15 23:16:00;[0, 0, 0, 0];0;5
101;112471;45700;0;2016-01-15 23:22:00;[0, 0, 0, 0, 0, 0];0;5
102;112472;21643;0;2016-01-15 23:24:00;[0, 0, 0, 0, 0, 0];0;5
103;112473;45545;0;2016-01-15 23:28:00;[0, 0, 0, 0];0;5
104;112477;19658;0;2016-01-15 23:32:00;[0, 0, 0, 0];0;5
105;112478;8620;0;2016-01-15 23:35:00;[0, 0, 0, 0];0;5
106;112479;38936;0;2016-01-15 23:39:00;[0, 0, 0, 0];0;5
107;112480;11597;0;2016-01-15 23:42:00;[0, 0, 0, 0];0;5
108;112481;43986;0;2016-01-15 23:47:00;[0, 0, 0, 0];0;5
109;112482;15059;0;2016-01-15 23:50:00;[0, 0, 0, 0];0;5
110;112483;45698;0;2016-01-15 23:53:00;[0, 0, 0, 0];0;5
111;112484;42900;0;2016-01-15 23:56:00;[0, 0, 0, 0];0;5
112;112485;11252;0;2016-01-15 23:59:00;[0, 0, 0, 0];0;5
113;112486;2355;0;2016-01-16 00:04:00;[0, 0, 0, 0];0;5
114;112487;15614;0;2016-01-16 00:07:00;[0, 0, 0, 0];0;5
115;112488;42004;0;2016-01-16 00:10:00;[0, 0, 0, 0];0;5
116;112489;41863;0;2016-01-16 00:13:00;[0, 0, 0, 0];0;5
117;112490;18615;0;2016-01-16 00:16:00;[0, 0, 0, 0];0;5
118;112491;6562;0;2016-01-16 00:21:00;[0, 0, 0, 0, 0, 0];0;5
119;112492;42023;0;2016-01-16 00:24:00;[1, 0, 0, 1, 1];0;6
120;112175;39050;0;2016-01-16 23:01:00;[0, 0, 0, 0, 0, 0];0;6
121;112180;1000;0;2016-01-16 23:03:00;[0, 0, 0, 0, 0, 0, 0, 1];0;6
122;112284;47131;0;2016-01-16 23:05:00;[0, 0, 0, 0, 0, 0];0;6
123;112289;39057;0;2016-01-16 23:07:00;[0, 0, 0, 0, 0, 0];0;6
124;112433;45758;0;2016-01-16 23:09:00;[0, 0, 0, 0, 0, 1];0;6
125;112461;24265;0;2016-01-16 23:13:00;[0, 0, 0, 0, 0, 0];0;6
126;112464;46944;0;2016-01-16 23:16:00;[0, 0, 0, 0, 0];0;6
127;112471;45700;0;2016-01-16 23:21:00;[0, 0, 0, 0, 0, 0, 0];0;6
128;112472;21643;0;2016-01-16 23:24:00;[0, 0, 0, 0, 0, 0, 0];0;6
129;112473;45545;0;2016-01-16 23:28:00;[0, 0, 0, 0, 0];0;6
130;112477;19658;0;2016-01-16 23:32:00;[0, 0, 0, 0, 0];0;6
131;112478;8620;0;2016-01-16 23:35:00;[0, 0, 0, 0, 0];0;6
132;112479;38936;0;2016-01-16 23:39:00;[0, 0, 0, 0, 0];0;6
133;112480;11597;0;2016-01-16 23:42:00;[0, 0, 0, 0, 0];0;6
134;112481;43986;0;2016-01-16 23:47:00;[0, 0, 0, 0, 0];0;6
135;112482;15059;0;2016-01-16 23:50:00;[0, 0, 0, 0, 0];0;6
136;112483;45698;0;2016-01-16 23:53:00;[0, 0, 0, 0, 0];0;6
137;112484;42900;0;2016-01-16 23:56:00;[0, 0, 0, 0, 0];0;6
138;112485;11252;0;2016-01-16 23:59:00;[0, 0, 0, 0, 0];0;6
139;112486;2355;0;2016-01-17 00:04:00;[0, 0, 0, 0, 0];0;6
140;112487;15614;0;2016-01-17 00:06:00;[0, 0, 0, 0, 0];0;6
141;112488;42004;0;2016-01-17 00:09:00;[0, 0, 0, 0, 0];0;6
142;112489;41863;0;2016-01-17 00:12:00;[0, 0, 0, 0, 0];0;6
143;112490;18615;0;2016-01-17 00:14:00;[0, 0, 0, 0, 0];0;6
144;112491;6562;0;2016-01-17 00:19:00;[0, 0, 0, 0, 0, 0, 0];0;6
145;112492;42023;0;2016-01-17 00:23:00;[0, 1, 0, 0, 1, 1];1;7
146;112175;39050;0;2016-01-17 23:01:00;[0, 0, 0, 0, 0, 0, 0];0;7
147;112180;1000;0;2016-01-17 23:03:00;[0, 0, 0, 0, 0, 0, 0, 0, 1];0;7
148;112284;47131;0;2016-01-17 23:06:00;[0, 0, 0, 0, 0, 0, 0];0;7
149;112289;39057;0;2016-01-17 23:08:00;[0, 0, 0, 0, 0, 0, 0];0;7
150;112433;45758;0;2016-01-17 23:10:00;[0, 0, 0, 0, 0, 0, 1];0;7
151;112461;24265;0;2016-01-17 23:14:00;[0, 0, 0, 0, 0, 0, 0];0;7
152;112464;46944;0;2016-01-17 23:16:00;[0, 0, 0, 0, 0, 0];0;7
153;112471;45700;0;2016-01-17 23:21:00;[0, 0, 0, 0, 0, 0, 0, 0];0;7
154;112472;21643;0;2016-01-17 23:24:00;[0, 0, 0, 0, 0, 0, 0, 0];0;7
155;112473;45545;0;2016-01-17 23:29:00;[0, 0, 0, 0, 0, 0];0;7
156;112477;19658;0;2016-01-17 23:33:00;[0, 0, 0, 0, 0, 0];0;7
157;112478;8620;0;2016-01-17 23:35:00;[0, 0, 0, 0, 0, 0];0;7
158;112479;38936;0;2016-01-17 23:39:00;[0, 0, 0, 0, 0, 0];0;7
159;112480;11597;0;2016-01-17 23:42:00;[0, 0, 0, 0, 0, 0];0;7
160;112481;43986;0;2016-01-17 23:47:00;[0, 0, 0, 0, 0, 0];0;7
161;112482;15059;0;2016-01-17 23:50:00;[0, 0, 0, 0, 0, 0];0;7
162;112483;45698;0;2016-01-17 23:54:00;[0, 0, 0, 0, 0, 0];0;7
163;112484;42900;0;2016-01-17 23:57:00;[0, 0, 0, 0, 0, 0];0;7
164;112485;11252;0;2016-01-17 23:59:00;[0, 0, 0, 0, 0, 0];0;7
165;112486;2355;0;2016-01-18 00:04:00;[0, 0, 0, 0, 0, 0];0;7
166;112487;15614;0;2016-01-18 00:07:00;[0, 0, 0, 0, 0, 0];0;7
167;112488;42004;0;2016-01-18 00:10:00;[0, 0, 0, 0, 0, 0];0;7
168;112489;41863;0;2016-01-18 00:13:00;[0, 0, 0, 0, 0, 0];0;7
169;112490;18615;0;2016-01-18 00:15:00;[0, 0, 0, 0, 0, 0];0;7
170;112491;6562;0;2016-01-18 00:20:00;[0, 0, 0, 0, 0, 0, 0, 0];0;8
171;112492;42023;0;2016-01-18 00:24:00;[1, 0, 1, 0, 0, 1, 1];1;8
172;112492;42023;0;2016-01-18 13:01:00;[1, 1, 0, 1, 0, 0, 1, 1];0;8
173;112492;42023;0;2016-01-18 14:34:00;[0, 1, 1, 0, 1, 0, 0, 1, 1];0;8
174;112492;42023;0;2016-01-18 15:03:00;[0, 0, 1, 1, 0, 1, 0, 0, 1, 1];0;8
175;112492;42023;0;2016-01-18 15:37:00;[0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1];0;8
176;112492;42023;0;2016-01-18 16:14:00;[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1];0;8
177;112175;39050;0;2016-01-18 23:01:00;[0, 0, 0, 0, 0, 0, 0, 0];0;8
178;112180;1000;0;2016-01-18 23:03:00;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];0;8
179;112284;47131;0;2016-01-18 23:06:00;[0, 0, 0, 0, 0, 0, 0, 0];0;8
180;112289;39057;0;2016-01-18 23:08:00;[0, 0, 0, 0, 0, 0, 0, 0];0;8
181;112433;45758;0;2016-01-18 23:10:00;[0, 0, 0, 0, 0, 0, 0, 1];0;8
182;112461;24265;0;2016-01-18 23:14:00;[0, 0, 0, 0, 0, 0, 0, 0];0;8
183;112464;46944;0;2016-01-18 23:16:00;[0, 0, 0, 0, 0, 0, 0];0;8
184;112471;45700;0;2016-01-18 23:21:00;[0, 0, 0, 0, 0, 0, 0, 0, 0];0;8
185;112472;21643;0;2016-01-18 23:24:00;[0, 0, 0, 0, 0, 0, 0, 0, 0];0;8
186;112473;45545;0;2016-01-18 23:28:00;[0, 0, 0, 0, 0, 0, 0];0;8
187;112477;19658;0;2016-01-18 23:31:00;[0, 0, 0, 0, 0, 0, 0];0;8
188;112478;8620;0;2016-01-18 23:34:00;[0, 0, 0, 0, 0, 0, 0];0;8
189;112479;38936;0;2016-01-18 23:38:00;[0, 0, 0, 0, 0, 0, 0];0;8
190;112480;11597;0;2016-01-18 23:41:00;[0, 0, 0, 0, 0, 0, 0];0;8
191;112481;43986;0;2016-01-18 23:46:00;[0, 0, 0, 0, 0, 0, 0];0;8
192;112482;15059;0;2016-01-18 23:48:00;[0, 0, 0, 0, 0, 0, 0];0;8
193;112483;45698;0;2016-01-18 23:51:00;[0, 0, 0, 0, 0, 0, 0];0;8
194;112484;42900;0;2016-01-18 23:54:00;[0, 0, 0, 0, 0, 0, 0];0;8
195;112485;11252;0;2016-01-18 23:57:00;[0, 0, 0, 0, 0, 0, 0];0;8
196;112486;2355;0;2016-01-19 00:02:00;[0, 0, 0, 0, 0, 0, 0];0;8
197;112487;15614;0;2016-01-19 00:05:00;[0, 0, 0, 0, 0, 0, 0];0;8
198;112488;42004;0;2016-01-19 00:07:00;[0, 0, 0, 0, 0, 0, 0];0;8
199;112489;41863;0;2016-01-19 00:10:00;[0, 0, 0, 0, 0, 0, 0];0;8
200;112490;18615;0;2016-01-19 00:13:00;[0, 0, 0, 0, 0, 0, 0];0;8
201;112491;6562;0;2016-01-19 00:17:00;[0, 0, 0, 0, 0, 0, 0, 0, 0];0;9
202;112492;42023;0;2016-01-19 00:22:00;[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1];0;9
203;112433;45758;0;2016-01-19 14:48:00;[0, 0, 0, 0, 0, 0, 0, 0, 1];0;9
204;112461;24265;0;2016-01-19 14:51:00;[0, 0, 0, 0, 0, 0, 0, 0, 0];0;9
205;112464;46944;0;2016-01-19 14:54:00;[0, 0, 0, 0, 0, 0, 0, 0];0;9
206;112471;45700;0;2016-01-19 15:00:00;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;9
207;112472;21643;0;2016-01-19 15:02:00;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;9
208;112473;45545;0;2016-01-19 15:06:00;[0, 0, 0, 0, 0, 0, 0, 0];0;9
