Id,Name,BuildId,Duration,CalcPrio,LastRun,NumRan,NumErrors,Verdict,Cycle,LastResults
1,1,1,0.006,0,2018-08-29 16:08:41,2,0,0,1,[]
2,2,1,0.743,0,2018-08-29 16:08:41,1,0,0,1,[]
3,3,1,0.062,0,2018-08-29 16:08:41,6,0,0,1,[]
4,4,1,0.09300000000000001,0,2018-08-29 16:08:41,1,0,0,1,[]
5,5,1,0.313,0,2018-08-29 16:08:41,7,0,0,1,[]
6,6,1,7.148,0,2018-08-29 16:08:41,38,0,0,1,[]
7,7,1,512.757,0,2018-08-29 16:08:41,6,0,0,1,[]
8,8,1,0.314,0,2018-08-29 16:08:41,6,0,0,1,[]
9,9,1,0.003,0,2018-08-29 16:08:41,2,0,0,1,[]
10,10,1,1.797,0,2018-08-29 16:08:41,12,0,0,1,[]
11,11,1,0.043,0,2018-08-29 16:08:41,2,0,0,1,[]
12,12,1,30.233,0,2018-08-29 16:08:41,1,0,0,1,[]
13,13,1,0.215,0,2018-08-29 16:08:41,4,0,0,1,[]
14,14,1,1.296,0,2018-08-29 16:08:41,2,0,0,1,[]
15,15,1,0.157,0,2018-08-29 16:08:41,2,0,0,1,[]
16,16,1,672.3839999999999,0,2018-08-29 16:08:41,1,0,0,1,[]
17,17,1,0.073,0,2018-08-29 16:08:41,1,0,0,1,[]
18,18,1,0.8290000000000001,0,2018-08-29 16:08:41,7,0,0,1,[]
19,15,2,0.131,0,2018-08-29 16:08:41,2,0,0,2,[0]
20,12,2,38.508,0,2018-08-29 16:08:41,51,0,0,2,[0]
21,9,2,0.002,0,2018-08-29 16:08:41,2,0,0,2,[0]
22,4,2,0.087,0,2018-08-29 16:08:41,1,0,0,2,[0]
23,16,2,5.447,0,2018-08-29 16:08:41,1,0,0,2,[0]
24,1,2,0.008,0,2018-08-29 16:08:41,2,0,0,2,[0]
25,3,2,0.025,0,2018-08-29 16:08:41,6,0,0,2,[0]
26,19,2,50.665,0,2018-08-30 15:22:19,20,0,0,2,[]
27,18,2,0.828,0,2018-08-29 16:08:41,7,0,0,2,[0]
28,10,2,1.409,0,2018-08-29 16:08:41,12,0,0,2,[0]
29,7,2,77.268,0,2018-08-29 16:08:41,6,0,0,2,[0]
30,8,2,0.188,0,2018-08-29 16:08:41,6,0,0,2,[0]
31,11,2,0.040999999999999995,0,2018-08-29 16:08:41,2,0,0,2,[0]
32,20,2,0.0,0,2018-08-30 15:22:19,2,0,0,2,[]
33,5,2,0.37799999999999995,0,2018-08-29 16:08:41,7,0,0,2,[0]
34,17,2,0.08199999999999999,0,2018-08-29 16:08:41,1,0,0,2,[0]
35,6,2,6.398,0,2018-08-29 16:08:41,38,0,0,2,[0]
36,13,2,0.479,0,2018-08-29 16:08:41,4,0,0,2,[0]
37,14,2,1.159,0,2018-08-29 16:08:41,2,0,0,2,[0]
