Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,1,0.001,2018-08-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.008295891722303179,1.0,3.88516991790636e-06
2,2,0.006999999999999999,2018-08-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.057471302050122845,1.0,2.7196189425344515e-05
3,3,0.122,2018-08-17,"[0, 0, 0]",0,1,0,0,0,0,0,1.0,1.0,0.00047399072998457586
4,4,0.001,2018-08-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.008295891722303179,1.0,3.88516991790636e-06
5,5,0.055,2018-08-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.4508745846726803,1.0,0.00021368434548484978
6,6,0.073,2018-08-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.5984008156561393,1.0,0.0002836174040071642
7,7,0.047,2018-08-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.2238871350960142,0.0042583392476933995,0.0001826029861415989
8,8,0.005,2018-08-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.02390713309621419,0.0042583392476933995,1.9425849589531798e-05
9,9,0.03,2018-08-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.14294284857228562,0.0042583392476933995,0.00011655509753719078
10,10,0.21,2018-08-23,"[0, 0, 0]",0,2,0,0,0,0,0,1.0,0.0042583392476933995,0.0008158856827603355
11,11,0.002,2018-08-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.009622847239085616,0.0042583392476933995,7.77033983581272e-06
12,12,0.001,2018-08-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.004861418620042759,0.0042583392476933995,3.88516991790636e-06
13,7,0.048,2018-08-23,"[0, 0, 0]",0,3,0,0,0,0,0,0.25138376214734554,0.0,0.00018648815605950525
14,9,0.034,2018-08-23,"[0, 0, 0]",0,3,0,0,0,0,0,0.1780926619379947,0.0,0.00013209577720881623
15,8,0.001,2018-08-23,"[0, 0, 0]",0,3,0,0,0,0,0,0.0053350685873821005,0.0,3.88516991790636e-06
16,12,0.001,2018-08-23,"[0, 0, 0]",0,3,0,0,0,0,0,0.0053350685873821005,0.0,3.88516991790636e-06
17,11,0.009000000000000001,2018-08-23,"[0, 0, 0]",0,3,0,0,0,0,0,0.0472156972784397,0.0,3.4966529261157236e-05
18,10,0.191,2018-08-23,"[0, 0, 0]",0,3,0,0,0,0,0,1.0,0.0,0.0007420674543201146
19,7,0.054000000000000006,2018-08-23,"[0, 0, 0]",0,4,0,0,0,0,0,0.22601882071207108,0.0,0.00020979917556694343
20,8,0.013,2018-08-23,"[0, 0, 0]",0,4,0,0,0,0,0,0.05448785665366518,0.0,5.050720893278267e-05
21,9,0.03,2018-08-23,"[0, 0, 0]",0,4,0,0,0,0,0,0.12561045150715053,0.0,0.00011655509753719078
22,11,0.005,2018-08-23,"[0, 0, 0]",0,4,0,0,0,0,0,0.021018400252025008,0.0,1.9425849589531798e-05
23,10,0.239,2018-08-23,"[0, 0, 0]",0,4,0,0,0,0,0,1.0,0.0,0.0009285556103796199
24,12,0.0,2018-08-23,"[0, 0, 0]",0,4,0,0,0,0,0,9.999000099990002e-05,0.0,0.0
25,7,0.054000000000000006,2018-08-23,"[0, 0, 0]",0,5,0,0,0,0,0,0.2714296409555025,0.0,0.00020979917556694343
26,9,0.035,2018-08-23,"[0, 0, 0]",0,5,0,0,0,0,0,0.17596180080484414,0.0,0.0001359809471267226
