Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,1,1.794,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,1.0,1.0,0.007446671620045411
2,2,0.16,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.08933188304141124,1.0,0.0006641401667821994
3,3,0.555,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.3094750324897849,1.0,0.0023037362035257546
4,4,0.529,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.29498459733622107,1.0,0.002195813426423647
5,5,0.038,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.02133830270545787,1.0,0.00015773328961077236
6,6,0.04,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.02245295156342432,1.0,0.00016603504169554985
7,7,0.213,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.11887007777752212,1.0,0.000884136597028803
8,8,0.006,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.003503920977994691,1.0,2.4905256254332478e-05
9,9,0.0,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0
10,10,1.244,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.6934715640592263,1.0,0.005163689796731601
11,11,0.013999999999999999,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.007962516409860485,1.0,5.811226459344245e-05
12,12,0.0,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0
13,13,0.027000000000000003,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.015207733986642404,1.0,0.00011207365314449617
14,14,0.0,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0
15,15,0.028999999999999998,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.016322382844608848,1.0,0.00012037540522927364
16,16,0.131,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.12573911472342755,0.008304498269896194,0.0005437647615529258
17,17,0.049,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.047132324599876096,0.008304498269896194,0.0002033929260770486
18,18,0.073,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.07013919000189114,0.008304498269896194,0.0003030139510943785
19,19,1.043,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,1.0,0.008304498269896194,0.004329363712211462
20,20,0.061,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.05863575730088362,0.008304498269896194,0.0002532034385857135
21,21,0.048,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.04617370520812546,0.008304498269896194,0.00019924205003465982
22,22,0.021,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.020290981630858525,0.008304498269896194,8.716839689016368e-05
23,23,0.006,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.0059116907545991105,0.008304498269896194,2.4905256254332478e-05
24,24,0.077,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.07397366756889366,0.008304498269896194,0.0003196174552639335
25,25,0.9159999999999999,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.87825533724767,0.008304498269896194,0.0038022024548280916
