Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,1,0.01,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.0018497496712846372,1.0,0.0011154489682097043
SMOTE,SMOTE,0.001031199614268596,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0002542774403022808,0.0,0.00011502505457541509
2,2,0.052000000000000005,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.008946805793479666,1.0,0.005800334634690463
3,3,5.9170000000000025,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6600111544896823
SMOTE,SMOTE,6.713772160914007,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1345781309640026,0.0,0.7488870229686565
SMOTE,SMOTE,6.352576943350757,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,1.073594491017535,0.0001697301546672446,0.7085975396933359
SMOTE,SMOTE,6.6813646046556565,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1291011060766694,0.016447679073364856,0.7452721254495991
4,4,0.001,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00032895193081427404,1.0,0.00011154489682097043
SMOTE,SMOTE,7.022933579104517,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,1.1868878213798402,0.0,0.783372401461742
5,5,0.001,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00032895193081427404,1.0,0.00011154489682097043
SMOTE,SMOTE,6.96089984999354,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1763438380925362,0.0,0.7764528555486381
SMOTE,SMOTE,6.419710017440496,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.084880286875189,0.0,0.7160858915159506
SMOTE,SMOTE,6.721988540232025,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1359667365610988,0.00039815350813006265,0.7498035181519269
6,6,0.0,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
SMOTE,SMOTE,6.328296117988748,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0694309207349577,0.0,0.7058891375336027
SMOTE,SMOTE,6.535715352584733,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1044857178612015,0.0,0.7290256946552965
7,7,0.008,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.0015117946178467784,1.0,0.0008923591745677637
8,8,0.001,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00032895193081427404,1.0,0.00011154489682097043
9,9,0.006999999999999999,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.001342817091127849,1.0,0.000780814277746793
10,10,0.0,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
11,11,0.0,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
12,12,0.003,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.0006669069842521325,1.0,0.00033463469046291134
13,13,0.0,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
SMOTE,SMOTE,6.47490035761691,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0942077062053248,0.0003461613243851684,0.7222420923164429
SMOTE,SMOTE,7.139831441667489,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.2065840935723315,0.003992555770435973,0.7964117614799208
SMOTE,SMOTE,6.358655650713073,SMOTE,SMOTE,1.0,1,1.0,1.0,0.0,1.0,0.0,1.074581820299657,0.00020280253346035524,0.7092755884788705
SMOTE,SMOTE,6.725963195571623,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1366384714503328,0.0,0.7502468706716813
SMOTE,SMOTE,7.22898812776781,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.221651980356229,2.4016391656054344e-05,0.8063567348318806
14,14,0.001,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00032895193081427404,1.0,0.00011154489682097043
SMOTE,SMOTE,6.523443230927895,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1024116733019929,8.175120933988924e-05,0.7276568021113101
15,15,0.0,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
SMOTE,SMOTE,6.882443215089072,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1630843087863898,0.0,0.7677014183032986
SMOTE,SMOTE,6.674547321691771,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1279489541476706,0.0014673514508770143,0.7445116923247931
16,16,0.015,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.0026946373048792834,1.0,0.0016731734523145565
17,17,0.0,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
SMOTE,SMOTE,7.169434939432312,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.2115872197789943,0.0635175069814845,0.7997138805836377
18,18,0.055,2015-08-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.009453738373636451,1.0,0.006134969325153374
19,6,0.0,2015-08-20,"[0, 0, 0]",0.0,2,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,0.0,0.0
SMOTE,SMOTE,7.067788224142294,SMOTE,SMOTE,1.0,2,1.0,1.0,1.0,1.0,0.0,1.11225683099501,7.726078349530802e-05,0.7883757082144222
20,12,0.0,2015-08-20,"[0, 0, 0]",0.0,2,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,0.0,0.0
