Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,1,0.001,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00829589172230318,1.0,3.88516991790636e-06
SMOTE,SMOTE,0.01602473828184949,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.13143031378565154,0.0,6.225883111496407e-05
SMOTE,SMOTE,0.028048310872896158,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.2299841874827554,0.0,0.00010897245365146203
SMOTE,SMOTE,0.008597106393051257,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07054808518894473,0.0004660961566512477,3.3401219139323184e-05
2,2,0.006999999999999999,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.05747130205012285,1.0,2.7196189425344515e-05
SMOTE,SMOTE,0.011000000000000001,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.09024393442622952,0.00015559859044113572,4.2736869096969954e-05
SMOTE,SMOTE,0.013118307040562348,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.10760710688985531,0.0006540412943100611,5.096685188785203e-05
SMOTE,SMOTE,0.03693026927779634,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.3027871252278389,0.0,0.00014348037125827575
SMOTE,SMOTE,0.005462179068036146,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04485195957406677,0.0,2.122149380135183e-05
3,3,0.122,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00047399072998457586
4,4,0.001,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00829589172230318,1.0,3.88516991790636e-06
SMOTE,SMOTE,0.03219221838200962,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.2639506424754887,0.00015266360744395488,0.0001250722384484559
5,5,0.055,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.4508745846726803,1.0,0.00021368434548484975
SMOTE,SMOTE,0.03767307116865804,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.3088756653168692,8.59366588707413e-06,0.0001463662828196156
6,6,0.073,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.5984008156561393,1.0,0.0002836174040071642
SMOTE,SMOTE,0.019991051652571343,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.16394107911943726,0.0,7.766863250788239e-05
SMOTE,SMOTE,0.007223776480918981,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05929128263048345,0.0,2.8065599077345887e-05
7,7,0.047,2018-08-23,"[0, 0, 0]",0.0,2,0.0,0.0,0.0,0.0,0.0,0.2238871350960142,0.0042583392476934,0.0001826029861415989
SMOTE,SMOTE,0.011000000000000001,SMOTE,SMOTE,1.0,2,0.0,0.0,0.0,0.0,0.0,0.052460952380952386,7.914280505413513e-05,4.2736869096969954e-05
