Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,1,0.057,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.062106584685580724,1.0,0.00292442665845775
SMOTE,SMOTE,0.005159374360064058,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.005688015608765281,0.00036845983787767134,0.00026470547227253906
SMOTE,SMOTE,0.0027468757161358227,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0029057344740606767,0.0005549921030686642,0.00014093046617083899
SMOTE,SMOTE,0.001212873397398396,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0012383406493460826,0.0,6.22273560822121e-05
SMOTE,SMOTE,0.0,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,-8e-05,0.00036845983787767134,0.0
SMOTE,SMOTE,0.26787117894795665,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.2910843249434311,0.0,0.01374332660961247
SMOTE,SMOTE,0.006,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.006441739130434782,0.00036845983787767134,0.00030783438510081576
2,2,0.115,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.1251399776035834,1.0,0.005900159047765636
SMOTE,SMOTE,0.009468154141301031,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.010211471892718512,0.0019913273485272992,0.0004857705680211909
SMOTE,SMOTE,0.005,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.005354782608695652,0.000360960469798778,0.00025652865425067984
SMOTE,SMOTE,0.015761309968698983,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.017051858661629327,0.0,0.0008086455270996349
3,3,0.0,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
4,4,0.64,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.6957008617751592,1.0,0.03283566774408701
5,5,0.018000000000000002,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.019722061861406518,1.0,0.0009235031553024474
SMOTE,SMOTE,0.005,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.005354782608695652,0.0,0.00025652865425067984
SMOTE,SMOTE,0.3417830688650088,SMOTE,SMOTE,1.0,1,1.0,1.0,0.0,1.0,1.0,0.37144333572283567,0.0018422991893883567,0.017535430140321624
6,6,0.0,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
7,7,0.011,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.012114583405785508,1.0,0.0005643630393514956
SMOTE,SMOTE,0.0,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,-8e-05,0.002306292453941504,0.0
SMOTE,SMOTE,0.001,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0010069565217391305,0.00036845983787767134,5.130573085013596e-05
8,8,0.0,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
SMOTE,SMOTE,0.006999999999999999,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.007528695652173911,0.0006337487348290982,0.00035914011595095173
SMOTE,SMOTE,0.016,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.017311304347826087,0.0014738393515106856,0.0008208916936021754
SMOTE,SMOTE,0.001,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0010069565217391305,0.003218021367591675,5.130573085013596e-05
SMOTE,SMOTE,0.001,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0010069565217391305,0.0,5.130573085013596e-05
9,9,0.062,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.06754049786816718,1.0,0.003180955312708429
10,10,0.025,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.02732954031702753,1.0,0.001282643271253399
SMOTE,SMOTE,0.016,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.017311304347826087,0.0012823435157911553,0.0008208916936021754
SMOTE,SMOTE,0.01519260396966005,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.016433699967021792,0.0,0.0007794676501800856
SMOTE,SMOTE,0.004115467626299182,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,0.004453334376412154,0.01584377302873987,0.00021114707435735376
SMOTE,SMOTE,0.000949926988581911,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0010125293354151207,0.01584377302873987,4.873669840346366e-05
11,11,0.903,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.9815246951792058,1.0,0.046329074957672765
SMOTE,SMOTE,0.0,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,8e-05,0.00036845983787767134,0.0
12,12,0.92,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04720127238212509
SMOTE,SMOTE,0.005,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.005354782608695652,0.0,0.00025652865425067984
13,13,0.014,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.015374931315337369,1.0,0.0007182802319019032
14,14,0.023,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.02515597504399296,1.0,0.001180031809553127
SMOTE,SMOTE,0.0,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,-8e-05,0.0,0.0
SMOTE,SMOTE,0.004,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.004267826086956522,0.00016112317648403124,0.00020522292340054385
15,15,0.003,2015-01-20,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.0034203223136472075,1.0,0.00015391719255040788
