Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,1,1.794,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.007446671620045411
2,2,0.16,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.08933188304141124,1.0,0.0006641401667821994
SMOTE,SMOTE,0.6525897275680764,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.36384238994876056,0.00030938099917399685,0.002708819065671327
SMOTE,SMOTE,1.7953566003376944,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,1.0007361874792053,0.0008174926983068602,0.007452302699886243
SMOTE,SMOTE,0.0005905879281829817,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0002492017436917401,0.014462846852495095,2.451457282018744e-06
SMOTE,SMOTE,2.794052297972449,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.5573627524930038,0.006192902895145678,0.011597764744835063
SMOTE,SMOTE,1.704728502486536,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.9503188531140111,0.00014950739274020733,0.007076116699748607
3,3,0.555,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.3094750324897849,1.0,0.0023037362035257546
4,4,0.529,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.2949845973362211,1.0,0.002195813426423647
5,5,0.038,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.02133830270545787,1.0,0.00015773328961077236
SMOTE,SMOTE,0.7865192962611013,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4384965530998335,0.0006920415224913495,0.003264744103726662
6,6,0.04,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.02245295156342432,1.0,0.00016603504169554982
SMOTE,SMOTE,0.1221723622561717,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.06818053637467765,0.0006920415224913495,0.0005071223315311823
SMOTE,SMOTE,0.0,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,-8e-05,0.0,0.0
7,7,0.213,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.11887007777752212,1.0,0.0008841365970288029
8,8,0.006,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.003503920977994691,1.0,2.490525625433248e-05
9,9,0.0,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
10,10,1.244,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.6934715640592263,1.0,0.005163689796731601
SMOTE,SMOTE,0.8376073731660703,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.46697374201007263,2.7974640608281428e-05,0.003476804378203212
SMOTE,SMOTE,1.3979021855098486,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.779129690919648,0.014178418143984925,0.0058025186914357
SMOTE,SMOTE,0.8096389634299639,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.4513837700278506,7.051376336748341e-05,0.0033607109762858957
11,11,0.014,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.007962516409860485,1.0,5.8112264593442454e-05
SMOTE,SMOTE,0.6096279690412603,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.33989492142768135,0.00037472456132741126,0.0025304901314634758
12,12,0.0,2018-07-12,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,1.0,0.0
SMOTE,SMOTE,0.0,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,-8e-05,0.0,0.0
SMOTE,SMOTE,1.3481841850993013,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,0.7514162012816619,0.0005835475197143126,0.005596145434656084
