step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;jedis;DeepOrder;0.6720588235294118;0.6417183212380382;0.28637544501106504;3;31415
2;jedis;DeepOrder;0.7877659574468086;0.6999377877317408;0.13501545897153464;3;27977
3;jedis;DeepOrder;0.8737161531279178;0.7401122703402933;0.029928375580549678;3;23864
4;jedis;DeepOrder;0.17052631578947372;0.531031275833563;0.917356849819411;3;21464
5;jedis;DeepOrder;0.8078168362627197;0.7506390088696921;0.09292891664771889;3;20607
6;jedis;DeepOrder;0.8298829882988299;0.7325613755232376;0.07868382336467443;3;26902
7;jedis;DeepOrder;0.8365217391304347;0.6907533246363832;0.09308397242448647;3;25900
8;jedis;DeepOrder;0.885392829900839;0.7591778002058495;0.017565715709480543;3;21543
9;jedis;DeepOrder;0.638888888888889;0.5859333685880488;0.35365853658536583;3;23441
10;jedis;DeepOrder;0.14278350515463914;0.5200828626454548;0.9500051231257817;3;20501
11;jedis;DeepOrder;0.12627118644067792;0.5198942052684623;0.9499986580423458;3;25197
12;jedis;DeepOrder;0.2481884057971015;0.557839611817267;0.7959326432861495;3;23495
13;jedis;DeepOrder;0.20000000000000004;0.5290069144492435;0.8811293933686279;3;21453
14;jedis;DeepOrder;0.20744680851063832;0.5331164791411149;0.8716798749067063;3;20689
15;jedis;DeepOrder;0.13094830537487157;0.5205679712830015;0.9506383077123854;3;22564
16;jedis;DeepOrder;0.12383679312813167;0.5241590435386755;0.954962245312748;3;26299
17;jedis;DeepOrder;0.14574468085106382;0.5219253808279563;0.9500088844663904;3;23806
18;jedis;DeepOrder;0.12649572649572652;0.5263003134622318;0.950489438433791;3;21549
19;jedis;DeepOrder;0.15212765957446814;0.5213316980394247;0.9419062511105497;3;24275
20;jedis;DeepOrder;0.16736842105263158;0.5246624414439239;0.9213436656264178;3;21733
21;jedis;DeepOrder;0.8738095238095238;0.6872188922188927;0.06700449775112517;3;20976
22;jedis;DeepOrder;0.14574468085106382;0.5210437441120531;0.9499840079604737;3;20271
23;jedis;DeepOrder;0.16185410334346503;0.5233509305177836;0.9353759235115096;3;20728
24;jedis;DeepOrder;0.14574468085106382;0.521591212072735;0.9499840079604737;3;20027
25;jedis;DeepOrder;0.14677419354838706;0.5192818001974611;0.9500054036528607;3;22200
26;jedis;DeepOrder;0.14473684210526314;0.5191995039955909;0.9499982467828383;3;25708
27;jedis;DeepOrder;0.8354978354978355;0.6911127215817389;0.09390100215788325;3;23832
28;jedis;DeepOrder;0.90875;0.7252409039470528;0.009921355111917838;3;22637
29;jedis;DeepOrder;0.14574468085106382;0.519308910574308;0.9500088844663904;3;20781
30;jedis;DeepOrder;0.15989583333333332;0.5239603920730731;0.9296065607806433;3;41709
31;jedis;DeepOrder;0.14574468085106382;0.5201407774756038;0.9500017768932714;3;20358
32;jedis;DeepOrder;0.14574468085106382;0.5204180664427024;0.9500053306798308;3;20131
33;jedis;DeepOrder;0.14278350515463914;0.5199695738723721;0.9499880460398159;3;21387
34;jedis;DeepOrder;0.18211752786220867;0.5280577329849444;0.909359284783006;3;21243
35;jedis;DeepOrder;0.18262411347517735;0.5289500346611207;0.908704290060215;3;21186
36;jedis;DeepOrder;0.15531914893617024;0.5201301125153307;0.9378513806460699;3;28733
37;jedis;DeepOrder;0.8191489361702128;0.71725768321513;0.09518461921177034;3;21463
38;jedis;DeepOrder;0.8446808510638298;0.7298138964432352;0.06273499413625169;3;22447
39;jedis;DeepOrder;0.4285714285714285;0.6714285714285715;0.6363636363636364;3;20265
40;jedis;DeepOrder;0.1444644464446445;0.5195337267716919;0.9545541673201319;3;20991
41;jedis;DeepOrder;0.1432291666666667;0.5204316008760216;0.9506453510502013;3;18520
42;jedis;DeepOrder;0.11974219810040702;0.5286541271338477;0.9549362064575093;3;21072
43;jedis;DeepOrder;0.8863636363636364;0.7091906275450187;0.03384342475641251;3;19010
44;jedis;DeepOrder;0.15269886363636365;0.5306377816487198;0.9193706707637314;3;19399
45;jedis;DeepOrder;0.15482954545454541;0.5257796240159263;0.9168267080826066;3;19463
46;jedis;DeepOrder;0.12262156448202965;0.5223572153804711;0.9549562963575752;3;26809
47;jedis;DeepOrder;0.17400568181818177;0.5306844403221429;0.8936749776869841;3;19273
48;jedis;DeepOrder;0.12322443181818177;0.5210713396977651;0.9549694483256472;3;19218
49;jedis;DeepOrder;0.12357954545454541;0.5197705524386934;0.9545259712426499;3;19300
50;jedis;DeepOrder;0.17978723404255323;0.5272756358982561;0.9067983936884676;3;24309
51;jedis;DeepOrder;0.14375000000000002;0.521059238288553;0.9499982698363183;3;20108
52;jedis;DeepOrder;0.13690673747095922;0.5214666620930226;0.9403806236629288;3;23774
53;jedis;DeepOrder;0.15918367346938772;0.5199482654159954;0.928227519471316;3;22231
54;jedis;DeepOrder;0.14827935222672065;0.5249956441906903;0.9243589743589776;3;20584
55;jedis;DeepOrder;0.11898395721925138;0.5213268912281361;0.9545376902889904;3;24818
56;jedis;DeepOrder;0.15593561368209252;0.5272743688236642;0.9286470725769804;3;21365
57;jedis;DeepOrder;0.8587311968606932;0.6948413619334947;0.07415962678098634;3;27764
58;jedis;DeepOrder;0.16641865079365079;0.5243242882324662;0.926927725404876;3;18882
59;jedis;DeepOrder;0.2588357588357588;0.5459459459459459;0.872122552633732;3;20686
60;jedis;DeepOrder;0.15549450549450552;0.526837621473522;0.923146036353587;3;20838
61;jedis;DeepOrder;0.8922558922558922;0.7048983431010782;0.03174951305228752;3;22116
62;jedis;DeepOrder;0.4285714285714285;0.7;0.6363636363636364;3;20041
63;jedis;DeepOrder;0.8223958333333333;0.7239363548955722;0.09321429807259779;3;18239
64;jedis;DeepOrder;0.8760416666666667;0.7508246087281664;0.02553375549326981;3;19671
65;jedis;DeepOrder;0.13433441558441564;0.5319237252423095;0.9549770438210671;3;21070
66;jedis;DeepOrder;0.14278350515463914;0.5255628024405639;0.9498855835240211;3;21408
67;jedis;DeepOrder;0.1358287021902583;0.5356956873148829;0.9402382785475932;3;26875
68;jedis;DeepOrder;0.16026410564225693;0.5360588586899194;0.9124124054672831;3;20828
69;jedis;DeepOrder;0.1214434420541291;0.5366164181506822;0.954854926926627;3;20453
70;jedis;DeepOrder;0.1531546256946715;0.5377509680624505;0.9192604588478378;3;20123
71;jedis;DeepOrder;0.14278350515463914;0.5204842285843759;0.9499538918678843;3;21720
72;jedis;DeepOrder;0.14900888585099112;0.5404329203017609;0.920454766954974;3;21566
73;jedis;DeepOrder;0.13354786806114238;0.5320834932053538;0.9549225944632878;3;20156
74;jedis;DeepOrder;0.13354786806114238;0.5280290703758344;0.9549355620249325;3;20913
75;jedis;DeepOrder;0.1214434420541291;0.5395242002939445;0.954854926926627;3;20872
76;jedis;DeepOrder;0.1217904233171409;0.5466063121564819;0.9544615451243251;3;23401
77;jedis;DeepOrder;0.1267857142857143;0.5318833373341109;0.9523237179487127;3;25741
78;jedis;DeepOrder;0.13811881188118813;0.5297761303223919;0.9511250365271539;3;21497
79;jedis;DeepOrder;0.14278350515463914;0.5243716519121526;0.9499504764506911;3;24736
80;jedis;DeepOrder;0.14278350515463914;0.5255886970172685;0.9499470610334979;3;23278
81;jedis;DeepOrder;0.14183673469387753;0.5287789319696496;0.9498297312788643;3;22557
82;jedis;DeepOrder;0.14183673469387753;0.5259253678397983;0.9498870494622143;3;26309
83;jedis;DeepOrder;0.1691919191919192;0.5315303791685704;0.9145078065181869;3;22170
84;jedis;DeepOrder;0.14090909090909096;0.5325567230089844;0.9498718332833922;3;23519
85;jedis;DeepOrder;0.17886597938144336;0.5334962533784331;0.9044844427746792;3;22572
86;jedis;DeepOrder;0.8367003367003366;0.7062296505317993;0.09798832718012476;3;24411
