Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
12,12,0.92,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,1.0,1.0,0.04720127238212509,0.57303494,1
11,11,0.903,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.9815246951792058,1.0,0.046329074957672765,0.5661644,2
4,4,0.64,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.6957008617751592,1.0,0.03283566774408701,0.44582078,3
2,2,0.115,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.1251399776035834,1.0,0.005900159047765636,0.113004014,4
9,9,0.062,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.06754049786816718,1.0,0.003180955312708429,0.07161984,5
1,1,0.057,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.062106584685580724,1.0,0.00292442665845775,0.06763733,6
10,10,0.025,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.02732954031702753,1.0,0.001282643271253399,0.041827463,7
14,14,0.023,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.02515597504399296,1.0,0.001180031809553127,0.040195823,8
5,5,0.018000000000000002,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.019722061861406518,1.0,0.0009235031553024474,0.036107168,9
13,13,0.014,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.015374931315337369,1.0,0.0007182802319019032,0.03282641,10
7,7,0.011,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.012114583405785508,1.0,0.0005643630393514956,0.030360091,11
15,15,0.003,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.0034203223136472075,1.0,0.00015391719255040788,0.023759196,12
3,3,0.0,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0,0.021274831,15
6,6,0.0,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0,0.021274831,14
8,8,0.0,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0,0.021274831,13
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
17,12,1.152,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,1.0,0.00552689756816507,0.059104201939356636,0.57303494,1
31,27,0.66,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.5729849890684156,0.00552689756816507,0.033861782361089734,0.3851536,2
23,20,0.5329999999999999,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.4627595695799782,0.00552689756816507,0.027345954543122462,0.325824,3
19,2,0.46,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.3994016512913489,0.00552689756816507,0.023600636191062545,0.28950202,4
18,16,0.35100000000000003,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.30479873220284753,0.00552689756816507,0.018008311528397724,0.2321389,5
27,23,0.339,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.2943837319362235,0.00552689756816507,0.01739264275819609,0.22558978,6
20,17,0.32299999999999995,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.2804970649140581,0.00552689756816507,0.016571751064593913,0.21678449,7
28,24,0.11,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.09563081018148203,0.00552689756816507,0.005643630393514956,0.091426484,8
26,9,0.068,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.059178309248298026,0.00552689756816507,0.0034887896978092452,0.06488424,9
21,18,0.036000000000000004,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.03140497520396735,0.00552689756816507,0.0018470063106048949,0.04425104,10
16,13,0.018000000000000002,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.015782474804031353,0.00552689756816507,0.0009235031553024474,0.032488145,11
24,21,0.012,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.010574974670719349,0.00552689756816507,0.0006156687702016315,0.028542038,12
25,22,0.005,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.0044995578485220135,0.00552689756816507,0.00025652865425067984,0.023922347,13
22,19,0.003,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.0027637244707513463,0.00552689756816507,0.00015391719255040788,0.022599287,15
29,25,0.003,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.0027637244707513463,0.00552689756816507,0.00015391719255040788,0.022599287,14
30,26,0.001,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.0010278910929806782,0.00552689756816507,5.130573085013596e-05,0.021274831,16
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
38,12,0.8590000000000001,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,1.0,0.002947678703021371,0.0440716228002668,0.57303494,1
77,61,0.654,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.7613885852768794,0.002947678703021371,0.033553947975988915,0.47592866,2
70,27,0.6509999999999999,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.7578967109150775,0.002947678703021371,0.033400030783438506,0.4743666,3
36,11,0.489,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.5693354953777824,0.002947678703021371,0.025088502385716485,0.3834594,4
74,2,0.414,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.4820386363327385,0.002947678703021371,0.021240572571956287,0.33679897,5
65,17,0.35100000000000003,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.4087092747349015,0.002947678703021371,0.018008311528397724,0.29524076,6
51,23,0.27,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.31442866696625393,0.002947678703021371,0.01385254732953671,0.23852296,7
37,16,0.257,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.29929721139844634,0.002947678703021371,0.013185572828484942,0.22906777,8
75,9,0.062,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.07232537788133174,0.002947678703021371,0.003180955312708429,0.07511546,9
35,31,0.056,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.0653416291577282,0.002947678703021371,0.002873120927607613,0.07000993,10
76,1,0.045,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.052538089831121765,0.002947678703021371,0.0023087578882561182,0.0605916,11
50,42,0.036000000000000004,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.04206246674571648,0.002947678703021371,0.0018470063106048949,0.05282959,12
84,5,0.034,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.039734550504515305,0.002947678703021371,0.0017443948489046226,0.051097836,13
107,80,0.026,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.03042288553971062,0.002947678703021371,0.0013339490021035349,0.04414579,14
81,10,0.025,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.029258927419110032,0.002947678703021371,0.001282643271253399,0.043273978,15
41,18,0.024,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.02809496929850944,0.002947678703021371,0.001231337540403263,0.04240153,16
55,46,0.022,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.025767053057308264,0.002947678703021371,0.0011287260787029912,0.040654756,17
53,44,0.021,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.024603094936707683,0.002947678703021371,0.0010774203478528552,0.03978044,18
61,52,0.019,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.022275178695506503,0.002947678703021371,0.0009748088861525832,0.038029917,19
60,51,0.013,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.01529142997190298,0.002947678703021371,0.0006669745010517674,0.032763306,20
87,64,0.012,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.01412747185130239,0.002947678703021371,0.0006156687702016315,0.031883344,21
88,65,0.01,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.01179955561010122,0.002947678703021371,0.0005130573085013597,0.030121531,22
79,20,0.01,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.01179955561010122,0.002947678703021371,0.0005130573085013597,0.030121531,23
96,7,0.009000000000000001,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.010635597489500631,0.002947678703021371,0.0004617515776512237,0.029239686,24
95,21,0.009000000000000001,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.010635597489500631,0.002947678703021371,0.0004617515776512237,0.029239686,25
82,14,0.008,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.009471639368900043,0.002947678703021371,0.0004104458468010877,0.028357212,27
91,68,0.008,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.009471639368900043,0.002947678703021371,0.0004104458468010877,0.028357212,26
73,13,0.008,2015-02-12,"[0, 0, 0]",0,3,0,0,0,0,0,0.009471639368900043,0.002947678703021371,0.0004104458468010877,0.028357212,28
