Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
1,1,1.794,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,1.0,1.0,0.007446671620045411,0.9858066,1
10,10,1.244,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.6934715640592263,1.0,0.005163689796731601,0.6425596,2
3,3,0.555,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.3094750324897849,1.0,0.0023037362035257546,0.28425664,3
4,4,0.529,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.2949845973362211,1.0,0.002195813426423647,0.2723154,4
7,7,0.213,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.11887007777752212,1.0,0.0008841365970288029,0.13591298,5
2,2,0.16,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.08933188304141124,1.0,0.0006641401667821994,0.114567764,6
6,6,0.04,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.02245295156342432,1.0,0.00016603504169554982,0.06779768,7
5,5,0.038,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.02133830270545787,1.0,0.00015773328961077236,0.067036204,8
15,15,0.029,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.016322382844608848,1.0,0.00012037540522927364,0.06361675,9
13,13,0.027000000000000003,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.015207733986642403,1.0,0.00011207365314449617,0.06285846,10
11,11,0.014,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.007962516409860485,1.0,5.8112264593442454e-05,0.057943817,11
8,8,0.006,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.003503920977994691,1.0,2.490525625433248e-05,0.054931603,12
9,9,0.0,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0,0.0526785,15
12,12,0.0,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0,0.0526785,14
14,14,0.0,2018-07-12,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0,0.0526785,13
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
19,19,1.043,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,1.0,0.008304498269896194,0.004329363712211462,0.9858066,1
25,25,0.916,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.87825533724767,0.008304498269896194,0.003802202454828092,0.8436249,2
16,16,0.131,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.12573911472342755,0.008304498269896194,0.0005437647615529258,0.14032319,3
24,24,0.077,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.07397366756889366,0.008304498269896194,0.0003196174552639335,0.103008576,4
18,18,0.073,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.07013919000189114,0.008304498269896194,0.00030301395109437853,0.10029649,5
20,20,0.061,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.05863575730088363,0.008304498269896194,0.00025320343858571345,0.09220272,6
17,17,0.049,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.047132324599876096,0.008304498269896194,0.0002033929260770486,0.084172435,7
21,21,0.048,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.046173705208125464,0.008304498269896194,0.00019924205003465985,0.0835061,8
27,27,0.037000000000000005,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.035628891898868566,0.008304498269896194,0.00015358241356838365,0.07620525,9
22,22,0.021,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.020290981630858525,0.008304498269896194,8.716839689016368e-05,0.06567985,10
26,26,0.013,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.012622026496853506,0.008304498269896194,5.396138855105371e-05,0.06045867,11
23,23,0.006,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.005911690754599111,0.008304498269896194,2.490525625433248e-05,0.055912737,12
28,28,0.001,2018-07-24,"[0, 0, 0]",0,2,0,0,0,0,0,0.0011185937958459724,0.008304498269896194,4.150876042388746e-06,0.0526785,13
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
43,42,240.83900000000003,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,1.0,0.0,0.9996928351728634,0.9858066,1
47,46,9.897,2018-07-24,"[0, 0, 0]",1,3,0,0,0,0,0,0.04124724321571915,0.0,0.04108122019152143,0.0807254,45
59,56,1.187,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00508778970968264,0.0,0.004927089862315442,0.056000598,2
35,35,1.04,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.004477521091383286,0.0,0.0043169110840842965,0.055588573,3
29,29,0.763,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.003327559137172941,0.0,0.0031671184203426136,0.054812647,4
36,36,0.556,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.002468201286914668,0.0,0.002307887079568143,0.0542332,5
55,52,0.434,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0019617198485981967,0.0,0.001801480202396716,0.053891845,6
53,1,0.32,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0014884503078762498,0.0,0.0013282803335643988,0.05357299,7
39,38,0.235,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.001135573895934447,0.0,0.0009754558699613555,0.053335316,8
64,19,0.233,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0011272709215358165,0.0,0.000967154117876578,0.05332972,9
54,2,0.228,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0011065134855392396,0.0,0.0009463997376646341,0.053315744,10
50,49,0.17600000000000002,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0008906361511748426,0.0,0.0007305541834604193,0.053170376,11
46,45,0.173,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0008781816895768966,0.0,0.0007181015553332532,0.053161986,12
71,16,0.159,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0008200608687864818,0.0,0.0006599892907398107,0.053122852,13
73,58,0.126,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0006830617912090761,0.0,0.0005230103813409821,0.053030606,14
69,25,0.122,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0006664558424118147,0.0,0.0005064068771714269,0.053019423,15
49,48,0.1,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0005751231240268775,0.0,0.00041508760423887467,0.05295795,16
42,41,0.081,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0004962448672398863,0.0,0.00033622095943348847,0.052904848,17
67,20,0.069,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0004464270208481023,0.0,0.0002864104469248236,0.05287131,18
48,47,0.065,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.000429821072050841,0.0,0.00026980694275526853,0.05286013,19
32,32,0.057,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00039660917445631845,0.0,0.00023659993441615853,0.052837774,20
41,40,0.055,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0003883062000576878,0.0,0.00022829818233138105,0.052832186,21
65,21,0.027000000000000003,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0002720645584768586,0.0,0.00011207365314449617,0.052753944,22
57,54,0.025,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00026376158407822795,0.0,0.00010377190105971868,0.05274836,23
66,22,0.024,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0002596100968789126,0.0,9.962102501732992e-05,0.052745562,24
61,24,0.016,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00022639819928438998,0.0,6.641401667821994e-05,0.052723218,25
38,18,0.016,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00022639819928438998,0.0,6.641401667821994e-05,0.052723218,26
33,33,0.015,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00022224671208507472,0.0,6.22631406358312e-05,0.05272042,27
62,23,0.012,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0002097922504871287,0.0,4.981051250866496e-05,0.052712027,28
72,27,0.009000000000000001,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0001973377888891827,0.0,3.735788438149872e-05,0.05270365,29
63,26,0.009000000000000001,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0001973377888891827,0.0,3.735788438149872e-05,0.05270365,30
45,44,0.009000000000000001,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0001973377888891827,0.0,3.735788438149872e-05,0.05270365,31
70,17,0.002,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0001682773784939754,0.0,8.301752084777493e-06,0.05268409,32
40,39,0.002,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0001682773784939754,0.0,8.301752084777493e-06,0.05268409,33
34,34,0.002,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0001682773784939754,0.0,8.301752084777493e-06,0.05268409,34
56,53,0.001,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00016412589129466006,0.0,4.150876042388746e-06,0.0526813,35
51,50,0.001,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00016412589129466006,0.0,4.150876042388746e-06,0.0526813,36
58,55,0.0,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00015997440409534473,0.0,0.0,0.0526785,39
44,43,0.0,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00015997440409534473,0.0,0.0,0.0526785,41
52,51,0.0,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00015997440409534473,0.0,0.0,0.0526785,40
37,37,0.0,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00015997440409534473,0.0,0.0,0.0526785,42
60,57,0.0,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00015997440409534473,0.0,0.0,0.0526785,38
68,28,0.0,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00015997440409534473,0.0,0.0,0.0526785,37
30,30,0.0,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00015997440409534473,0.0,0.0,0.0526785,44
31,31,0.0,2018-07-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.00015997440409534473,0.0,0.0,0.0526785,43
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
96,42,240.779,2018-09-20,"[0, 0, 0]",0,4,0,0,0,0,0,1.0,0.04013840830449827,0.99944378261032,0.9858066,1
116,71,1.189,2018-09-20,"[0, 0, 0]",0,4,0,0,0,0,0,0.005097322721155929,0.04013840830449827,0.004935391614400221,0.056007035,2
78,61,0.969,2018-09-20,"[0, 0, 0]",0,4,0,0,0,0,0,0.004183767944239757,0.04013840830449827,0.004022198885074695,0.055390306,3
