step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;commons-csv;DeepOrder;0.6720588235294118;0.6417183212380382;0.28637544501106504;2;33901
2;commons-csv;DeepOrder;0.8936170212765958;0.7573188289873618;0.0006467891538434216;2;19967
3;commons-csv;DeepOrder;0.8825863678804855;0.7449318159657896;0.01876503833025572;2;20700
4;commons-csv;DeepOrder;0.8847368421052632;0.7638674565996143;0.013292892457659976;2;19271
5;commons-csv;DeepOrder;0.8647086031452359;0.7835190813914216;0.017609977697253518;2;20219
6;commons-csv;DeepOrder;0.833033303330333;0.7413606617109118;0.07465852146703257;2;21276
7;commons-csv;DeepOrder;0.9130434782608695;0.7247415253412255;0.0005011212935020359;2;20576
8;commons-csv;DeepOrder;0.8926392067124332;0.7462912074185843;0.008495947389681038;2;20173
9;commons-csv;DeepOrder;0.8277777777777778;0.6276044420941302;0.14227642276422764;2;20506
10;commons-csv;DeepOrder;0.8969072164948453;0.751703377623849;0.0006216059291642487;2;20878
11;commons-csv;DeepOrder;0.9152542372881356;0.7190291692733737;0.00048310475321398954;2;24866
12;commons-csv;DeepOrder;0.9254658385093167;0.7127793909325747;0.00024676017114580505;2;22002
13;commons-csv;DeepOrder;0.8936170212765958;0.756728701185588;0.0006432353672838423;2;22981
14;commons-csv;DeepOrder;0.8936170212765958;0.7567002612915265;0.0006467891538434216;2;21109
15;commons-csv;DeepOrder;0.873844573776104;0.7215551181102362;0.04385815677808628;2;21213
16;commons-csv;DeepOrder;0.9058697208303508;0.7289876679018064;0.00948409732485895;2;20557
17;commons-csv;DeepOrder;0.8936170212765958;0.758484864643879;0.0006503429404030007;2;20300
18;commons-csv;DeepOrder;0.9145299145299145;0.726623947035054;0.000463678516228749;2;20935
19;commons-csv;DeepOrder;0.8936170212765958;0.7579871664978046;0.0006503429404030007;2;19850
20;commons-csv;DeepOrder;0.8947368421052632;0.7575158445852852;0.0006241453066376814;2;20615
21;commons-csv;DeepOrder;0.9314285714285715;0.7071206571206573;0.00024487756121939095;2;28936
22;commons-csv;DeepOrder;0.8936170212765958;0.7589647878561653;0.000625466434485946;2;24597
23;commons-csv;DeepOrder;0.8644883485309017;0.7558044046285923;0.031241075308871918;2;20928
24;commons-csv;DeepOrder;0.8835106382978724;0.7565438418741892;0.013454635914567139;2;19548
25;commons-csv;DeepOrder;0.8924731182795699;0.7587086497417963;0.0006556432148132151;2;20871
26;commons-csv;DeepOrder;0.8947368421052632;0.7545432626067787;0.0006311581752515879;2;19186
27;commons-csv;DeepOrder;0.9126984126984127;0.725488365337732;0.0004103949058077487;2;21289
28;commons-csv;DeepOrder;0.9166666666666666;0.7250728713007102;0.00042610273810463273;2;22089
29;commons-csv;DeepOrder;0.8936170212765958;0.7576778826498871;0.0006503429404030007;2;20431
30;commons-csv;DeepOrder;0.8958333333333334;0.7548842209283695;0.0006124779404131644;2;46655
31;commons-csv;DeepOrder;0.8936170212765958;0.7568957855631986;0.0006432353672838423;2;19499
32;commons-csv;DeepOrder;0.8936170212765958;0.758374660054391;0.0006467891538434216;2;19888
33;commons-csv;DeepOrder;0.8969072164948453;0.7516418780041755;0.0006045288431981979;2;19338
34;commons-csv;DeepOrder;0.8847517730496455;0.7656410529870774;0.0051406220897746305;2;19641
