step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;commons-dbcp;DeepOrder;0.3254901960784313;0.8667911019487125;0.716636197440585;2;36580
2;commons-dbcp;DeepOrder;0.8936170212765958;0.9955740414866953;0.0;2;27660
3;commons-dbcp;DeepOrder;0.8751167133520075;0.9908261481244167;0.027650942868334173;2;23023
4;commons-dbcp;DeepOrder;0.8842105263157894;0.9965796362634335;0.013324450366422385;2;26571
5;commons-dbcp;DeepOrder;0.7911655874190565;0.9717236353294579;0.11447936875003023;2;23211
6;commons-dbcp;DeepOrder;0.819081908190819;0.9514475643449595;0.0920591771655602;2;22169
7;commons-dbcp;DeepOrder;0.9130434782608695;0.9745906267645398;0.0;2;20805
8;commons-dbcp;DeepOrder;0.8697559115179253;0.9718785286740673;0.036824580676580176;2;25981
9;commons-dbcp;DeepOrder;0.7722222222222223;0.9838180856689583;0.19918699186991867;2;19815
10;commons-dbcp;DeepOrder;0.8969072164948453;0.99710951787535;0.0;2;19099
11;commons-dbcp;DeepOrder;0.9152542372881356;0.9952547421028058;0.0;2;25003
12;commons-dbcp;DeepOrder;0.9254658385093167;0.9799783630716463;4.186110046223468e-05;2;190623
13;commons-dbcp;DeepOrder;0.8936170212765958;0.9976572637266924;0.0;2;26418
14;commons-dbcp;DeepOrder;0.8936170212765958;0.9983611511047121;0.0;2;19712
15;commons-dbcp;DeepOrder;0.9043135912358782;0.9917207040296433;0.0063013169174254945;2;24889
16;commons-dbcp;DeepOrder;0.905511811023622;0.9936486799444186;0.009519688446559932;2;21012
17;commons-dbcp;DeepOrder;0.8936170212765958;0.9956700261291526;0.0;2;21034
18;commons-dbcp;DeepOrder;0.9145299145299145;0.987938639074593;0.0;2;20706
19;commons-dbcp;DeepOrder;0.8936170212765958;0.996768517037274;0.0;2;21162
20;commons-dbcp;DeepOrder;0.8947368421052632;0.9947127307798294;0.0;2;20575
21;commons-dbcp;DeepOrder;0.9314285714285715;0.9716400266400267;1.0994502748625688e-05;2;26296
22;commons-dbcp;DeepOrder;0.8936170212765958;0.9952256527844433;0.0;2;26410
23;commons-dbcp;DeepOrder;0.8710739614994935;0.992466983060488;0.022210840007450175;2;20809
24;commons-dbcp;DeepOrder;0.8829787234042553;0.9884569579978314;0.01350438892640108;2;19176
25;commons-dbcp;DeepOrder;0.8924731182795699;0.9981428398401229;0.0;2;21977
26;commons-dbcp;DeepOrder;0.8947368421052632;0.9985188757233399;0.0;2;18660
27;commons-dbcp;DeepOrder;0.9126984126984127;0.9872501115226209;0.0;2;19909
28;commons-dbcp;DeepOrder;0.91625;0.9821250985905834;0.0004997501249375312;2;25196
29;commons-dbcp;DeepOrder;0.8936170212765958;0.9963063687587763;0.0;2;21653
30;commons-dbcp;DeepOrder;0.8958333333333334;0.9947485444153624;0.0;2;40122
31;commons-dbcp;DeepOrder;0.8936170212765958;0.9971595655806182;0.0;2;25702
32;commons-dbcp;DeepOrder;0.8936170212765958;0.9961392843811655;0.0;2;19537
33;commons-dbcp;DeepOrder;0.8969072164948453;0.997371700464484;0.0;2;21396
34;commons-dbcp;DeepOrder;0.855369807497467;0.9881085692955793;0.042382194077109324;2;19945
35;commons-dbcp;DeepOrder;0.8882978723404256;0.9967223022094243;5.277208667039174e-05;2;20033
36;commons-dbcp;DeepOrder;0.8829787234042553;0.9834373166959951;0.01350438892640108;2;19543
37;commons-dbcp;DeepOrder;0.8930851063829788;0.9887378019516873;0.0006752194463200541;2;20234
38;commons-dbcp;DeepOrder;0.8930851063829788;0.9894665742370106;0.0006752194463200541;2;22432
39;commons-dbcp;DeepOrder;0.8571428571428571;1.0;0.0;2;20216
40;commons-dbcp;DeepOrder;0.8910891089108911;0.9960120613626127;0.0;2;18941
41;commons-dbcp;DeepOrder;0.8958333333333334;0.9963243149404414;0.0;2;23914
42;commons-dbcp;DeepOrder;0.917910447761194;0.975935687115846;0.0;2;21103
43;commons-dbcp;DeepOrder;0.9137073863636364;0.9938862998823637;0.0004286326618088298;2;23927
44;commons-dbcp;DeepOrder;0.9140625;0.987765530268754;0.0;2;19617
45;commons-dbcp;DeepOrder;0.9140625;0.9932245950592705;0.0;2;19926
46;commons-dbcp;DeepOrder;0.9147286821705426;0.990940800243126;0.0;2;21345
47;commons-dbcp;DeepOrder;0.9140625;0.9904363858474344;0.0;2;19547
48;commons-dbcp;DeepOrder;0.9140625;0.9920044000542936;0.0;2;19609
49;commons-dbcp;DeepOrder;0.9140625;0.9942284634874671;0.0;2;24438
50;commons-dbcp;DeepOrder;0.8936170212765958;0.997369309799321;0.0;2;20645
51;commons-dbcp;DeepOrder;0.8958333333333334;0.9960739276748041;0.0;2;24151
52;commons-dbcp;DeepOrder;0.8976103551277795;0.9895681336629878;0.017730095990965557;2;20286
53;commons-dbcp;DeepOrder;0.8979591836734694;0.9971495751046153;0.0;2;20942
54;commons-dbcp;DeepOrder;0.9144736842105263;0.9966493774543309;0.0;2;20069
55;commons-dbcp;DeepOrder;0.9117647058823529;0.9914102642741541;0.00876843363889996;2;19660
56;commons-dbcp;DeepOrder;0.9014084507042254;0.9963475491644506;0.0;2;19934
57;commons-dbcp;DeepOrder;0.9208633093525179;0.9894009216589863;0.0;2;25115
58;commons-dbcp;DeepOrder;0.8737599206349207;0.9929457561027727;0.021615905245346866;2;20104
59;commons-dbcp;DeepOrder;0.8243243243243242;0.9999431009957326;0.0;2;19949
60;commons-dbcp;DeepOrder;0.9071428571428571;0.9976283231302708;0.0;2;19203
61;commons-dbcp;DeepOrder;0.9107744107744107;0.984933555217905;0.009248090068355449;2;26521
62;commons-dbcp;DeepOrder;0.8571428571428571;1.0;0.0;2;20662
63;commons-dbcp;DeepOrder;0.8958333333333334;0.98009922012713;0.0;2;17381
64;commons-dbcp;DeepOrder;0.8953125000000001;0.9850101490305004;0.0006574621959237344;2;17959
65;commons-dbcp;DeepOrder;0.9017857142857143;0.9812157606405394;0.0;2;21118
66;commons-dbcp;DeepOrder;0.8969072164948453;0.987266341905517;0.0;2;20291
67;commons-dbcp;DeepOrder;0.9073226544622426;0.9756846417570001;0.007531900871876478;2;21446
68;commons-dbcp;DeepOrder;0.9117647058823529;0.978532752012939;0.0;2;25036
69;commons-dbcp;DeepOrder;0.916030534351145;0.9671528802083474;0.0;2;21710
70;commons-dbcp;DeepOrder;0.9135338345864662;0.9766315839910019;2.0301619600745217e-05;2;20979
71;commons-dbcp;DeepOrder;0.8969072164948453;0.9891695932933044;0.0;2;26796
72;commons-dbcp;DeepOrder;0.9097744360902256;0.9766177139982273;0.009005321326238231;2;20384
73;commons-dbcp;DeepOrder;0.9026548672566371;0.9752282151716667;0.0;2;21257
74;commons-dbcp;DeepOrder;0.9026548672566371;0.9819069329399286;0.0;2;20880
75;commons-dbcp;DeepOrder;0.916030534351145;0.9669747719554701;0.0;2;25142
76;commons-dbcp;DeepOrder;0.916030534351145;0.9621790423317144;0.0;2;22277
77;commons-dbcp;DeepOrder;0.9125;0.977005246733651;0.0;2;20605
78;commons-dbcp;DeepOrder;0.900990099009901;0.9817616360303084;0.0;2;20794
79;commons-dbcp;DeepOrder;0.8969072164948453;0.991807603295085;0.0;2;21003
80;commons-dbcp;DeepOrder;0.8969072164948453;0.9879396008998367;0.0;2;21886
81;commons-dbcp;DeepOrder;0.8979591836734694;0.9876722262509063;0.0;2;25741
82;commons-dbcp;DeepOrder;0.8979591836734694;0.9868717214620044;0.0;2;20371
83;commons-dbcp;DeepOrder;0.898989898989899;0.9825491091822749;0.0;2;20226
84;commons-dbcp;DeepOrder;0.898989898989899;0.9832343535861123;0.0;2;24286
85;commons-dbcp;DeepOrder;0.8969072164948453;0.9852141967016781;0.0;2;21905
86;commons-dbcp;DeepOrder;0.9181818181818181;0.9692569278633966;0.0004020908725371934;2;21670
87;commons-dbcp;DeepOrder;0.9138965835641736;0.9753719784557273;0.0033222591362126247;2;21054
88;commons-dbcp;DeepOrder;0.8969072164948453;0.985075013351891;3.4154171932101505e-06;2;20791
89;commons-dbcp;DeepOrder;0.9185185185185185;0.9783059595301835;6.614481885893225e-05;2;20416
90;commons-dbcp;DeepOrder;0.8969072164948453;0.9889333052808751;6.489292667099288e-05;2;20719
91;commons-dbcp;DeepOrder;0.8969072164948453;0.9877130233536712;0.0;2;26105
92;commons-dbcp;DeepOrder;0.898989898989899;0.9877661032434901;0.0;2;19228
93;commons-dbcp;DeepOrder;0.9078947368421053;0.9696501553865676;0.0;2;24706
94;commons-dbcp;DeepOrder;0.9185185185185185;0.9747316884933557;0.0;2;23137
95;commons-dbcp;DeepOrder;0.8969072164948453;0.9814691935457768;0.0;2;21574
96;commons-dbcp;DeepOrder;0.898989898989899;0.9800578650829909;0.0;2;20313
97;commons-dbcp;DeepOrder;0.9117647058823529;0.9848932878590768;0.0;2;21204
98;commons-dbcp;DeepOrder;0.0;1.0;-1.0;2;19517
99;commons-dbcp;DeepOrder;0.875;1.0;0.0;2;17768
100;commons-dbcp;DeepOrder;0.9378378378378378;0.9581817797277322;0.0;2;20460
101;commons-dbcp;DeepOrder;0.9318181818181819;0.9895282293653735;0.0;2;26440
102;commons-dbcp;DeepOrder;0.0;0.8634106741777019;-1.0;2;25516
103;commons-dbcp;DeepOrder;0.0;0.9101331349337153;-1.0;2;21377
104;commons-dbcp;DeepOrder;0.03781512605042016;0.8999806617207553;0.957983193277311;2;20127
105;commons-dbcp;DeepOrder;0.0;0.9716115967990036;-1.0;2;21371
106;commons-dbcp;DeepOrder;0.0;0.9757257734768984;-1.0;2;19366
107;commons-dbcp;DeepOrder;0.0;0.9796169506104239;-1.0;2;21583
108;commons-dbcp;DeepOrder;0.0;0.9933289096764795;-1.0;2;20006
109;commons-dbcp;DeepOrder;0.0;0.9813858620143351;-1.0;2;22271
110;commons-dbcp;DeepOrder;0.0;0.9788950116846022;-1.0;2;20757
111;commons-dbcp;DeepOrder;0.0;0.9928765037307754;-1.0;2;25746
112;commons-dbcp;DeepOrder;0.0;0.9837465338519179;-1.0;2;23228
113;commons-dbcp;DeepOrder;0.0;0.9806953059634745;-1.0;2;21499
114;commons-dbcp;DeepOrder;0.0;0.9875164753493936;-1.0;2;22001
115;commons-dbcp;DeepOrder;0.0;0.9893786872797369;-1.0;2;21711
116;commons-dbcp;DeepOrder;0.09124087591240876;0.9806283719454137;0.9051094890510949;2;21042
117;commons-dbcp;DeepOrder;0.9963503649635037;0.9881722973947661;0.0;2;21194
118;commons-dbcp;DeepOrder;0.0;0.9931156588154415;-1.0;2;20955
119;commons-dbcp;DeepOrder;0.0;0.9905548949267033;-1.0;2;20579
120;commons-dbcp;DeepOrder;0.0;0.9929891883660731;-1.0;2;19556
121;commons-dbcp;DeepOrder;0.0;0.9878100972369179;-1.0;2;25840
122;commons-dbcp;DeepOrder;0.0;0.9922653582203361;-1.0;2;24595
123;commons-dbcp;DeepOrder;0.0;0.9913806829281515;-1.0;2;21513
124;commons-dbcp;DeepOrder;0.0;0.9887405724455126;-1.0;2;23230
125;commons-dbcp;DeepOrder;0.0;0.9846843262717013;-1.0;2;21017
126;commons-dbcp;DeepOrder;0.0;0.9870715890009701;-1.0;2;21797
127;commons-dbcp;DeepOrder;0.0;1.0;-1.0;2;19465
128;commons-dbcp;DeepOrder;0.0;0.9927420899139536;-1.0;2;20075
129;commons-dbcp;DeepOrder;0.0;0.9939067459009446;-1.0;2;19708
130;commons-dbcp;DeepOrder;0.0;0.9915146492376368;-1.0;2;18820
131;commons-dbcp;DeepOrder;0.0;0.9941861377684438;-1.0;2;25856
132;commons-dbcp;DeepOrder;0.0;0.9929869502023236;-1.0;2;20333
133;commons-dbcp;DeepOrder;0.0;0.9936901387227712;-1.0;2;20718
134;commons-dbcp;DeepOrder;0.0;0.9887740975485718;-1.0;2;19976
135;commons-dbcp;DeepOrder;0.0;0.9932349497251599;-1.0;2;19577
136;commons-dbcp;DeepOrder;0.0;0.9945471497320667;-1.0;2;21609
137;commons-dbcp;DeepOrder;0.0;1.0;-1.0;2;17933
138;commons-dbcp;DeepOrder;0.0;1.0;-1.0;2;17184
139;commons-dbcp;DeepOrder;0.0;0.9930622918295144;-1.0;2;18325
140;commons-dbcp;DeepOrder;0.0;0.9933479621659461;-1.0;2;18591
141;commons-dbcp;DeepOrder;0.0;0.9924815334532522;-1.0;2;25656
142;commons-dbcp;DeepOrder;0.0;0.9908993592822454;-1.0;2;22470
143;commons-dbcp;DeepOrder;0.0;0.9924626980464542;-1.0;2;19932
144;commons-dbcp;DeepOrder;0.0;0.9934551545606822;-1.0;2;20864
145;commons-dbcp;DeepOrder;0.0;0.9899636901175494;-1.0;2;20087
146;commons-dbcp;DeepOrder;0.0;0.9901133550040021;-1.0;2;21834
147;commons-dbcp;DeepOrder;0.0;0.9937529234120966;-1.0;2;20052
148;commons-dbcp;DeepOrder;0.0;0.9901137154792294;-1.0;2;21842
149;commons-dbcp;DeepOrder;0.0;0.9926782594225813;-1.0;2;21103
150;commons-dbcp;DeepOrder;0.0;0.9940919607344554;-1.0;2;20756
151;commons-dbcp;DeepOrder;0.0;0.9764877498922522;-1.0;2;25290
152;commons-dbcp;DeepOrder;0.0;0.9844566742919026;-1.0;2;21704
