step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;commons-text;DeepOrder;0.6720588235294118;0.6417183212380382;0.28637544501106504;2;32226
2;commons-text;DeepOrder;0.8936170212765958;0.7573188289873618;0.0006467891538434216;2;22738
3;commons-text;DeepOrder;0.8825863678804855;0.7449318159657896;0.01876503833025572;2;23715
4;commons-text;DeepOrder;0.8947368421052632;0.7645873518875724;0.0006346646095585412;2;20703
5;commons-text;DeepOrder;0.8647086031452359;0.7835190813914216;0.017609977697253518;2;19925
6;commons-text;DeepOrder;0.86003600360036;0.754908176995619;0.04015593377295505;2;21113
7;commons-text;DeepOrder;0.9130434782608695;0.7241827138378863;0.0005011212935020359;2;20620
8;commons-text;DeepOrder;0.8926392067124332;0.7455577428477209;0.008469521425794005;2;25663
9;commons-text;DeepOrder;0.8277777777777778;0.6276044420941302;0.14227642276422764;2;176905
10;commons-text;DeepOrder;0.8969072164948453;0.751703377623849;0.0006216059291642487;2;20269
11;commons-text;DeepOrder;0.9152542372881356;0.7190291692733737;0.00048310475321398954;2;31093
12;commons-text;DeepOrder;0.9254658385093167;0.7126625885543642;0.00024786177905270596;2;25809
13;commons-text;DeepOrder;0.8936170212765958;0.756728701185588;0.0006432353672838423;2;20831
14;commons-text;DeepOrder;0.8936170212765958;0.7567002612915265;0.0006467891538434216;2;20929
15;commons-text;DeepOrder;0.873844573776104;0.7215551181102362;0.04385815677808628;2;20671
16;commons-text;DeepOrder;0.9133858267716535;0.7295463756368689;0.0003971219895062377;2;21050
17;commons-text;DeepOrder;0.8936170212765958;0.758484864643879;0.0006503429404030007;2;20745
18;commons-text;DeepOrder;0.9145299145299145;0.726623947035054;0.000463678516228749;2;24357
19;commons-text;DeepOrder;0.8936170212765958;0.7579871664978046;0.0006503429404030007;2;28188
20;commons-text;DeepOrder;0.8947368421052632;0.7575158445852852;0.0006241453066376814;2;20861
21;commons-text;DeepOrder;0.9314285714285715;0.7071145521145523;0.000245877061469266;2;20763
22;commons-text;DeepOrder;0.8936170212765958;0.7589647878561653;0.000625466434485946;2;20574
23;commons-text;DeepOrder;0.8644883485309017;0.7558044046285923;0.031241075308871918;2;19109
24;commons-text;DeepOrder;0.8936170212765958;0.760137933486198;0.000625466434485946;2;19696
25;commons-text;DeepOrder;0.8924731182795699;0.7587086497417963;0.0006556432148132151;2;18948
26;commons-text;DeepOrder;0.8947368421052632;0.7545432626067787;0.0006311581752515879;2;24013
27;commons-text;DeepOrder;0.9126984126984127;0.725488365337732;0.0004103949058077487;2;21287
28;commons-text;DeepOrder;0.9166666666666666;0.7250728713007102;0.00042610273810463273;2;20378
29;commons-text;DeepOrder;0.8936170212765958;0.7576778826498871;0.0006503429404030007;2;27175
30;commons-text;DeepOrder;0.8958333333333334;0.7548842209283695;0.0006124779404131644;2;38929
31;commons-text;DeepOrder;0.8936170212765958;0.7568957855631986;0.0006432353672838423;2;20232
32;commons-text;DeepOrder;0.8936170212765958;0.758374660054391;0.0006467891538434216;2;19086
33;commons-text;DeepOrder;0.8969072164948453;0.7516418780041755;0.0006045288431981979;2;20631
34;commons-text;DeepOrder;0.8847517730496455;0.7656410529870774;0.0051406220897746305;2;19566
35;commons-text;DeepOrder;0.8882978723404256;0.7667537638422295;0.0005680759918048041;2;20491
36;commons-text;DeepOrder;0.8936170212765958;0.7581613608489305;0.0006467891538434216;2;24777
37;commons-text;DeepOrder;0.8936170212765958;0.7572406192786929;0.00065389672696258;2;21556
38;commons-text;DeepOrder;0.8936170212765958;0.7565722817682501;0.0006148050748072083;2;25894
39;commons-text;DeepOrder;0.8571428571428571;0.8499999999999999;0.09090909090909091;2;19017
40;commons-text;DeepOrder;0.8910891089108911;0.7616417683495387;0.000557617578894173;2;18891
41;commons-text;DeepOrder;0.8958333333333334;0.7536857005501846;0.0006124779404131644;2;19214
42;commons-text;DeepOrder;0.917910447761194;0.7331249576158861;0.00037231193417805897;2;20639
43;commons-text;DeepOrder;0.9140625;0.7283673423219619;0.00041007713532359793;2;24335
44;commons-text;DeepOrder;0.9140625;0.7281538435435707;0.00038224384559575205;2;19259
45;commons-text;DeepOrder;0.9140625;0.7226127725997646;0.00041007713532359793;2;18437
46;commons-text;DeepOrder;0.9147286821705426;0.7234830537156122;0.0003915405189290529;2;21864
47;commons-text;DeepOrder;0.9140625;0.725300594968781;0.0004045104773780288;2;19743
48;commons-text;DeepOrder;0.9140625;0.7239446656411187;0.0004045104773780288;2;25158
49;commons-text;DeepOrder;0.9140625;0.7218421975386843;0.0003896660561898443;2;24080
50;commons-text;DeepOrder;0.8936170212765958;0.7567784710001952;0.00065389672696258;2;20802
