step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;jsoup;DeepOrder;0.6720588235294118;0.6417183212380382;0.28637544501106504;3;31564
2;jsoup;DeepOrder;0.8936170212765958;0.7573188289873618;0.0006467891538434216;3;20120
3;jsoup;DeepOrder;0.8825863678804855;0.7454750595478542;0.018711879581444796;3;19662
4;jsoup;DeepOrder;0.8842105263157894;0.768414163681455;0.013324450366422385;3;23600
5;jsoup;DeepOrder;0.8554579093432008;0.7816953731847346;0.029849879778036926;3;21088
6;jsoup;DeepOrder;0.86003600360036;0.7553844344156234;0.04015593377295505;3;20844
7;jsoup;DeepOrder;0.8869565217391304;0.7135867131369382;0.03206345690633754;3;19524
8;jsoup;DeepOrder;0.8895881006864989;0.7453578887412188;0.012271085087828579;3;19889
9;jsoup;DeepOrder;0.8277777777777778;0.6278159703860393;0.1382113821138211;3;19275
10;jsoup;DeepOrder;0.8969072164948453;0.7559986405347231;0.0;3;18116
11;jsoup;DeepOrder;0.9152542372881356;0.7214180244077897;0.0;3;19555
12;jsoup;DeepOrder;0.9254658385093167;0.7133854813219468;4.5165924182937405e-05;3;20471
13;jsoup;DeepOrder;0.8936170212765958;0.761410618745445;0.0;3;22988
14;jsoup;DeepOrder;0.8936170212765958;0.7614177287189602;0.0;3;25094
15;jsoup;DeepOrder;0.873844573776104;0.7241069360815191;0.04349312636163778;3;20216
16;jsoup;DeepOrder;0.905511811023622;0.7314801412691061;0.009519688446559932;3;19737
17;jsoup;DeepOrder;0.8936170212765958;0.7632023320713127;0.0;3;20065
18;jsoup;DeepOrder;0.9145299145299145;0.7290632195067823;0.0;3;19440
19;jsoup;DeepOrder;0.8936170212765958;0.7627046339252385;0.0;3;19712
20;jsoup;DeepOrder;0.8947368421052632;0.7620556627170019;0.0;3;18975
21;jsoup;DeepOrder;0.9257142857142857;0.705856365856366;0.00686556721639179;3;19915
22;jsoup;DeepOrder;0.8936170212765958;0.7636858102703569;0.0;3;19345
23;jsoup;DeepOrder;0.8644883485309017;0.7607849410760943;0.030685416278636617;3;19036
24;jsoup;DeepOrder;0.8829787234042553;0.7611119998578006;0.01350438892640108;3;29701
25;jsoup;DeepOrder;0.8924731182795699;0.7635644262072462;0.0;3;24628
26;jsoup;DeepOrder;0.8947368421052632;0.7591106365389912;0.0;3;19165
27;jsoup;DeepOrder;0.9047619047619048;0.7222308673866359;0.010021578828918338;3;19266
28;jsoup;DeepOrder;0.9166666666666666;0.7250728713007102;0.00042610273810463273;3;19693
29;jsoup;DeepOrder;0.8936170212765958;0.7624024600508362;0.0;3;19161
30;jsoup;DeepOrder;0.8958333333333334;0.7593177447785912;0.0;3;39198
31;jsoup;DeepOrder;0.8936170212765958;0.7616239179509056;0.0;3;19369
32;jsoup;DeepOrder;0.8936170212765958;0.7630992374553401;0.0;3;19540
33;jsoup;DeepOrder;0.8969072164948453;0.7559371409150495;0.0;3;24045
34;jsoup;DeepOrder;0.8847517730496455;0.7705504896994255;0.004572546097969827;3;19899
35;jsoup;DeepOrder;0.8882978723404256;0.7711335075276843;5.277208667039174e-05;3;19751
36;jsoup;DeepOrder;0.8829787234042553;0.7575463481398529;0.01350438892640108;3;20568
37;jsoup;DeepOrder;0.8829787234042553;0.7517979345526936;0.014158285653363854;3;19538
38;jsoup;DeepOrder;0.8936170212765958;0.7565722817682501;0.0006148050748072083;3;19667
39;jsoup;DeepOrder;0.8571428571428571;0.8571428571428571;0.0;3;18346
40;jsoup;DeepOrder;0.8910891089108911;0.7667228038364544;0.0;3;17825
41;jsoup;DeepOrder;0.8958333333333334;0.7580891779285299;0.0;3;18407
42;jsoup;DeepOrder;0.917910447761194;0.7352888592970712;0.0;3;19204
