step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;spring-data-redis;DeepOrder;0.6720588235294118;0.6417183212380382;0.28637544501106504;3;30995
2;spring-data-redis;DeepOrder;0.8723404255319149;0.7456193675678559;0.027655567006645773;3;19690
3;spring-data-redis;DeepOrder;0.8825863678804855;0.7449318159657896;0.01876503833025572;3;20010
4;spring-data-redis;DeepOrder;0.8947368421052632;0.7648663543675948;0.0006346646095585412;3;19587
5;spring-data-redis;DeepOrder;0.8642460684551342;0.7827049894239142;0.018221972801292688;3;20334
6;spring-data-redis;DeepOrder;0.860936093609361;0.7499820686212348;0.039005847516485816;3;19436
7;spring-data-redis;DeepOrder;0.9130434782608695;0.7246032827741972;0.0005011212935020359;3;20461
8;spring-data-redis;DeepOrder;0.885392829900839;0.7591778002058495;0.017565715709480543;3;20836
9;spring-data-redis;DeepOrder;0.7166666666666667;0.6004230565838182;0.26829268292682923;3;24151
10;spring-data-redis;DeepOrder;0.8969072164948453;0.751703377623849;0.0006216059291642487;3;19002
11;spring-data-redis;DeepOrder;0.9152542372881356;0.7190291692733737;0.00048310475321398954;3;23737
12;spring-data-redis;DeepOrder;0.9252070393374741;0.7111804803284142;0.0005519055613573578;3;21044
13;spring-data-redis;DeepOrder;0.8936170212765958;0.756728701185588;0.0006432353672838423;3;23792
14;spring-data-redis;DeepOrder;0.8936170212765958;0.7567002612915265;0.0006467891538434216;3;20552
15;spring-data-redis;DeepOrder;0.873844573776104;0.7215551181102362;0.04385815677808628;3;20297
16;spring-data-redis;DeepOrder;0.9133858267716535;0.7289471398795739;0.0003971219895062377;3;20733
17;spring-data-redis;DeepOrder;0.8936170212765958;0.758484864643879;0.0006503429404030007;3;20608
18;spring-data-redis;DeepOrder;0.9145299145299145;0.726623947035054;0.000463678516228749;3;22670
19;spring-data-redis;DeepOrder;0.8936170212765958;0.7579871664978046;0.0006503429404030007;3;28046
20;spring-data-redis;DeepOrder;0.8947368421052632;0.7575158445852852;0.0006241453066376814;3;21444
21;spring-data-redis;DeepOrder;0.9314285714285715;0.7074958374958378;0.00024487756121939095;3;22369
22;spring-data-redis;DeepOrder;0.8936170212765958;0.7589647878561653;0.000625466434485946;3;20642
23;spring-data-redis;DeepOrder;0.8644883485309017;0.7558044046285923;0.031241075308871918;3;21127
24;spring-data-redis;DeepOrder;0.8936170212765958;0.7601308235126824;0.000625466434485946;3;20283
25;spring-data-redis;DeepOrder;0.8924731182795699;0.7587086497417963;0.0006556432148132151;3;19162
26;spring-data-redis;DeepOrder;0.8947368421052632;0.7545432626067787;0.0006311581752515879;3;19835
27;spring-data-redis;DeepOrder;0.9126984126984127;0.7254616888303981;0.0004103949058077487;3;20597
28;spring-data-redis;DeepOrder;0.9166666666666666;0.727718528171188;0.00042610273810463273;3;23199
29;spring-data-redis;DeepOrder;0.8936170212765958;0.7576778826498871;0.0006503429404030007;3;27446
30;spring-data-redis;DeepOrder;0.8958333333333334;0.7548842209283695;0.0006124779404131644;3;43388
31;spring-data-redis;DeepOrder;0.8936170212765958;0.7568957855631986;0.0006432353672838423;3;20423
32;spring-data-redis;DeepOrder;0.8936170212765958;0.758374660054391;0.0006467891538434216;3;20627
33;spring-data-redis;DeepOrder;0.8969072164948453;0.7516418780041755;0.0006045288431981979;3;20194
34;spring-data-redis;DeepOrder;0.8847517730496455;0.7656410529870774;0.0051406220897746305;3;19811
35;spring-data-redis;DeepOrder;0.8872847011144884;0.7664551449545847;0.001871856956602718;3;20490
36;spring-data-redis;DeepOrder;0.8936170212765958;0.7581613608489305;0.0006467891538434216;3;19262
37;spring-data-redis;DeepOrder;0.8936170212765958;0.7572868341065427;0.00065389672696258;3;20263
38;spring-data-redis;DeepOrder;0.8936170212765958;0.7650722551058495;0.0006148050748072083;3;23777
39;spring-data-redis;DeepOrder;0.8571428571428571;0.8499999999999999;0.09090909090909091;3;19898
40;spring-data-redis;DeepOrder;0.8910891089108911;0.7616417683495387;0.000557617578894173;3;18634
41;spring-data-redis;DeepOrder;0.8958333333333334;0.7536857005501846;0.0006124779404131644;3;17628
42;spring-data-redis;DeepOrder;0.917910447761194;0.7331249576158861;0.00037231193417805897;3;20089
