Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
SMOTE,SMOTE,13.427389126529956,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.8296480913462223,0.0,0.4377449672859736,0.9731482,16
13,13,16.186,2016-03-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5276781639173241,0.9521445,1
SMOTE,SMOTE,12.479360294421618,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.7710771762277041,0.0,0.4068383743372764,0.9008647,17
15,15,13.652000000000001,2016-03-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.8434449524280243,1.0,0.4450674838625546,0.79713327,2
SMOTE,SMOTE,10.271562518073393,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6346754848679965,0.0,0.3348621802853685,0.73395336,18
SMOTE,SMOTE,10.271513984497023,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6346724863769321,0.0,0.33486059804710905,0.7339498,19
SMOTE,SMOTE,9.909242587420266,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6122907121846204,0.0,0.3230502245360978,0.7068166,20
SMOTE,SMOTE,5.188600676344409,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.32064102040926784,0.0,0.16915305067302636,0.362929,21
SMOTE,SMOTE,5.1122201332987665,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.3159220939885559,0.0,0.16666297624368412,0.35754207,22
SMOTE,SMOTE,4.944907000168583,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.30558518968050064,0.0,0.16120841755782042,0.3457644,23
11,11,5.6229999999999976,2016-03-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.3473989867786975,1.0,0.18331485949012186,0.33727935,3
2,2,5.577999999999999,2016-03-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.3446188063758804,1.0,0.1818478189998044,0.33487192,4
SMOTE,SMOTE,4.666709212473332,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.2883976332925573,0.0,0.15213891936080498,0.32625046,24
9,9,5.382999999999999,2016-03-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.33257135796367226,1.0,0.17549064354176172,0.32446393,5
SMOTE,SMOTE,0.2468356159457145,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,0.015229945381546681,0.0,0.00804706317877403,0.3005725,31
SMOTE,SMOTE,0.2435611869572345,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,0.01502764530812026,0.0,0.007940313847468036,0.30041164,33
SMOTE,SMOTE,0.2395953872367693,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,0.014782631115579469,0.0,0.007811025208214427,0.3002166,35
SMOTE,SMOTE,0.19691051844477803,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,0.012145483655305695,0.0,0.006419460078397927,0.29811865,38
SMOTE,SMOTE,3.9602606532662663,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.24475197907242474,0.0,0.12910806067895506,0.2770947,25
3,3,3.0380000000000003,2016-03-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.18769306808352892,1.0,0.09904153354632587,0.20243561,6
5,5,2.9610000000000003,2016-03-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.18293587050537505,1.0,0.09653126426289367,0.19852793,7
