Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
3,3,0.122,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00047399072998457586,1.5857584,1
6,6,0.073,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.5984008156561393,1.0,0.0002836174040071642,1.100642,2
5,5,0.055,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.4508745846726803,1.0,0.00021368434548484972,0.9184375,3
2,2,0.006999999999999999,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.05747130205012285,1.0,2.7196189425344515e-05,0.4206133,4
SMOTE,SMOTE,0.037673071168658034,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.3088756653168692,8.59366588707413e-06,0.0001463662828196156,0.39309123,7
SMOTE,SMOTE,0.036930269277796336,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.3027871252278389,0.0,0.00014348037125827575,0.38663453,8
4,4,0.001,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00829589172230318,1.0,3.88516991790636e-06,0.3570403,5
1,1,0.001,2018-08-17,"[0, 0, 0]",0.0,1,0.0,0.0,0.0,0.0,0.0,0.00829589172230318,1.0,3.88516991790636e-06,0.3570403,6
SMOTE,SMOTE,0.03219221838200962,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.2639506424754887,0.00015266360744395488,0.0001250722384484559,0.34534064,9
SMOTE,SMOTE,0.028048310872896158,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.2299841874827554,0.0,0.00010897245365146203,0.30893573,10
SMOTE,SMOTE,0.019991051652571343,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.16394107911943726,0.0,7.766863250788239e-05,0.23759407,11
SMOTE,SMOTE,0.016024738281849492,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.13143031378565154,0.0,6.225883111496408e-05,0.2021638,12
SMOTE,SMOTE,0.013118307040562348,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.10760710688985532,0.0006540412943100611,5.0966851887852035e-05,0.17619844,13
SMOTE,SMOTE,0.011,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.09024393442622952,0.00015559859044113572,4.2736869096969954e-05,0.15700743,14
SMOTE,SMOTE,0.008597106393051257,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.07054808518894473,0.0004660961566512477,3.3401219139323184e-05,0.13533738,15
SMOTE,SMOTE,0.007223776480918981,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.05929128263048345,0.0,2.8065599077345894e-05,0.122792244,16
SMOTE,SMOTE,0.005462179068036146,SMOTE,SMOTE,1.0,1,0.0,0.0,0.0,0.0,0.0,0.04485195957406677,0.0,2.122149380135183e-05,0.10677847,17
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
10,10,0.21,2018-08-23,"[0, 0, 0]",0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0042583392476934,0.0008158856827603356,1.5857584,1
7,7,0.047,2018-08-23,"[0, 0, 0]",0.0,2,0.0,0.0,0.0,0.0,0.0,0.2238871350960142,0.0042583392476934,0.0001826029861415989,0.6368617,2
9,9,0.03,2018-08-23,"[0, 0, 0]",0.0,2,0.0,0.0,0.0,0.0,0.0,0.14294284857228562,0.0042583392476934,0.00011655509753719077,0.53415054,3
8,8,0.005,2018-08-23,"[0, 0, 0]",0.0,2,0.0,0.0,0.0,0.0,0.0,0.02390713309621419,0.0042583392476934,1.94258495895318e-05,0.38161445,4
11,11,0.002,2018-08-23,"[0, 0, 0]",0.0,2,0.0,0.0,0.0,0.0,0.0,0.009622847239085616,0.0042583392476934,7.77033983581272e-06,0.36318806,5
12,12,0.001,2018-08-23,"[0, 0, 0]",0.0,2,0.0,0.0,0.0,0.0,0.0,0.00486141862004276,0.0042583392476934,3.88516991790636e-06,0.3570403,6
SMOTE,SMOTE,0.03009380500907395,SMOTE,SMOTE,1.0,2,0.0,0.0,0.0,0.0,0.0,0.14338383337654262,0.0002078225952455392,0.00011691954593659385,0.22867021,7
SMOTE,SMOTE,0.020152615135322356,SMOTE,SMOTE,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0960448339777255,0.00046913715702435793,7.829633409089881e-05,0.18975568,8
SMOTE,SMOTE,0.0194484996437685,SMOTE,SMOTE,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0926919030655643,0.0,7.556072576438193e-05,0.16311833,9
SMOTE,SMOTE,0.011,SMOTE,SMOTE,1.0,2,0.0,0.0,0.0,0.0,0.0,0.05246095238095239,0.0004826911891036002,4.2736869096969954e-05,0.14177924,10
