step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.6834992887624466;0.8353342816500708;0.12449491074625345;1;29948
2;bcel;DeepOrder;0.650075414781297;0.7814435707068489;0.19486234195911403;1;20760
3;bcel;DeepOrder;0.4473684210526315;0.6493927125506073;0.6263534218590395;1;24025
4;bcel;DeepOrder;0.5345911949685535;0.6727208605184269;0.39295942411766716;1;20714
5;bcel;DeepOrder;0.7108585858585859;0.7922369765066399;0.14466881279875232;1;20236
6;bcel;DeepOrder;0.6213235294117647;0.757910120569967;0.2722318339100346;1;19909
7;bcel;DeepOrder;0.6227513227513227;0.7422519509476033;0.2710136727958516;1;18717
8;bcel;DeepOrder;0.3858173076923077;0.6013986013986016;0.6925144747725397;1;38562
9;bcel;DeepOrder;0.5450721153846154;0.7037113829566662;0.383457677016757;1;17526
10;bcel;DeepOrder;0.4181929181929182;0.6285783836416748;0.6771579344138694;1;17967
11;bcel;DeepOrder;0.5595348837209302;0.7266895093679374;0.35862527716186104;1;17968
12;bcel;DeepOrder;0.533068783068783;0.6729333593902678;0.4432217844797669;1;21110
13;bcel;DeepOrder;0.584090909090909;0.7369467028003615;0.31443619352939206;1;25378
14;bcel;DeepOrder;0.5544444444444445;0.6913802221047067;0.3935524652338827;1;176887
15;bcel;DeepOrder;0.5810657596371882;0.7235880398671096;0.3390540831717309;1;18572
16;bcel;DeepOrder;0.4564102564102564;0.6167964946445961;0.5903854123497729;1;17416
17;bcel;DeepOrder;0.6294685990338165;0.7835961140308966;0.23590679109073587;1;17863
18;bcel;DeepOrder;0.42344497607655496;0.6080971659919028;0.6839632277834519;1;17073
19;bcel;DeepOrder;0.5962962962962962;0.7814516129032258;0.2681818181818186;1;17235
20;bcel;DeepOrder;0.5888888888888889;0.7497633073848098;0.2639853825397845;1;17691
21;bcel;DeepOrder;0.5564903846153846;0.6876748251748253;0.4066377171215882;1;16694
22;bcel;DeepOrder;0.2962962962962963;0.5817923186344239;0.8027397260273974;1;20162
23;bcel;DeepOrder;0.55;0.688274044795784;0.41248852157943094;1;24262
24;bcel;DeepOrder;0.30000000000000004;0.5854838709677418;0.7477477477477478;1;18296
25;bcel;DeepOrder;0.6527777777777778;0.703076923076923;0.2976190476190476;1;17186
26;bcel;DeepOrder;0.5727513227513228;0.7141692150866463;0.29418325888914004;1;18262
27;bcel;DeepOrder;0.5377906976744187;0.6802143325800103;0.4155329337519434;1;18097
28;bcel;DeepOrder;0.425;0.5970685948798123;0.6439312567132102;1;18279
29;bcel;DeepOrder;0.48205128205128206;0.621314534522082;0.5430330220668809;1;18746
30;bcel;DeepOrder;0.4371428571428571;0.6238765928906773;0.6108527131782956;1;20830
31;bcel;DeepOrder;0.6460526315789474;0.7931016352068986;0.1932351654760175;1;19101
32;bcel;DeepOrder;0.649074074074074;0.767678637541651;0.24611211573236963;1;17972
33;bcel;DeepOrder;0.6673469387755102;0.7596914822266932;0.22279754144160982;1;23555
34;bcel;DeepOrder;0.3571428571428571;0.6214285714285713;0.5714285714285714;1;17286
35;bcel;DeepOrder;0.46806722689075636;0.6380281690140844;0.5629191415980067;1;17687
36;bcel;DeepOrder;0.6880877742946708;0.7649327878433665;0.19972590223846506;1;17741
37;bcel;DeepOrder;0.48181818181818187;0.6877470355731226;0.5419354838709678;1;17012
38;bcel;DeepOrder;0.45629370629370625;0.6068777664283285;0.6074266032475005;1;17636
39;bcel;DeepOrder;0.6746031746031745;0.773109243697479;0.19588220199550282;1;17292
40;bcel;DeepOrder;0.4402560455192034;0.6189473684210526;0.6233952227507545;1;21073
41;bcel;DeepOrder;0.573088455772114;0.7334308137626452;0.3032548214036394;1;19371
42;bcel;DeepOrder;0.3706976744186047;0.5674345702413062;0.8088026607538787;1;18882
43;bcel;DeepOrder;0.39031620553359686;0.6157679567903079;0.7100221769408926;1;23531
44;bcel;DeepOrder;0.5370370370370371;0.7045993361782835;0.3947696139476963;1;17938
45;bcel;DeepOrder;0.6516798418972333;0.783622744296902;0.18374546761179686;1;17485
46;bcel;DeepOrder;0.6364197530864197;0.7892317672134187;0.19388142267285197;1;18348
47;bcel;DeepOrder;0.40476190476190477;0.615987460815047;0.6862388151804985;1;20320
48;bcel;DeepOrder;0.6171874999999999;0.7416105617504732;0.26681611533921074;1;20293
49;bcel;DeepOrder;0.4765684051398337;0.639579468150897;0.5526443055854832;1;18975
50;bcel;DeepOrder;0.561141304347826;0.7205186198190616;0.3830423803249879;1;19886
51;bcel;DeepOrder;0.6729249011857708;0.7929038226254067;0.16981317359389292;1;18621
52;bcel;DeepOrder;0.4868421052631579;0.6427256953572743;0.523748819641171;1;19472
53;bcel;DeepOrder;0.6058823529411764;0.6817927170868348;0.36065573770491804;1;24302
54;bcel;DeepOrder;0.45448079658605967;0.6399431009957325;0.5940190612585887;1;22988
55;bcel;DeepOrder;0.6427272727272728;0.7573907979033199;0.2458902523732352;1;17690
56;bcel;DeepOrder;0.45238095238095233;0.6463054187192118;0.5918367346938774;1;16949
57;bcel;DeepOrder;0.5931451612903226;0.7544454685099846;0.2381384790011358;1;21455
58;bcel;DeepOrder;0.6735449735449734;0.7895206243032331;0.17587930221593648;1;22760
59;bcel;DeepOrder;0.651027397260274;0.7933418461794193;0.1664191851549906;1;20664
60;bcel;DeepOrder;0.6318681318681318;0.7936507936507936;0.22923588039867102;1;18123
61;bcel;DeepOrder;0.6157232704402515;0.762750053880366;0.2342199377879815;1;18261
62;bcel;DeepOrder;0.5617760617760618;0.6756756756756755;0.4022046065389718;1;18304
63;bcel;DeepOrder;0.44642857142857145;0.6284150869650186;0.5870303756994402;1;25730
