rank_index,time,class,failures,ranking,nfpa,DDP
2062.8779296875,0.017,2,2,13,0.9682539682539684,0.0
1001.1793212890624,0.002,1,0,7,0.9682539682539684,0.0
1001.0072631835938,0.0,1,0,11,0.9682539682539684,0.0
1000.3999633789062,0.0,1,0,12,0.9682539682539684,0.0
997.5059814453124,0.001,1,0,8,0.9682539682539684,0.0
997.029052734375,0.002,1,0,6,0.9682539682539684,0.0
994.9733276367188,0.0,1,0,10,0.9682539682539684,0.0
993.3726806640624,0.001,1,0,9,0.9682539682539684,0.0
987.5518798828124,0.012,0,0,5,0.9682539682539684,0.0
882.7394409179688,0.133,0,0,4,0.9682539682539684,0.0
705.0928955078125,0.34600000000000003,0,0,3,0.9682539682539684,0.0
5.574744701385498,5.391,0,0,2,0.9682539682539684,0.0
-0.31849205493927,56.356,0,0,1,0.9682539682539684,0.0
rank_index,time,class,failures,ranking,nfpa,DDP
2052.6337890625,0.043,2,2,13,0.9682539682539684,0.0
1001.1793212890624,0.001,1,0,8,0.9682539682539684,0.0
1001.0072631835938,0.0,1,0,11,0.9682539682539684,0.0
1000.3999633789062,0.0,1,0,12,0.9682539682539684,0.0
997.5059814453124,0.001,1,0,7,0.9682539682539684,0.0
997.029052734375,0.019,0,0,5,0.9682539682539684,0.0
996.267578125,0.0,1,0,10,0.9682539682539684,0.0
990.0712280273438,0.0,1,0,9,0.9682539682539684,0.0
987.5518798828124,0.012,0,0,6,0.9682539682539684,0.0
882.7394409179688,0.105,0,0,4,0.9682539682539684,0.0
705.0928955078125,0.252,0,0,3,0.9682539682539684,0.0
5.574744701385498,5.487,0,0,2,0.9682539682539684,0.0
-0.31849205493927,46.313,0,0,1,0.9682539682539684,0.0
rank_index,time,class,failures,ranking,nfpa,DDP
2051.035400390625,0.049,2,2,13,0.9584859584859587,0.0
1001.1793212890624,0.001,1,0,8,0.9584859584859587,0.0
1001.0072631835938,0.001,1,0,7,0.9584859584859587,0.0
1000.3999633789062,0.001,1,0,10,0.9584859584859587,0.0
997.5059814453124,0.0,1,0,12,0.9584859584859587,0.0
997.029052734375,0.001,1,0,9,0.9584859584859587,0.0
996.267578125,0.001,1,0,6,0.9584859584859587,0.0
993.3726806640624,0.0,1,0,11,0.9584859584859587,0.0
987.5518798828124,0.012,0,0,5,0.9584859584859587,0.0
882.7394409179688,0.133,0,0,4,0.9584859584859587,0.0
705.0928955078125,0.361,0,0,3,0.9584859584859587,0.0
5.574744701385498,5.346,0,0,2,0.9584859584859587,0.0
-0.31849205493927,48.376999999999995,0,0,1,0.9584859584859587,0.0
