rank_index,time,class,failures,ranking,nfpa,DDP
-0.2313101887702942,0.001,1,0,8,0.9194139194139196,0
-1.75580894947052,0.001,1,0,11,0.9194139194139196,0
-1.8060014247894287,0.0,1,0,12,0.9194139194139196,0
-1.8060014247894287,0.001,1,0,7,0.9194139194139196,0
-1.8150466680526731,0.0,1,0,13,0.9194139194139196,0
-1.8150466680526731,0.001,1,0,9,0.9194139194139196,0
-1.8150466680526731,0.295,0,0,3,0.9194139194139196,0
-1.898734450340271,50.244,0,0,1,0.9194139194139196,0
-2.0959417819976807,0.001,1,0,10,0.9194139194139196,0
-2.29000186920166,0.002,1,0,6,0.9194139194139196,0
-2.45957612991333,0.008,0,0,5,0.9194139194139196,0
-2.45957612991333,0.11199999999999999,0,0,4,0.9194139194139196,0
-2.45957612991333,5.6610000000000005,0,0,2,0.9194139194139196,0
rank_index,time,class,failures,ranking,nfpa,DDP
-0.2313101887702942,0.001,1,0,10,0.9255189255189255,0
-1.8060014247894287,0.0,1,0,12,0.9255189255189255,0
-1.8060014247894287,0.001,1,0,9,0.9255189255189255,0
-1.8150466680526731,0.0,1,0,13,0.9255189255189255,0
-1.8150466680526731,0.001,1,0,11,0.9255189255189255,0
-1.8150466680526731,0.308,0,0,3,0.9255189255189255,0
-1.898734450340271,47.253,0,0,1,0.9255189255189255,0
-2.0959417819976807,0.013000000000000001,0,0,5,0.9255189255189255,0
-2.29000186920166,0.002,1,0,8,0.9255189255189255,0
-2.382734775543213,0.006,1,0,6,0.9255189255189255,0
-2.45957612991333,0.003,1,0,7,0.9255189255189255,0
-2.45957612991333,0.14400000000000002,0,0,4,0.9255189255189255,0
-2.45957612991333,4.751,0,0,2,0.9255189255189255,0
rank_index,time,class,failures,ranking,nfpa,DDP
-0.2313101887702942,0.001,1,0,9,0.8986568986568986,0
-1.8060014247894287,0.0,1,0,13,0.8986568986568986,0
-1.8060014247894287,0.001,1,0,8,0.8986568986568986,0
-1.8150466680526731,0.001,1,0,11,0.8986568986568986,0
-1.8150466680526731,0.001,1,0,10,0.8986568986568986,0
-1.8150466680526731,0.281,0,0,3,0.8986568986568986,0
-1.898734450340271,49.458999999999996,0,0,1,0.8986568986568986,0
-2.0959417819976807,0.013000000000000001,0,0,6,0.8986568986568986,0
-2.29000186920166,0.002,1,0,7,0.8986568986568986,0
-2.382734775543213,0.001,1,0,12,0.8986568986568986,0
-2.45957612991333,0.024,0,0,5,0.8986568986568986,0
-2.45957612991333,0.18600000000000003,0,0,4,0.8986568986568986,0
-2.45957612991333,5.921,0,0,2,0.8986568986568986,0
rank_index,time,class,failures,ranking,nfpa,DDP
-0.2313101887702942,0.001,1,0,10,0.8937728937728938,0
-1.8060014247894287,0.001,1,0,9,0.8937728937728938,0
-1.8060014247894287,0.001,1,0,8,0.8937728937728938,0
-1.8150466680526731,0.001,1,0,13,0.8937728937728938,0
-1.8150466680526731,0.001,1,0,12,0.8937728937728938,0
-1.8150466680526731,0.35,0,0,3,0.8937728937728938,0
-1.898734450340271,46.281000000000006,0,0,1,0.8937728937728938,0
-2.0959417819976807,0.017,0,0,5,0.8937728937728938,0
-2.29000186920166,0.002,1,0,7,0.8937728937728938,0
-2.382734775543213,0.001,1,0,11,0.8937728937728938,0
-2.45957612991333,0.003,1,0,6,0.8937728937728938,0
-2.45957612991333,0.145,0,0,4,0.8937728937728938,0
-2.45957612991333,4.5680000000000005,0,0,2,0.8937728937728938,0
rank_index,time,class,failures,ranking,nfpa,DDP
-0.2313101887702942,0.001,1,0,9,0.8766788766788768,0
-1.8060014247894287,0.001,1,0,8,0.8766788766788768,0
-1.8060014247894287,0.001,1,0,7,0.8766788766788768,0
-1.8150466680526731,0.0,1,0,13,0.8766788766788768,0
-1.8150466680526731,0.0,1,0,12,0.8766788766788768,0
-1.8150466680526731,0.285,0,0,3,0.8766788766788768,0
-1.898734450340271,47.351000000000006,0,0,1,0.8766788766788768,0
-2.0959417819976807,0.001,1,0,10,0.8766788766788768,0
