cycle_id,num_testsuite,NORMALIZED_RPA,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%,ddp
e45e0fcacdd96747c716faab7bfb70a2c1a7c08b,7,0.9142857142857141,0,0.224,0,0,0.0,0.002,0,0,0.009,0.037,0,0,0.044,0.044,-1.0
42b1a4a2bb435d3136d8ce7f19cc7f29bbbc67a5,7,0.9714285714285715,0,0.23500000000000001,0,0,0.0,0.0,0,0,0.013000000000000001,0.023,0,0,0.05,0.05,-1.0
be3c7715c843d20b6314dc3bc8a438f24acb1109,29,0.9184102863822327,0,0.5060000000000001,0,0,0.001,0.009000000000000001,0,0,0.012,0.098,0,0,0.049,0.171,-1.0
18308d1dbf026d23a31aa3bca8964fdb258528e7,17,0.8913165266106441,0,0.569,0,0,0.012,0.017,0,0,0.05,0.17099999999999999,0,0,0.14400000000000002,0.29700000000000004,-1.0
d58495127d3ac0c3ff8075815d52fedff0c90083,28,0.9034223489758879,0,0.526,0,0,0.0,0.001,0,0,0.020000000000000004,0.24300000000000002,0,0,0.124,0.3360000000000001,-1.0
02a7acf8bf23e65bd53fe75bca85c41c6a4cb2cc,28,0.9220897070261862,0,0.4670000000000001,0,0,0.0,0.014,0,0,0.022000000000000002,0.112,0,0,0.126,0.23700000000000002,-1.0
ca59f9b13beff89b064ce47dc1a53fd22bff272c,7,0.9142857142857141,0,0.16999999999999998,0,0,0.0,0.0,0,0,0.001,0.027,0,0,0.028,0.028,-1.0
7ff6061cbc4f1e2d9353046b38906f834705a8aa,30,0.9453199365415128,0,0.5780000000000001,0,0,0.003,0.003,0,0,0.018000000000000002,0.124,0,0,0.088,0.245,-1.0
f2a10365cdab689f4162d3d71385292bfea0b765,35,0.903755868544601,0,0.48100000000000004,0,0,0.001,0.004,0,0,0.010000000000000002,0.096,0,0,0.048,0.19300000000000003,-1.0
05fe59c9a7010ac0aba966f51b0cc33596737f2e,35,0.919852448021462,0,0.5690000000000001,0,0,0.001,0.005,0,0,0.016,0.04,0,0,0.08600000000000001,0.234,-1.0
44e1427239472510a009293ad2a3dc0ec500f092,32,0.9333916083916086,0,0.626,0,0,0.003,0.003,0,0,0.014,0.149,0,0,0.122,0.278,-1.0
