cycle_id,num_testsuite,NORMALIZED_RPA,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%
c5b0c263b0ff1a89413940ef8a58b1989dfc5bf4,175.0,0.8579870129870132,24.0,1.5950000000000002,24.0,24.0,0.6080000000000001,0.8560000000000001,24.0,24.0,0.6080000000000001,1.016,24.0,24.0,0.679,1.085
3c56f6d1fd4b2111f7fc6b8f70ecd0a74f72fe34,94.0,0.9347802129437068,20.0,0.997,20.0,20.0,0.472,0.477,20.0,20.0,0.486,0.526,20.0,20.0,0.54,0.5930000000000001
eb2624770dde7b8cdec7332a5fb170d95d7ac281,94.0,0.9452496489450576,21.0,1.1880000000000002,21.0,21.0,0.5920000000000001,0.5960000000000001,21.0,21.0,0.606,0.654,21.0,21.0,0.672,0.7500000000000001
e08262bd02d3576c6a4a87f021d7dfb5c3aa5558,94.0,0.9210686290193568,20.0,0.8510000000000001,20.0,20.0,0.35600000000000004,0.395,20.0,20.0,0.3680000000000001,0.46299999999999997,20.0,20.0,0.422,0.507
27095960bb38e93db117446b67467f1cec2ff834,93.0,0.9447953637060992,20.0,1.2619999999999998,20.0,20.0,0.5820000000000001,0.591,20.0,20.0,0.603,0.653,20.0,20.0,0.6829999999999999,0.743
853ca9f088d0e38282cfcd645a2bc7124359b006,95.0,0.9398284651419124,20.0,1.9,20.0,20.0,0.8809999999999999,0.9079999999999999,20.0,20.0,0.901,0.973,20.0,20.0,1.0079999999999998,1.108999999999999
dda32e7586b4c9edfbc67d3a50c892b695a71906,126.0,0.8968893710420585,22.0,2.2880000000000003,22.0,22.0,0.83,0.8820000000000001,22.0,22.0,0.841,0.943,22.0,22.0,0.9209999999999999,1.276
710db6e0d9910b8c5f75d13815a22827bf4763b2,120.0,0.9123092486540249,20.0,1.334,20.0,20.0,0.674,0.723,20.0,20.0,0.6759999999999999,0.7709999999999999,20.0,20.0,0.7370000000000001,0.8089999999999999
7cdd311d742e4a401c50b4d6bb5c5c4f1d830c36,94.0,0.9313603156828241,20.0,1.176,20.0,20.0,0.51,0.529,20.0,20.0,0.537,0.602,20.0,20.0,0.611,0.682
c24a133f41e5b2465473ef8b6e87db850db3e7ac,96.0,0.9192751455584636,20.0,0.979,20.0,20.0,0.442,0.456,20.0,20.0,0.45,0.54,20.0,20.0,0.517,0.6400000000000001
785acb75b6c929886bea4677adc8c1996c65cfdf,94.0,0.9381325654561934,20.0,1.1590000000000005,20.0,20.0,0.502,0.509,20.0,20.0,0.519,0.5660000000000001,20.0,20.0,0.5910000000000001,0.6779999999999999
7f7191036aa8831123d562e5d5d9f9cf9802223b,94.0,0.8877157432588564,20.0,1.126,20.0,20.0,0.5680000000000001,0.6270000000000001,20.0,20.0,0.581,0.747,20.0,20.0,0.654,0.8400000000000001
c57dae07660c218c067bdade524a11f86f60b7b3,97.0,0.9086924857175226,20.0,1.207,20.0,20.0,0.48700000000000004,0.531,20.0,20.0,0.502,0.629,20.0,20.0,0.5900000000000001,0.7
8de985191f496c36ae5eded16d9cf2d3263bb1bc,94.0,0.8827636467054156,21.0,1.2230000000000003,21.0,21.0,0.527,0.5820000000000001,21.0,21.0,0.539,0.7110000000000001,21.0,21.0,0.6060000000000001,0.8150000000000001
30459b80f5d1334c048e060829ca6ae7f79c43a2,94.0,0.8773742867807817,21.0,1.186,21.0,21.0,0.5489999999999999,0.598,21.0,21.0,0.5650000000000001,0.8160000000000002,21.0,21.0,0.6380000000000001,0.868
c2e9e7318290b1b5a4b71ffb9317e629f4ab8fbf,94.0,0.889638991094758,20.0,1.2639999999999998,20.0,20.0,0.502,0.5690000000000001,20.0,20.0,0.527,0.706,20.0,20.0,0.5960000000000001,0.799
7b65c73ed5b9d159763f2d180d7b44f6c1591c45,94.0,0.9252172985655626,20.0,1.0850000000000002,20.0,20.0,0.485,0.493,20.0,20.0,0.507,0.5850000000000001,20.0,20.0,0.5850000000000001,0.6629999999999999
d262c066259ac580ac980a5b9d62a37997566f13,94.0,0.932995609591354,20.0,1.3630000000000002,20.0,20.0,0.5660000000000001,0.5720000000000001,20.0,20.0,0.5950000000000002,0.684,20.0,20.0,0.6900000000000001,0.7490000000000001
54295018da6412f6b56b99faef89059ba40d5d18,7.0,0.9071428571428573,2.0,0.488,1.0,1.0,0.001,0.001,2.0,2.0,0.155,0.156,2.0,2.0,0.162,0.48200000000000004
c5cc7b1bd9016b788bcdd90b443bb1a129be77af,101.0,0.90865325303901,22.0,1.222,22.0,22.0,0.5479999999999999,0.557,22.0,22.0,0.5579999999999999,0.752,22.0,22.0,0.628,0.8340000000000001
7868c8e21df44ca4c3499505b23818a0e3e3efec,96.0,0.93010189092463,20.0,1.072,20.0,20.0,0.4249999999999999,0.442,20.0,20.0,0.44,0.51,20.0,20.0,0.509,0.606
796178b20050ee05a8cf4055acbfabb198829257,134.0,0.8550531111481009,22.0,1.2680000000000002,22.0,22.0,0.5329999999999999,0.608,22.0,22.0,0.5329999999999999,0.677,22.0,22.0,0.5740000000000001,0.74
c11ff34e4652fe3bbfa908717c62c5d04d3a0a46,128.0,0.8936026717039184,22.0,1.337,22.0,22.0,0.521,0.54,22.0,22.0,0.536,0.629,22.0,22.0,0.624,0.76
254c624109975765ae7bd2986191d8aa5a213995,128.0,0.8870676296262779,22.0,1.137,22.0,22.0,0.4320000000000001,0.4710000000000001,22.0,22.0,0.4350000000000001,0.535,22.0,22.0,0.5,0.6509999999999999
1c69bc6d3b3553712af05acd8461c0f9bcd9f092,128.0,0.8755160732060446,22.0,1.5719999999999998,22.0,22.0,0.615,0.6459999999999999,22.0,22.0,0.628,0.78,22.0,22.0,0.7070000000000001,0.8859999999999999
a38c74db6dead5e2e2abdef17d04a0e2e7da6dc6,129.0,0.8601929811232141,22.0,1.2879999999999998,22.0,22.0,0.514,0.5660000000000001,22.0,22.0,0.522,0.6559999999999999,22.0,22.0,0.59,0.805
a7be6b1ef79f31aac9246536b67279a1c1e01b64,128.0,0.8781699619943896,22.0,1.3850000000000002,22.0,22.0,0.535,0.7330000000000001,22.0,22.0,0.542,0.825,22.0,22.0,0.623,0.927
02077be8a33572c254691f3863390eaf930f92e4,128.0,0.9002607230114924,22.0,1.4609999999999999,22.0,22.0,0.506,0.575,22.0,22.0,0.517,0.647,22.0,22.0,0.5870000000000001,0.782
c7e9ddaf7c3ecb9cb7bc7bfacf96e43c5b80226d,128.0,0.8437005135281871,22.0,1.614,22.0,22.0,0.626,0.879,22.0,22.0,0.64,1.016,22.0,22.0,0.7300000000000001,1.2160000000000002
2317cda3cb4875dc15d2fe57217faff9e13f1656,94.0,0.9162871718302849,20.0,1.153,20.0,20.0,0.524,0.6280000000000001,20.0,20.0,0.5489999999999999,0.6839999999999999,20.0,20.0,0.6290000000000001,0.7600000000000001
efd6e292cff5321b430d249188183b466c4dbc62,96.0,0.923161155921158,20.0,1.084,20.0,20.0,0.479,0.512,20.0,20.0,0.493,0.581,20.0,20.0,0.5579999999999999,0.639
306b0b21c61f1f23c812e5c921f6cb614fded4cb,131.0,0.8712673127818401,23.0,1.104,23.0,23.0,0.40299999999999997,0.506,23.0,23.0,0.416,0.5940000000000001,23.0,23.0,0.4800000000000001,0.6450000000000001
b3116632b832829282c6b1a73fbc77ea9e09e3e3,98.0,0.9041277793997152,20.0,1.3450000000000002,20.0,20.0,0.578,0.621,20.0,20.0,0.602,0.7040000000000001,20.0,20.0,0.685,0.8570000000000001
f008ee9df0874be0d2e6a5b35d0e140d45d5e6f9,76.0,0.8793440821304594,13.0,1.3159999999999998,13.0,13.0,0.551,0.654,13.0,13.0,0.5670000000000001,0.7350000000000001,13.0,13.0,0.64,0.8190000000000002
