test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/apache/commons/imaging/formats/jpeg/exif/ExifRewriteTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,4,0,0,0,0,0,0.0,0.364,0.297,4.939365859826406,3,3,3,2,35,6,27,1,4,0,0,10,11,11,0,11,0,4,0,7,421,78,306,128,210,38,211,247,119,128,12,12,13,8,5,0.12,35,35,36,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/imaging/formats/jpeg/iptc/IptcUpdateTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,3,0,0,0,0,0,0.0,0.057999999999999996,0.062,5.594419197241465,3,3,3,1,63,11,43,8,1,0,0,5,5,5,1,5,0,0,0,5,381,69,246,116,180,66,157,179,96,83,7,7,8,1,5,0.27,15,15,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/imaging/formats/jpeg/iptc/IptcDumpTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,1,0,0,0,0,0,0.0,0.006999999999999999,0.005,5.595045447349548,4,4,4,1,42,7,28,7,1,0,0,1,1,1,0,1,0,0,0,1,79,14,42,23,23,23,32,37,23,14,4,4,4,1,3,0.55,4,4,4,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/imaging/formats/tiff/TiffLzwTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,3,0,0,0,0,0,0.0,0.28600000000000003,0.264,4.325166936715444,1,1,1,1,17,1,15,0,5,0,0,18,18,18,6,18,0,3,0,15,264,44,204,68,135,17,109,144,77,67,5,5,5,1,2,0.08,32,32,32,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/imaging/formats/jpeg/exif/AsciiFieldTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,1,0,0,0,0,0,0.0,0.001,0.0,5.597402767340342,4,4,4,1,47,6,37,4,1,0,0,1,1,1,0,1,0,0,0,1,90,12,58,35,32,20,44,49,35,14,4,4,4,1,1,0.34,4,4,4,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/imaging/formats/jpeg/exif/GpsTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,1,0,0,0,0,0,0.0,0.066,0.003,4.003442351023356,7,7,7,7,58,12,38,8,1,0,0,1,1,1,0,1,0,0,0,1,93,17,52,22,30,24,34,42,21,21,7,7,7,7,3,0.46,7,7,7,7,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/imaging/formats/jpeg/exif/MicrosoftTagTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,2,0,0,0,0,0,0.0,0.031,0.031,5.596706485748291,1,1,1,1,11,0,10,0,1,0,4,4,4,4,0,4,0,2,0,2,93,9,68,40,38,16,52,59,38,21,3,3,3,3,1,0.24,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/imaging/formats/jpeg/JpegWithJpegThumbnailTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,1,0,0,0,0,0,0.0,0.006,0.004,5.598713580767313,1,1,1,1,10,1,9,0,1,0,0,1,1,1,0,1,0,0,0,1,45,7,22,18,7,16,17,19,17,2,1,1,1,1,0,0.73,1,1,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/imaging/formats/jpeg/exif/ExifDumpTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,1,0,0,0,0,0,0.0,0.024,0.019,5.598152347405752,3,3,3,3,27,5,21,1,1,0,0,1,1,1,0,1,0,0,0,1,68,11,36,22,16,21,27,31,21,10,3,3,3,3,2,0.58,3,3,3,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/imaging/formats/icns/IcnsRoundTripTest.java,57bf6f14ed80e57e249193f463f4993f90ba8615,8,0,0,0,0,0,0.0,0.259,0.027000000000000003,3.3836838404337564,7,7,7,1,37,0,35,2,1,0,1,10,10,10,0,10,0,2,0,8,453,20,393,106,281,40,274,346,114,232,12,12,12,1,4,0.1,72,72,72,10,0.0,1.0,0.0,1.0,0.0,1.0,1.0
