test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/apache/commons/math3/fitting/leastsquares/GaussNewtonOptimizerWithSVDTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,21,0,0,0,0,0,0.0,0.139,0.157,1.8767076333363848,1,1,1,1,12,0,8,3,1,0,0,7,7,7,0,7,0,0,0,7,148,18,85,42,40,45,35,47,27,20,3,3,3,1,1,0.53,12,12,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/fitting/leastsquares/EvaluationTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,10,0,0,0,0,0,0.0,0.02,0.011,1.8973505059878033,1,1,1,1,13,1,10,1,8,0,0,22,22,22,0,22,0,2,0,20,326,41,233,100,152,52,102,131,85,46,3,3,3,1,1,0.22,28,28,29,22,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/math3/fitting/leastsquares/GaussNewtonOptimizerWithCholeskyTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,21,0,0,0,0,0,0.0,0.087,0.098,1.877369999885559,1,1,1,1,10,0,7,2,1,0,0,7,7,7,0,7,0,0,0,7,133,15,75,31,34,43,26,39,17,22,3,3,3,1,1,0.57,13,13,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/fitting/leastsquares/GaussNewtonOptimizerWithQRTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,21,0,0,0,0,0,0.0,0.026,0.025,1.8773475845654808,1,1,1,1,10,0,7,2,1,0,0,6,6,6,0,6,0,0,0,6,119,14,66,28,30,39,24,35,16,19,3,3,3,1,1,0.59,11,11,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/optimization/general/MinpackTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,18,0,0,0,0,0,0.0,0.329,0.604,1.8828640659650169,1,1,1,1,12,0,12,0,20,2,28,67,68,66,7,68,0,2,4,62,1211,153,980,355,662,78,364,484,267,217,5,5,5,1,2,0.08,102,102,102,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/fitting/leastsquares/EvaluationTestValidation.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,2,0,0,0,0,0,0.0,0.163,0.154,1.84726056655248,4,4,4,1,62,9,32,21,1,0,1,4,4,4,0,4,1,1,0,2,304,44,147,74,107,117,103,123,75,48,8,8,8,1,2,0.8,17,17,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/fitting/leastsquares/GaussNewtonOptimizerWithLUTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,21,0,0,0,0,0,0.0,0.024,0.023,1.8800552209218344,1,1,1,1,10,0,7,2,1,0,0,7,7,7,0,7,0,0,0,7,133,15,75,31,34,43,26,39,17,22,3,3,3,1,1,0.57,13,13,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/optim/nonlinear/vector/jacobian/LevenbergMarquardtOptimizerTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,23,0,0,0,0,0,0.0,0.048,0.049,1.882020429770152,1,1,1,1,20,1,17,1,4,0,0,13,13,13,2,13,0,1,0,12,373,37,240,120,157,96,115,139,85,54,5,5,5,1,2,0.4,22,22,22,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/fitting/HarmonicCurveFitterTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,7,0,0,0,0,0,0.0,0.022,0.024,1.8953842480977376,2,2,2,1,19,2,15,1,1,0,0,7,7,7,0,7,0,0,0,7,182,24,129,75,86,29,101,118,72,46,4,4,4,1,1,0.22,16,16,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/fitting/PolynomialCurveFitterTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,5,0,0,0,0,0,0.0,1.147,0.943,1.8760390996932983,3,3,3,1,17,2,14,1,1,0,0,7,7,7,0,7,0,2,0,5,166,23,117,60,71,27,89,111,64,47,4,4,6,1,2,0.23,21,21,23,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/fitting/GaussianCurveFitterTest.java,321fd029ec5c9c3c9717f1ede0add49d8a709a01,12,0,0,0,0,0,0.0,0.026,0.025,1.8925269166628518,1,1,1,1,14,1,10,3,1,1,5,13,13,12,0,13,0,1,0,12,395,32,295,97,241,69,79,95,53,42,2,2,2,1,1,0.23,15,15,15,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/random/ValueServerTest.java,fc7eeb4801b1ea7524b9329d5584c2e5ed945913,9,0,0,0,0,0,0.0,0.071,0.069,2.9989514986673997,2,2,2,1,16,0,12,3,1,0,0,11,11,11,1,11,0,1,0,10,240,18,167,52,111,57,117,140,48,92,3,3,3,1,1,0.34,22,22,23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/analysis/polynomials/PolynomialSplineFunctionTest.java,fc7eeb4801b1ea7524b9329d5584c2e5ed945913,3,0,0,0,0,0,0.0,0.001,0.001,3.0010823369026185,3,3,4,1,29,3,22,6,1,0,0,4,4,4,4,4,0,0,1,3,187,25,110,38,72,57,64,80,31,49,5,5,5,3,2,0.52,15,15,16,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/math3/complex/RootsOfUnityTest.java,fc7eeb4801b1ea7524b9329d5584c2e5ed945913,6,0,0,0,0,0,0.0,0.001,0.002,3.0006974657376606,1,1,1,1,8,0,7,1,1,0,0,7,7,7,0,7,0,1,0,6,101,10,63,32,31,28,37,48,26,22,3,3,3,1,2,0.44,11,11,11,7,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/math3/optimization/MultivariateDifferentiableVectorMultiStartOptimizerTest.java,fc7eeb4801b1ea7524b9329d5584c2e5ed945913,2,0,0,0,0,0,0.0,0.012,0.013,3.0014699856440226,1,1,1,1,10,0,9,0,6,0,1,15,15,15,4,15,0,0,0,15,241,25,132,47,74,84,65,87,51,36,3,3,3,1,2,0.64,19,19,19,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/math3/linear/MatrixUtilsTest.java,fc7eeb4801b1ea7524b9329d5584c2e5ed945913,22,0,0,0,0,0,0.0,0.009000000000000001,0.01,2.997309950987498,2,2,2,1,13,0,12,1,1,2,0,26,26,24,21,26,0,0,2,24,484,44,389,185,238,65,175,233,113,120,5,5,5,1,4,0.17,57,57,57,26,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/math3/optim/univariate/MultiStartUnivariateOptimizerTest.java,fc7eeb4801b1ea7524b9329d5584c2e5ed945913,5,0,0,0,0,0,0.0,0.006,0.004,3.001730215549469,1,1,1,1,15,0,14,0,3,0,1,6,6,6,0,6,0,0,0,6,133,11,102,49,65,20,61,73,44,29,2,2,2,1,1,0.2,10,10,10,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
