test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,time_0,failures_%,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/jsoup/safety/CleanerTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,21,0,0,0,0,0,0.0,0.0,0.076,0.0,1,1,1,1,6,0,6,0,1,0,0,21,21,21,0,21,0,0,0,21,180,32,143,83,91,20,92,114,81,33,1,1,1,1,0,0.14,21,21,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/jsoup/parser/HtmlParserTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,81,0,0,0,0,0,0.0,0.0,0.021,0.0,1,1,1,1,7,0,6,1,1,0,0,81,81,81,0,81,0,0,0,81,723,104,571,270,396,89,369,451,265,186,1,1,1,1,0,0.16,81,81,81,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/jsoup/parser/AttributeParseTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,6,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,7,0,7,0,1,0,0,6,6,6,0,6,0,0,0,6,69,11,54,29,33,6,40,47,29,18,1,1,1,1,0,0.11,6,6,6,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/jsoup/select/ElementsTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,25,0,0,0,0,0,0.0,0.0,0.016,0.0,1,1,1,1,7,0,7,0,2,0,0,27,27,27,0,27,0,0,0,27,240,42,195,87,134,9,138,166,89,77,1,1,1,1,0,0.05,27,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/jsoup/nodes/TextNodeTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,4,0,0,0,0,0,0.0,0.0,0.001,0.0,1,1,1,1,13,1,11,0,1,0,0,4,4,4,0,4,0,0,0,4,69,13,53,28,38,4,43,48,28,20,1,1,1,1,0,0.08,4,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/jsoup/integration/ParseTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,10,0,0,0,0,0,0.0,0.0,0.142,0.0,1,1,1,1,11,0,9,2,1,0,0,11,11,11,0,11,1,0,0,10,170,24,130,65,84,36,81,94,52,42,2,2,2,1,1,0.28,12,12,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/jsoup/nodes/ElementTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,50,0,0,0,0,0,0.0,0.0,0.016,0.0,1,1,1,1,9,0,8,0,1,0,0,50,50,50,1,50,0,0,0,50,542,99,431,182,316,22,326,381,186,195,2,2,2,1,1,0.05,54,54,54,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/jsoup/nodes/NodeTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,17,0,0,0,0,0,0.0,0.0,0.005,0.0,1,1,1,1,9,1,8,1,2,0,0,19,19,19,0,19,0,0,0,19,210,40,162,71,115,27,121,141,73,68,1,1,1,1,0,0.17,19,19,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/jsoup/nodes/DocumentTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,7,0,0,0,0,0,0.0,0.0,0.001,0.0,1,1,1,1,8,0,7,0,1,0,0,7,7,7,0,7,0,0,0,7,82,17,61,23,40,4,44,52,23,29,1,1,1,1,0,0.07,7,7,7,7,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/jsoup/nodes/EntitiesTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,6,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,7,0,6,0,1,0,0,6,6,6,0,6,0,0,0,6,63,14,48,27,28,2,34,41,27,14,1,1,1,1,0,0.04,6,6,6,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/jsoup/select/SelectorTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,47,0,0,0,0,0,0.0,0.0,0.034,0.0,1,1,1,1,11,1,10,0,1,0,0,47,47,47,0,47,0,0,0,47,601,114,478,206,376,26,382,430,206,224,1,1,1,1,0,0.05,47,47,47,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/jsoup/integration/UrlConnectTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,7,0,7,1,1,1,1,17,17,16,0,17,0,1,0,16,186,26,154,85,88,29,84,105,65,40,2,2,2,1,1,0.19,20,20,20,17,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/jsoup/parser/XmlTreeBuilderTest.java,d7b5d5b28a6dd7ff198f02e1ee82160220135a74,7,0,0,0,0,0,0.0,0.0,0.002,0.0,1,1,1,1,8,0,7,1,1,0,0,7,7,7,0,7,0,0,0,7,95,13,74,48,37,17,44,52,40,12,1,1,1,1,0,0.23,7,7,7,7,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/jsoup/select/QueryParserTest.java,db2d5aa85352fe63531540ef396b944e2fe58e2c,2,0,0,0,0,0,0.0,0.0,0.009000000000000001,0.0,1,1,1,1,14,1,12,1,1,0,0,2,2,2,0,2,0,0,0,2,42,5,30,13,20,7,22,27,14,13,2,2,2,1,1,0.23,3,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/jsoup/select/ElementsTest.java,db2d5aa85352fe63531540ef396b944e2fe58e2c,25,0,0,0,0,0,0.016,0.0,0.01,0.1981864094734192,1,1,1,1,7,0,7,0,2,0,0,27,27,27,0,27,0,0,0,27,240,42,195,87,134,9,138,166,89,77,1,1,1,1,0,0.05,27,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/jsoup/integration/UrlConnectTest.java,db2d5aa85352fe63531540ef396b944e2fe58e2c,1,0,0,0,0,0,0.0,0.0,0.0,0.19597729841868086,1,1,1,1,7,0,7,1,1,1,1,17,17,16,0,17,0,1,0,16,186,26,154,85,88,29,84,105,65,40,2,2,2,1,1,0.19,20,20,20,17,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/jsoup/parser/AttributeParseTest.java,db2d5aa85352fe63531540ef396b944e2fe58e2c,6,0,0,0,0,0,0.0,0.0,0.0,0.19923678636550904,1,1,1,1,7,0,7,0,1,0,0,6,6,6,0,6,0,0,0,6,69,11,54,29,33,6,40,47,29,18,1,1,1,1,0,0.11,6,6,6,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
