test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
jsprit/core/algorithm/VehicleRoutingAlgorithmTest.java,349364dce66e1abe98888a7855e08de286cfef6b,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,1.0,1.0,1.0,1.0,11.0,0.0,10.0,0.0,6.0,0.0,0.0,13.0,13.0,13.0,5.0,13.0,0.0,0.0,0.0,13.0,185.0,28.0,141.0,62.0,91.0,16.0,90.0,109.0,53.0,56.0,2.0,2.0,2.0,1.0,1.0,0.11,17.0,17.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,4.0,0.0,3.0,3.0,3.0,1.0,1.0,0.011629251914171062,0.012105928024522554,0.5105522333098023,1.0,1.0,1.0,1.0,16.0,1.0,15.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,110.0,13.0,81.0,59.0,53.0,20.0,63.0,68.0,51.0,17.0,1.0,1.0,1.0,1.0,0.0,0.25,4.0,4.0,4.0,4.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,3.0,0.0,0.0,0.0,1.0,1.0,0.333333333,0.011615591456680495,0.011192204271659753,0.40385304855601645,1.0,1.0,1.0,1.0,18.0,4.0,14.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,79.0,18.0,58.0,44.0,37.0,3.0,36.0,40.0,33.0,7.0,1.0,1.0,1.0,1.0,0.0,0.05,3.0,3.0,3.0,3.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,7.0,3.0,3.0,3.0,3.0,1.0,0.428571429,0.0,0.0,0.37217328973110053,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,8.0,88.0,15.0,57.0,27.0,22.0,16.0,29.0,38.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.28,8.0,8.0,8.0,8.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,9.0,3.0,3.0,3.0,3.0,1.0,0.333333333,0.001,0.0,0.3666666666666665,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,10.0,10.0,10.0,2.0,10.0,0.0,0.0,0.0,10.0,107.0,22.0,69.0,38.0,29.0,16.0,35.0,46.0,28.0,18.0,1.0,1.0,1.0,1.0,0.0,0.23,10.0,10.0,10.0,10.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
jsprit/core/algorithm/io/TestAlgorithmReader.java,349364dce66e1abe98888a7855e08de286cfef6b,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,1.0,1.0,1.0,1.0,10.0,1.0,7.0,0.0,4.0,0.0,0.0,23.0,23.0,23.0,4.0,23.0,0.0,0.0,0.0,23.0,298.0,69.0,206.0,118.0,114.0,23.0,129.0,154.0,110.0,44.0,2.0,2.0,2.0,1.0,1.0,0.11,24.0,24.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0136035176598387,0.022400879414959673,0.38333333333333336,1.0,1.0,1.0,1.0,16.0,1.0,15.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,110.0,13.0,81.0,59.0,53.0,20.0,63.0,68.0,51.0,17.0,1.0,1.0,1.0,1.0,0.0,0.25,4.0,4.0,4.0,4.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
jsprit/core/algorithm/SearchStrategyManagerTest.java,349364dce66e1abe98888a7855e08de286cfef6b,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,14.0,3.0,11.0,0.0,1.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,195.0,46.0,133.0,62.0,94.0,16.0,101.0,112.0,52.0,60.0,1.0,1.0,1.0,1.0,0.0,0.12,10.0,10.0,10.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
jsprit/core/algorithm/termination/IterationsWithoutImprovementTest.java,349364dce66e1abe98888a7855e08de286cfef6b,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,3.0,3.0,3.0,3.0,14.0,0.0,14.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,61.0,7.0,54.0,25.0,31.0,0.0,37.0,48.0,25.0,23.0,4.0,4.0,4.0,3.0,2.0,0.0,10.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jsprit/core/algorithm/SearchStrategyTest.java,349364dce66e1abe98888a7855e08de286cfef6b,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,1.0,1.0,1.0,1.0,13.0,2.0,9.0,1.0,6.0,0.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,246.0,59.0,161.0,68.0,108.0,26.0,89.0,112.0,75.0,37.0,2.0,2.0,2.0,1.0,0.0,0.16,22.0,22.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jsprit/core/algorithm/termination/TimeTerminationTest.java,349364dce66e1abe98888a7855e08de286cfef6b,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,3.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,55.0,5.0,31.0,12.0,18.0,19.0,15.0,20.0,12.0,8.0,1.0,1.0,1.0,1.0,0.0,0.61,4.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
jsprit/core/algorithm/UnassignedJobListTest.java,349364dce66e1abe98888a7855e08de286cfef6b,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,1.0,1.0,1.0,1.0,17.0,2.0,15.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,57.0,11.0,46.0,31.0,26.0,0.0,38.0,41.0,29.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.014042452197827454,0.022765919574185296,0.38333333333333336,1.0,1.0,1.0,1.0,16.0,1.0,15.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,110.0,13.0,81.0,59.0,53.0,20.0,63.0,68.0,51.0,17.0,1.0,1.0,1.0,1.0,0.0,0.25,4.0,4.0,4.0,4.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
jsprit/core/algorithm/recreate/TestDepartureTimeOpt.java,349364dce66e1abe98888a7855e08de286cfef6b,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,16.0,3.0,12.0,0.0,7.0,0.0,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,218.0,55.0,147.0,98.0,100.0,16.0,94.0,107.0,89.0,18.0,1.0,1.0,1.0,1.0,0.0,0.11,12.0,12.0,12.0,12.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,7.0,3.0,3.0,3.0,3.0,1.0,0.428571429,0.0005270286539044898,0.0,0.39121618910159184,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,8.0,88.0,15.0,57.0,27.0,22.0,16.0,29.0,38.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.28,8.0,8.0,8.0,8.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
jsprit/core/algorithm/ExternalInitialSolutionIsInValidTest.java,349364dce66e1abe98888a7855e08de286cfef6b,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,1.0,1.0,1.0,1.0,25.0,10.0,12.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,15.0,28.0,24.0,10.0,6.0,23.0,25.0,23.0,2.0,1.0,1.0,1.0,1.0,0.0,0.21,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.009422384522184307,0.006844769044368612,0.3666666666666665,1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,5.0,104.0,22.0,64.0,41.0,23.0,18.0,45.0,51.0,38.0,13.0,1.0,1.0,1.0,1.0,0.0,0.28,5.0,5.0,5.0,5.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,7.0,7.0,7.0,7.0,7.0,1.0,1.0,0.006678367984496905,0.00934795998062113,0.3666666666666665,1.0,1.0,1.0,1.0,11.0,0.0,10.0,0.0,3.0,0.0,0.0,10.0,10.0,10.0,4.0,10.0,0.0,0.0,0.0,10.0,190.0,25.0,144.0,105.0,80.0,21.0,107.0,118.0,96.0,22.0,1.0,1.0,1.0,1.0,0.0,0.15,10.0,10.0,10.0,10.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,7.0,2.0,2.0,7.0,7.0,1.0,1.0,0.007449619074068922,0.0076124047685172305,0.4445738101850564,1.0,1.0,1.0,1.0,11.0,0.0,10.0,0.0,3.0,0.0,0.0,10.0,10.0,10.0,4.0,10.0,0.0,0.0,0.0,10.0,190.0,25.0,144.0,105.0,80.0,21.0,107.0,118.0,96.0,22.0,1.0,1.0,1.0,1.0,0.0,0.15,10.0,10.0,10.0,10.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.006,0.006999999999999999,0.3666666666666665,1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,5.0,104.0,22.0,64.0,41.0,23.0,18.0,45.0,51.0,38.0,13.0,1.0,1.0,1.0,1.0,0.0,0.28,5.0,5.0,5.0,5.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,5.0,4.0,4.0,4.0,4.0,1.0,0.8,0.003070394122578011,0.003,0.3666666666666665,1.0,1.0,1.0,1.0,14.0,0.0,13.0,0.0,8.0,0.0,0.0,13.0,13.0,13.0,7.0,13.0,0.0,0.0,0.0,13.0,230.0,27.0,180.0,87.0,112.0,23.0,117.0,136.0,83.0,53.0,2.0,2.0,2.0,1.0,1.0,0.13,18.0,18.0,18.0,13.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,7.0,3.0,3.0,3.0,3.0,1.0,0.428571429,0.0,0.0007685998047885084,0.38333333333333336,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,8.0,87.0,14.0,57.0,27.0,22.0,16.0,29.0,38.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.28,8.0,8.0,8.0,8.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
jsprit/core/algorithm/DeactivateTimeWindowsTest.java,349364dce66e1abe98888a7855e08de286cfef6b,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,1.0,1.0,1.0,1.0,16.0,1.0,15.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,110.0,13.0,81.0,59.0,53.0,20.0,63.0,68.0,51.0,17.0,1.0,1.0,1.0,1.0,0.0,0.25,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,7.0,1.0,3.0,3.0,3.0,1.0,0.428571429,0.0,0.001,0.3666666666666665,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,8.0,87.0,14.0,57.0,27.0,22.0,16.0,29.0,38.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.28,8.0,8.0,8.0,8.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
jsprit/core/algorithm/OpenRoutesTest.java,349364dce66e1abe98888a7855e08de286cfef6b,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903,0.0,1.0,1.0,1.0,1.0,23.0,6.0,17.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,175.0,43.0,114.0,73.0,70.0,18.0,61.0,70.0,54.0,16.0,2.0,2.0,2.0,1.0,1.0,0.16,8.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,7.0,0.0,0.0,1.0,3.0,1.0,0.428571429,0.0,0.0,1.8619995495575554,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,8.0,88.0,15.0,57.0,27.0,22.0,16.0,29.0,38.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.28,8.0,8.0,8.0,8.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
SMOTE,349364dce66e1abe98888a7855e08de286cfef6b,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.01456519699104748,0.017141299247761872,0.3666666666666665,1.0,1.0,1.0,1.0,16.0,1.0,15.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,110.0,13.0,81.0,59.0,53.0,20.0,63.0,68.0,51.0,17.0,1.0,1.0,1.0,1.0,0.0,0.25,4.0,4.0,4.0,4.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
