cycle_id,num_testsuite,NORMALIZED_RPA,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%
43e1ab6e21b76f08526fb926a71d6dd70aaec5ae,8.0,0.8333333333333333,0.0,46.70400000000001,0.0,0.0,0.027000000000000003,0.046,0.0,0.0,5.553999999999999,11.552999999999999,0.0,0.0,17.061,41.19600000000001
12f80ff3ac3d7d5b2dccf4f3ec4f9c93ec21c37d,9.0,0.8526315789473684,0.0,31.939,0.0,0.0,0.0,0.019000000000000003,0.0,0.0,0.015,0.019000000000000003,0.0,0.0,4.578999999999999,20.422
3ba4695aa9c2e39a26ebc83bdf5452a5351f10bf,9.0,0.8771929824561403,0.0,19.142,0.0,0.0,0.001,0.018000000000000002,0.0,0.0,0.013000000000000001,0.025,0.0,0.0,0.06899999999999999,8.096
6bcbadcc35c5f78cc04d6916beab6c5e10a1a016,20.0,0.8505226480836237,0.0,59.68000000000001,0.0,0.0,0.003,8.48,0.0,0.0,0.239,11.753,0.0,0.0,11.985,50.817
0b5b1be810baf881d835ef2a96d55f54f537a6a5,15.0,0.7991935483870968,0.0,55.659,0.0,0.0,0.003,0.031,0.0,0.0,0.474,14.593999999999998,0.0,0.0,14.693,52.46
8a1c1118558c8a4ec4d0b972d0c58906eaa3dd87,15.0,0.8112903225806452,0.0,56.326,0.0,0.0,0.003,0.033,0.0,0.0,0.509,14.341,0.0,0.0,14.723,53.141000000000005
e6543480ad73e45c7f02710b0ee15352664e118a,11.0,0.7766798418972334,0.0,28.299,0.0,0.0,0.008,5.5710000000000015,0.0,0.0,0.235,11.510000000000002,0.0,0.0,6.174,25.374000000000002
861879edc67cdf244d1f7d1ea927f7c1a9399263,14.0,0.7625615763546795,0.0,55.27,0.0,0.0,0.021,5.536999999999999,0.0,0.0,3.2760000000000002,17.083,0.0,0.0,14.415,52.262
6641cc08d9568fcd6a291cab8cb0a7c4860e43b6,8.0,0.8333333333333333,0.0,46.861000000000004,0.0,0.0,0.024,0.033,0.0,0.0,5.436,11.498,0.0,0.0,16.901,41.458
8408716a7f2909eab4618ac2ab6e9a1565a993d0,8.0,0.8529411764705881,0.0,46.82899999999999,0.0,0.0,0.02,0.034,0.0,0.0,5.462000000000001,11.528,0.0,0.0,17.012,41.345
