rank_index,time,class,failures,ranking,nfpa,failure_metric
1977.8907470703125,0.011000000000000001,2,1,8,0.9705882352941176,0.125
999.9991455078124,0.006999999999999999,1,0,4,0.9705882352941176,0.125
999.7291259765624,0.0,1,0,7,0.9705882352941176,0.125
997.1174926757812,0.002,1,0,6,0.9705882352941176,0.125
990.0374145507812,0.006999999999999999,1,0,5,0.9705882352941176,0.125
963.6105346679688,0.03,0,0,3,0.9705882352941176,0.125
954.149658203125,0.038,0,0,2,0.9705882352941176,0.125
836.0897216796875,0.187,0,0,1,0.9705882352941176,0.125
rank_index,time,class,failures,ranking,nfpa,failure_metric
1968.8741455078125,0.09,2,1,8,0.9950980392156862,0.125
999.74169921875,0.0,1,0,7,0.9950980392156862,0.125
985.0850830078124,0.001,1,0,5,0.9950980392156862,0.125
961.733154296875,0.001,1,0,6,0.9950980392156862,0.125
873.89111328125,0.035,0,0,4,0.9950980392156862,0.125
842.333740234375,0.06,0,0,3,0.9950980392156862,0.125
252.20997619628903,0.287,0,0,2,0.9950980392156862,0.125
17.19587516784668,3.466,0,0,1,0.9950980392156862,0.125
