cycle_id,num_testsuite,NORMALIZED_RPA,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%
ea60ee3cbfa76ce75cc7c676bec44f7eaf027ba6,59.0,0.9893462469733658,0.0,45.343999999999994,0.0,0.0,1.0789999999999995,1.1549999999999998,0.0,0.0,4.082,4.17,0.0,0.0,9.494,9.692
45c476376e927fd296b2195860048ebe2a79860d,69.0,0.97125876938201,0.0,39.839,0.0,0.0,1.0290000000000001,1.405,0.0,0.0,4.231999999999998,4.699000000000002,0.0,0.0,9.52,11.293
d7409c83752022f422bb7f6624fdffeb7bf403ee,68.0,0.9858774992066012,0.0,39.647,0.0,0.0,1.09,1.1090000000000002,0.0,0.0,4.022,4.186,0.0,0.0,8.975,9.616
33a1aa0801aa7e33d49407a92d915a62e57cca58,68.0,0.9910859297701944,0.0,44.61,0.0,0.0,1.196,1.284,0.0,0.0,4.4350000000000005,4.5870000000000015,0.0,0.0,9.901,10.248
c1d3e8009163875c93c2225bc2f51dfe7c33eeca,70.0,0.9918660901579692,0.0,39.321999999999996,0.0,0.0,0.998,1.025,0.0,0.0,3.962,4.0840000000000005,0.0,0.0,8.795,9.029
6d64f8538bf5fd0ad623efaa637face0d5f88e60,71.0,0.9801044026396134,0.0,38.369,0.0,0.0,0.925,1.215,0.0,0.0,4.123,4.59,0.0,0.0,9.717,9.841000000000003
c2714b3c954c99bc7f6c7fdb2c4d56501ad8e246,71.0,0.9826241833284084,0.0,47.986,0.0,0.0,1.327,1.37,0.0,0.0,5.084999999999999,5.510000000000002,0.0,0.0,11.402000000000001,12.094000000000001
23e2e34c178463ad29b3339572e4258c469ffc56,70.0,0.9861723532685476,0.0,44.521,0.0,0.0,1.15,1.1840000000000002,0.0,0.0,4.553999999999999,4.71,0.0,0.0,10.092999999999998,10.592
6fc2a3b0a5a33fa3b921925303ef4a8e73dccbbb,70.0,0.9890748747805984,0.0,42.117,0.0,0.0,1.405,1.4269999999999998,0.0,0.0,5.192,5.542000000000001,0.0,0.0,10.647,10.961
f73dd19086aa44e7dad0b95d4e0dd4bca7dfe1bd,70.0,0.9904619204589238,0.0,46.037,0.0,0.0,1.207,1.257,0.0,0.0,4.689,4.996,0.0,0.0,10.05,10.265
c55c6416f07650b70b81a6dca09db73cc1689531,70.0,0.9845027612483414,0.0,45.459,0.0,0.0,1.38,1.564,0.0,0.0,5.193,5.451999999999999,0.0,0.0,10.984000000000002,11.326
f973acb33f91db0f1a581ab2ef4287083c3faa1a,70.0,0.9910441371634059,0.0,43.615,0.0,0.0,1.213,1.234,0.0,0.0,4.6869999999999985,4.924,0.0,0.0,9.772999999999998,10.001
578c13f135a3a9a0e0eebc1f08fb3447170053b3,70.0,0.9818656620574512,3.0,42.88399999999999,3.0,3.0,2.177,2.309,3.0,3.0,5.218,5.591999999999999,3.0,3.0,10.664000000000001,11.011
c1425cc65cefde9e3af72b4af4351069caef12f8,70.0,0.9900595059720024,0.0,41.81400000000001,0.0,0.0,1.3130000000000002,1.331,0.0,0.0,4.675999999999998,4.851000000000001,0.0,0.0,9.879999999999997,9.970999999999998
1fae9ce05e50537af3d15ea348c2949dec43d06a,70.0,0.975521212380667,1.0,125.225,1.0,1.0,4.0,4.178,1.0,1.0,14.296,15.939000000000002,1.0,1.0,30.375999999999998,32.859
370d956289ddee691dc2f5a901dd3ac305dffc1f,70.0,0.9421978680594202,0.0,131.94,0.0,0.0,4.111000000000001,4.15,0.0,0.0,15.555,19.455,0.0,0.0,32.730999999999995,38.94799999999999
eb66eb9385b1214bcbfb1449b70bdc05375fd5f4,70.0,0.9631833554518604,0.0,123.109,0.0,0.0,4.046,5.186,0.0,0.0,14.475,17.575,0.0,0.0,30.663,31.232
eb693c37cc64a54989fdb40803313ee03d4bc805,70.0,0.9466415514362772,0.0,109.11,0.0,0.0,3.2299999999999995,3.365,0.0,0.0,12.335,19.053999999999995,0.0,0.0,27.696,29.223000000000003
10311350266184de4c9b9265b604d3865d0e0873,72.0,0.9470949456778458,0.0,96.393,0.0,0.0,2.8710000000000004,3.3789999999999996,0.0,0.0,11.325,16.055,0.0,0.0,25.244,26.647
f377b486e375c270d2598a61cf7b299b5dea4581,71.0,0.9626547161758426,0.0,101.605,0.0,0.0,3.435,3.698,0.0,0.0,12.686,16.412000000000006,0.0,0.0,27.524000000000004,27.979
1f75676a77039d43057d9ce736e65428646eff36,71.0,0.946501854952559,0.0,99.448,0.0,0.0,2.826,2.8310000000000004,0.0,0.0,11.149,14.93,0.0,0.0,24.562,25.39
0da6663c1e74e0300f79bd43cd0544e6f5548c5d,71.0,0.9563593683311992,0.0,90.477,0.0,0.0,2.9610000000000003,3.053,0.0,0.0,10.842,13.9,0.0,0.0,24.755,26.874
99bcbd4e74e04906ca0ce06455a3c79ad2537587,71.0,0.948069536097705,1.0,92.203,1.0,1.0,3.687,3.949,1.0,1.0,11.288,15.145,1.0,1.0,24.687,27.164
e2eec2f5528ef2b005c6de85fb72836992116bdc,71.0,0.9497357102990904,1.0,107.989,1.0,1.0,3.968,4.56,1.0,1.0,12.818,18.422000000000004,1.0,1.0,29.069000000000003,32.029
6b2e98a56dda635b0d9689bdf9fafecbb1dd6df2,72.0,0.9624862226421036,1.0,97.649,1.0,1.0,3.917,4.088,1.0,1.0,11.775,15.72,1.0,1.0,25.372,26.291999999999998
fa44670b4163207cd26d587082f7f69753828cd9,73.0,0.9619188660284549,1.0,94.93,1.0,1.0,3.2089999999999996,3.4370000000000003,1.0,1.0,11.049,14.54,1.0,1.0,24.267000000000003,25.52
3b3bc3ad5af6a8d29cdbe02826072c0b20caf7e1,72.0,0.9639741772949144,0.0,105.863,0.0,0.0,3.264,3.5,0.0,0.0,11.433000000000002,15.019,0.0,0.0,25.799,27.835
6440b082ecec72766f649406189180d27c475ca9,73.0,0.961216178437313,0.0,104.50399999999999,0.0,0.0,3.1069999999999998,3.2220000000000004,0.0,0.0,11.585,14.87,0.0,0.0,26.502,28.180000000000003
8b34ad5983696d5d65e6f5908bbd12015c7ca159,73.0,0.9621682067866018,0.0,113.439,0.0,0.0,3.731,3.810000000000001,0.0,0.0,12.954,17.872,0.0,0.0,29.43300000000001,30.34300000000001
357d0c4333bfdc2b9cf1ac415b740ed5fb7f4118,73.0,0.9399164330671176,0.0,98.03399999999999,0.0,0.0,3.141,3.957,0.0,0.0,11.798000000000002,16.783,0.0,0.0,25.645000000000003,26.718000000000004
85a3464e71eb5c91c85a38645f1f4b3edd3accdd,71.0,0.9217472668176891,1.0,9.56,1.0,1.0,0.16899999999999998,0.22500000000000006,1.0,1.0,0.251,0.4640000000000001,1.0,1.0,0.6010000000000002,0.9350000000000002
381879331fc4fb34d29fd5276fdf156bbad221a2,71.0,0.9401572605797957,0.0,11.296,0.0,0.0,0.025,0.061,0.0,0.0,0.19,0.5800000000000001,0.0,0.0,0.6850000000000002,1.092
056e67f5d72b5acc0f50904c83e3e1ee5587e0b9,73.0,0.9493309356323056,0.0,10.613,0.0,0.0,0.033,0.07400000000000001,0.0,0.0,0.16800000000000004,0.532,0.0,0.0,0.5480000000000002,0.981
23fd6e63f9018cc2a21a6dc42a7cd00eaab92dc2,71.0,0.9490052201319806,0.0,10.406,0.0,0.0,0.031000000000000007,0.08199999999999999,0.0,0.0,0.18600000000000005,0.31000000000000005,0.0,0.0,0.6930000000000002,0.992
81e1f86db241790455134b098b6eaf856c1b4d3f,73.0,0.9322926504922592,0.0,11.013,0.0,0.0,0.031,0.08900000000000001,0.0,0.0,0.16700000000000004,0.409,0.0,0.0,0.5870000000000002,1.045
aa64edf17c6a44a136cb38658b7be4db0393d163,71.0,0.9274680718342688,0.0,9.912,0.0,0.0,0.027000000000000003,0.07300000000000001,0.0,0.0,0.14900000000000002,0.4850000000000001,0.0,0.0,0.5070000000000001,0.8660000000000002
0eba56018bb435c03159321c51f4545f13ed1612,71.0,0.9405676483141272,0.0,10.729000000000001,0.0,0.0,0.03,0.08,0.0,0.0,0.19600000000000006,0.4760000000000001,0.0,0.0,0.7210000000000002,0.994
48bbe2aeb95341100b48df7ee0e7d0d02624cc0e,73.0,0.9296707946414404,0.0,10.439,0.0,0.0,0.023000000000000003,0.06000000000000001,0.0,0.0,0.15800000000000006,0.6290000000000001,0.0,0.0,0.6170000000000002,1.1169999999999998
043ad3edc646ca0471c23bfecc55691dcf32f2f2,73.0,0.9492100431435072,0.0,10.437999999999999,0.0,0.0,0.035,0.08200000000000003,0.0,0.0,0.17400000000000004,0.4300000000000001,0.0,0.0,0.6110000000000001,0.8510000000000001
