cycle_id,num_testsuite,NORMALIZED_RPA,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%
c75e9cc85d596ff08ae858da3c61d55e717607d1,16.0,0.6584224598930482,0.0,0.387,0.0,0.0,0.001,0.096,0.0,0.0,0.006999999999999999,0.37,0.0,0.0,0.055000000000000014,0.381
398f9cf93414253c216585efdfca3b9f73f90d74,16.0,0.6189839572192514,0.0,0.262,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.006,0.24600000000000002,0.0,0.0,0.042,0.258
a31ec08e102fd3832f3ff4449e9163440f0afb2c,18.0,0.6334755808440019,0.0,0.29000000000000004,0.0,0.0,0.0,0.07,0.0,0.0,0.003,0.27699999999999997,0.0,0.0,0.029000000000000005,0.28500000000000003
05ae97865c84536a6cfe7759ca6c382eb761ecb2,19.0,0.6514170040485828,0.0,0.368,0.0,0.0,0.0,0.08499999999999999,0.0,0.0,0.002,0.345,0.0,0.0,0.043,0.36200000000000004
1e30a157667af1fa7108d985dcb858a801832887,17.0,0.6487394957983194,0.0,0.28900000000000003,0.0,0.0,0.0,0.07400000000000001,0.0,0.0,0.002,0.27899999999999997,0.0,0.0,0.025,0.28600000000000003
77e6a1a900685c173afd5d88c9bc6123b568fc72,15.0,0.6604838709677419,4.0,30.625999999999998,4.0,0.0,30.332,0.07700000000000001,4.0,4.0,30.336,30.614,4.0,4.0,30.379,30.619
dfac9ce465ff9c988904d05014d2be2715aa1d2b,14.0,0.6492610837438424,0.0,0.281,0.0,0.0,0.0,0.067,0.0,0.0,0.003,0.273,0.0,0.0,0.035,0.278
3cb4cee19e3cb6830735a0f89d890576c7413f2c,14.0,0.6423645320197043,0.0,0.29200000000000004,0.0,0.0,0.0,0.069,0.0,0.0,0.005,0.27899999999999997,0.0,0.0,0.046,0.28800000000000003
3232ff001c7c9d335e9bf5aea02ab12520cf3f01,15.0,0.6379032258064516,0.0,0.29200000000000004,0.0,0.0,0.0,0.121,0.0,0.0,0.004,0.272,0.0,0.0,0.035,0.28600000000000003
615f53010b21d1c0946952e33773b885fe30440b,16.0,0.6343582887700535,0.0,0.319,0.0,0.0,0.0,0.078,0.0,0.0,0.003,0.303,0.0,0.0,0.05,0.314
