rank_index,time,class,failures,ranking,nfpa,failure_metric
0.13315623738450275,0.11,0.0,0,1,0.7557491289198607,0.24999999999999997
0.13185664693478288,0.027999999999999997,0.0,0,2,0.7557491289198607,0.24999999999999997
0.1260328922926179,0.024,2.0,2,19,0.7557491289198607,0.24999999999999997
0.102238383144092,0.031,2.0,5,18,0.7557491289198607,0.24999999999999997
0.09210113052122224,0.001,1.0,0,6,0.7557491289198607,0.24999999999999997
0.0828281216948021,0.08900000000000001,2.0,1,17,0.7557491289198607,0.24999999999999997
0.07055875817972647,0.01,2.0,1,20,0.7557491289198607,0.24999999999999997
0.06516304133998697,0.0,1.0,0,14,0.7557491289198607,0.24999999999999997
0.05532155723617289,0.009000000000000001,0.0,0,3,0.7557491289198607,0.24999999999999997
0.05260674974215165,0.0,1.0,0,9,0.7557491289198607,0.24999999999999997
0.049797170720410885,0.002,1.0,0,5,0.7557491289198607,0.24999999999999997
0.04918794383814184,0.0,1.0,0,10,0.7557491289198607,0.24999999999999997
0.03931948164710036,0.0,1.0,0,8,0.7557491289198607,0.24999999999999997
0.03752710182822113,0.001,1.0,0,7,0.7557491289198607,0.24999999999999997
0.0353797338384731,0.0,1.0,0,15,0.7557491289198607,0.24999999999999997
0.03509358528443265,0.0,1.0,0,11,0.7557491289198607,0.24999999999999997
0.034534924815319536,0.0,1.0,0,12,0.7557491289198607,0.24999999999999997
0.02542497686546558,0.0,1.0,0,16,0.7557491289198607,0.24999999999999997
0.024005445481162457,0.004,1.0,0,4,0.7557491289198607,0.24999999999999997
-0.0366580078162133,0.0,1.0,0,13,0.7557491289198607,0.24999999999999997
rank_index,time,class,failures,ranking,nfpa,failure_metric
0.15848193345698214,0.04,0.0,0,3,0.6280112044817927,0.35294117647058826
0.12688170738203,0.035,0.0,0,4,0.6280112044817927,0.35294117647058826
0.12250140248699455,0.015,0.0,0,6,0.6280112044817927,0.35294117647058826
0.10796791015790948,0.018000000000000002,0.0,0,5,0.6280112044817927,0.35294117647058826
0.09496719762076766,0.006,0.0,0,8,0.6280112044817927,0.35294117647058826
0.09358692009310418,32.958,2.0,3,17,0.6280112044817927,0.35294117647058826
0.08636310964546033,0.073,0.0,0,1,0.6280112044817927,0.35294117647058826
0.07733267532142797,0.068,0.0,0,2,0.6280112044817927,0.35294117647058826
0.07351409742528438,0.006,0.0,0,9,0.6280112044817927,0.35294117647058826
0.0604668543785481,0.001,1.0,0,13,0.6280112044817927,0.35294117647058826
0.0549176884450408,0.004,1.0,0,10,0.6280112044817927,0.35294117647058826
0.05331528077942948,0.0,1.0,0,14,0.6280112044817927,0.35294117647058826
0.050467049988133325,0.006,0.0,0,7,0.6280112044817927,0.35294117647058826
0.04419137908089322,0.002,1.0,0,11,0.6280112044817927,0.35294117647058826
0.03453679484499485,0.0,1.0,0,15,0.6280112044817927,0.35294117647058826
0.023306910658975628,0.0,1.0,0,16,0.6280112044817927,0.35294117647058826
