rank_index,time,class,failures,ranking,nfpa,DDP
999.7263793945312,0.0,1,0.0,12,0.9536019536019538,-1
999.6648559570312,0.001,1,0.0,7,0.9536019536019538,-1
999.6278686523438,0.001,1,0.0,9,0.9536019536019538,-1
999.6027221679688,0.001,1,0.0,8,0.9536019536019538,-1
999.587158203125,0.0,1,0.0,13,0.9536019536019538,-1
997.7049560546876,0.001,1,0.0,11,0.9536019536019538,-1
996.7904663085938,0.002,1,0.0,6,0.9536019536019538,-1
988.1697998046876,0.001,1,0.0,10,0.9536019536019538,-1
972.9533081054688,0.008,0,0.0,5,0.9536019536019538,-1
882.5557250976562,0.112,0,0.0,4,0.9536019536019538,-1
708.147705078125,0.295,0,0.0,3,0.9536019536019538,-1
5.459710597991943,5.6610000000000005,0,0.0,2,0.9536019536019538,-1
0.19793346524238584,50.244,0,0.0,1,0.9536019536019538,-1
rank_index,time,class,failures,ranking,nfpa,DDP
999.690185546875,0.001,1,0.0,11,0.976800976800977,-1
999.6787109375,0.001,1,0.0,10,0.976800976800977,-1
999.6648559570312,0.001,1,0.0,9,0.976800976800977,-1
999.6640625,0.0,1,0.0,12,0.976800976800977,-1
999.587158203125,0.0,1,0.0,13,0.976800976800977,-1
996.7904663085938,0.002,1,0.0,8,0.976800976800977,-1
995.5565795898438,0.006,1,0.0,6,0.976800976800977,-1
988.1697998046876,0.013,0,0.0,5,0.976800976800977,-1
972.9533081054688,0.003,1,0.0,7,0.976800976800977,-1
882.5557250976562,0.14400000000000002,0,0.0,4,0.976800976800977,-1
708.147705078125,0.308,0,0.0,3,0.976800976800977,-1
6.259459495544434,4.751,0,0.0,2,0.976800976800977,-1
0.2067691534757614,47.253,0,0.0,1,0.976800976800977,-1
rank_index,time,class,failures,ranking,nfpa,DDP
1000.1351318359376,0.001,1,0.0,10,0.976800976800977,-1
999.85693359375,0.001,1,0.0,11,0.976800976800977,-1
999.5447387695312,0.001,1,0.0,8,0.976800976800977,-1
999.53662109375,0.0,1,0.0,13,0.976800976800977,-1
999.3383178710938,0.001,1,0.0,12,0.976800976800977,-1
998.923583984375,0.001,1,0.0,9,0.976800976800977,-1
998.4463500976562,0.002,1,0.0,7,0.976800976800977,-1
