cycle_id,num_testsuite,NORMALIZED_RPA,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%,ddp
c5b0c263b0ff1a89413940ef8a58b1989dfc5bf4,175,0.9500310800310803,24.0,1.5950000000000002,24.0,24.0,0.6080000000000001,0.6180000000000001,24.0,24.0,0.6080000000000001,0.646,24.0,24.0,0.679,0.733,5.1974012993503206e-05
3c56f6d1fd4b2111f7fc6b8f70ecd0a74f72fe34,94,0.9818269076947687,20.0,0.9970000000000001,20.0,20.0,0.47200000000000003,0.47200000000000003,20.0,20.0,0.486,0.49200000000000005,20.0,20.0,0.54,0.548,4.6199225274530024e-05
eb2624770dde7b8cdec7332a5fb170d95d7ac281,94,0.9808315114026199,21.0,1.1880000000000002,21.0,21.0,0.5920000000000001,0.5920000000000001,21.0,21.0,0.606,0.6210000000000001,21.0,21.0,0.672,0.6950000000000001,8.381449059415159e-05
e08262bd02d3576c6a4a87f021d7dfb5c3aa5558,94,0.971257932064203,20.0,0.8510000000000002,20.0,20.0,0.356,0.356,20.0,20.0,0.36800000000000005,0.386,20.0,20.0,0.4220000000000001,0.43800000000000006,6.0414371512846956e-05
27095960bb38e93db117446b67467f1cec2ff834,93,0.982206497124338,20.0,1.262,20.0,20.0,0.5820000000000001,0.5830000000000001,20.0,20.0,0.6030000000000001,0.614,20.0,20.0,0.683,0.7020000000000001,0.0001657120213264165
853ca9f088d0e38282cfcd645a2bc7124359b006,95,0.9787406999173325,20.0,1.8999999999999997,20.0,20.0,0.881,0.887,20.0,20.0,0.9010000000000001,0.921,20.0,20.0,1.0079999999999998,1.0179999999999998,9.116729198078474e-05
dda32e7586b4c9edfbc67d3a50c892b695a71906,126,0.9403913443625869,22.0,2.2880000000000007,22.0,22.0,0.83,0.864,22.0,22.0,0.841,0.906,22.0,22.0,0.921,1.0010000000000001,9.26698174404596e-05
710db6e0d9910b8c5f75d13815a22827bf4763b2,120,0.9600065155515932,20.0,1.334,20.0,20.0,0.674,0.674,20.0,20.0,0.676,0.7140000000000001,20.0,20.0,0.7370000000000001,0.764,8.942896972566344e-05
7cdd311d742e4a401c50b4d6bb5c5c4f1d830c36,94,0.9815425087541544,20.0,1.1760000000000002,20.0,20.0,0.51,0.51,20.0,20.0,0.537,0.547,20.0,20.0,0.611,0.615,0.00012082874302569382
c24a133f41e5b2465473ef8b6e87db850db3e7ac,96,0.9745339458362269,20.0,0.9790000000000001,20.0,20.0,0.442,0.443,20.0,20.0,0.45,0.467,20.0,20.0,0.517,0.528,7.612720163327453e-05
785acb75b6c929886bea4677adc8c1996c65cfdf,94,0.9746138395634473,20.0,1.1590000000000003,20.0,20.0,0.502,0.502,20.0,20.0,0.519,0.531,20.0,20.0,0.5910000000000001,0.6050000000000001,0.00011016738334695615
7f7191036aa8831123d562e5d5d9f9cf9802223b,94,0.9743152206758028,20.0,1.1260000000000001,20.0,20.0,0.5680000000000001,0.5680000000000001,20.0,20.0,0.581,0.611,20.0,20.0,0.654,0.672,0.00011016738334695615
c57dae07660c218c067bdade524a11f86f60b7b3,97,0.9658482901487321,20.0,1.207,20.0,20.0,0.487,0.492,20.0,20.0,0.502,0.54,20.0,20.0,0.5900000000000001,0.625,9.221626421667407e-05
8de985191f496c36ae5eded16d9cf2d3263bb1bc,94,0.9768321513002363,21.0,1.223,21.0,21.0,0.527,0.529,21.0,21.0,0.539,0.561,21.0,21.0,0.6060000000000001,0.6420000000000001,0.00011485689451791151
30459b80f5d1334c048e060829ca6ae7f79c43a2,94,0.9659645567820259,21.0,1.1860000000000002,21.0,21.0,0.5489999999999999,0.5529999999999999,21.0,21.0,0.5650000000000001,0.5960000000000001,21.0,21.0,0.6380000000000001,0.668,0.00011175265412553551
c2e9e7318290b1b5a4b71ffb9317e629f4ab8fbf,94,0.9623064754083789,20.0,1.264,20.0,20.0,0.502,0.506,20.0,20.0,0.527,0.547,20.0,20.0,0.5960000000000001,0.6270000000000001,7.107573119158466e-05
7b65c73ed5b9d159763f2d180d7b44f6c1591c45,94,0.9728825610124597,20.0,1.0850000000000002,20.0,20.0,0.485,0.485,20.0,20.0,0.507,0.532,20.0,20.0,0.5850000000000001,0.596,0.00010661359678737693
d262c066259ac580ac980a5b9d62a37997566f13,94,0.9703443004674809,20.0,1.3630000000000002,20.0,20.0,0.5660000000000001,0.5660000000000001,20.0,20.0,0.5950000000000002,0.6190000000000001,20.0,20.0,0.6900000000000001,0.7360000000000001,6.752194463200542e-05
54295018da6412f6b56b99faef89059ba40d5d18,7,0.9785714285714284,2.0,0.488,1.0,1.0,0.001,0.001,2.0,2.0,0.155,0.157,2.0,2.0,0.162,0.162,0.0
c5cc7b1bd9016b788bcdd90b443bb1a129be77af,101,0.9598193664628704,22.0,1.222,22.0,22.0,0.548,0.5479999999999999,22.0,22.0,0.558,0.586,22.0,22.0,0.628,0.663,8.712774670221481e-05
7868c8e21df44ca4c3499505b23818a0e3e3efec,96,0.9684311735484218,20.0,1.072,20.0,20.0,0.42499999999999993,0.42599999999999993,20.0,20.0,0.43999999999999995,0.46499999999999997,20.0,20.0,0.509,0.5429999999999999,9.688916571507664e-05
796178b20050ee05a8cf4055acbfabb198829257,134,0.9374687898795984,22.0,1.2680000000000002,22.0,22.0,0.533,0.535,22.0,22.0,0.533,0.561,22.0,22.0,0.5740000000000001,0.594,5.971040453799076e-05
c11ff34e4652fe3bbfa908717c62c5d04d3a0a46,128,0.9582574540765544,22.0,1.337,22.0,22.0,0.521,0.529,22.0,22.0,0.536,0.5740000000000001,22.0,22.0,0.624,0.655,3.896660561898454e-05
254c624109975765ae7bd2986191d8aa5a213995,128,0.9403645597683473,22.0,1.137,22.0,22.0,0.43200000000000005,0.4620000000000001,22.0,22.0,0.43500000000000005,0.485,22.0,22.0,0.5,0.542,7.422210594092291e-05
1c69bc6d3b3553712af05acd8461c0f9bcd9f092,128,0.9460908515066512,22.0,1.572,22.0,22.0,0.615,0.65,22.0,22.0,0.628,0.6960000000000001,22.0,22.0,0.7070000000000001,0.7630000000000001,4.453326356455377e-05
a38c74db6dead5e2e2abdef17d04a0e2e7da6dc6,129,0.9556046718837419,22.0,1.288,22.0,22.0,0.514,0.5449999999999999,22.0,22.0,0.522,0.5609999999999999,22.0,22.0,0.59,0.634,4.9631896765654756e-05
a7be6b1ef79f31aac9246536b67279a1c1e01b64,128,0.9568364853859379,22.0,1.385,22.0,22.0,0.535,0.559,22.0,22.0,0.542,0.587,22.0,22.0,0.623,0.665,3.896660561898454e-05
02077be8a33572c254691f3863390eaf930f92e4,128,0.9553038186589453,22.0,1.461,22.0,22.0,0.506,0.541,22.0,22.0,0.517,0.557,22.0,22.0,0.5870000000000001,0.627,4.0822158267507616e-05
c7e9ddaf7c3ecb9cb7bc7bfacf96e43c5b80226d,128,0.9603811306669081,22.0,1.614,22.0,22.0,0.626,0.637,22.0,22.0,0.64,0.681,22.0,22.0,0.7300000000000001,0.7960000000000002,3.711105297046147e-05
2317cda3cb4875dc15d2fe57217faff9e13f1656,94,0.9833128921594764,20.0,1.1530000000000002,20.0,20.0,0.524,0.524,20.0,20.0,0.549,0.558,20.0,20.0,0.6290000000000001,0.6470000000000001,0.00011727495646611459
efd6e292cff5321b430d249188183b466c4dbc62,96,0.9750781208268792,20.0,1.084,20.0,20.0,0.479,0.48,20.0,20.0,0.493,0.504,20.0,20.0,0.558,0.5760000000000001,0.00012457178449081278
306b0b21c61f1f23c812e5c921f6cb614fded4cb,131,0.9518645955095616,23.0,1.104,23.0,23.0,0.403,0.43500000000000005,23.0,23.0,0.41600000000000004,0.4650000000000001,23.0,23.0,0.4800000000000001,0.5240000000000001,5.248884612019948e-05
b3116632b832829282c6b1a73fbc77ea9e09e3e3,98,0.9694646663464644,20.0,1.3450000000000002,20.0,20.0,0.578,0.5800000000000001,20.0,20.0,0.602,0.627,20.0,20.0,0.685,0.71,9.777807748069724e-05
f008ee9df0874be0d2e6a5b35d0e140d45d5e6f9,76,0.9586533177864442,13.0,1.316,13.0,13.0,0.551,0.559,13.0,13.0,0.5670000000000001,0.5880000000000001,13.0,13.0,0.64,0.662,0.00023452157598499067
01867f17a6a832b18d7ac41acf63524bcfa49071,136,0.9450266350223412,22.0,3.3899999999999997,22.0,22.0,1.6929999999999998,1.7059999999999997,22.0,22.0,1.7109999999999992,1.7549999999999994,22.0,22.0,1.7959999999999994,1.9419999999999995,4.3134758160664916e-05
fb21d7d6ded602b4d669dd272f6afbd2878e7a3b,71,0.9669637873863223,14.0,0.9930000000000001,14.0,14.0,0.479,0.483,14.0,14.0,0.487,0.509,14.0,14.0,0.546,0.5680000000000001,0.00023380874444704224
bad390e66373baf50b120c98f4b8c2c042e031f1,139,0.9609134811966097,22.0,1.72,22.0,22.0,0.61,0.614,22.0,22.0,0.616,0.761,22.0,22.0,0.7070000000000001,0.8370000000000001,4.371033497247092e-05
7662d1357ab444b4e24f28ebcdc3ffe2a5e68aa3,96,0.9730015757705252,22.0,1.1880000000000002,22.0,22.0,0.617,0.622,22.0,22.0,0.639,0.656,22.0,22.0,0.7200000000000001,0.75,8.460236886632824e-05
