cycle_id,num_testsuite,NORMALIZED_RPA,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%
c5b0c263b0ff1a89413940ef8a58b1989dfc5bf4,175.0,0.6154023754023754,24.0,1.5950000000000002,24.0,1.0,0.6080000000000001,0.07500000000000001,24.0,1.0,0.6080000000000001,0.8220000000000001,24.0,24.0,0.679,1.4300000000000002
3c56f6d1fd4b2111f7fc6b8f70ecd0a74f72fe34,94.0,0.6285109937965481,20.0,0.997,20.0,1.0,0.472,0.057000000000000016,20.0,2.0,0.486,0.384,20.0,20.0,0.54,0.857
eb2624770dde7b8cdec7332a5fb170d95d7ac281,94.0,0.6285109937965481,21.0,1.1880000000000002,21.0,1.0,0.5920000000000001,0.06700000000000003,21.0,2.0,0.606,0.4750000000000001,21.0,21.0,0.672,1.0699999999999998
e08262bd02d3576c6a4a87f021d7dfb5c3aa5558,94.0,0.6285109937965481,20.0,0.851,20.0,1.0,0.35600000000000004,0.057000000000000016,20.0,2.0,0.3680000000000001,0.401,20.0,20.0,0.4220000000000001,0.758
27095960bb38e93db117446b67467f1cec2ff834,93.0,0.6262960665641435,20.0,1.262,20.0,1.0,0.5820000000000001,0.08100000000000003,20.0,1.0,0.6030000000000001,0.489,20.0,20.0,0.6829999999999999,1.0749999999999995
853ca9f088d0e38282cfcd645a2bc7124359b006,95.0,0.6248553320473962,20.0,1.9,20.0,1.0,0.8809999999999999,0.108,20.0,1.0,0.901,0.815,20.0,20.0,1.0079999999999998,1.6979999999999995
dda32e7586b4c9edfbc67d3a50c892b695a71906,126.0,0.6200702184954153,22.0,2.2880000000000003,22.0,1.0,0.83,0.08300000000000002,22.0,2.0,0.841,1.1659999999999997,22.0,22.0,0.9209999999999999,1.999
710db6e0d9910b8c5f75d13815a22827bf4763b2,120.0,0.6258633105860568,20.0,1.334,20.0,2.0,0.674,0.05900000000000001,20.0,2.0,0.6759999999999999,0.507,20.0,20.0,0.7370000000000001,1.183
7cdd311d742e4a401c50b4d6bb5c5c4f1d830c36,94.0,0.6285109937965481,20.0,1.176,20.0,1.0,0.51,0.07500000000000001,20.0,2.0,0.537,0.4960000000000001,20.0,20.0,0.611,1.0119999999999998
c24a133f41e5b2465473ef8b6e87db850db3e7ac,96.0,0.6334530740879226,20.0,0.979,20.0,2.0,0.442,0.068,20.0,2.0,0.45,0.421,20.0,20.0,0.517,0.8620000000000001
