test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,time_0,failures_%,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/apache/commons/dbcp2/TestPoolingDataSource.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,30,0,0,0,0,0,0.0,0.0,2.737,0.0,1,1,1,1,12,0,11,0,1,0,0,11,11,11,2,11,0,0,1,10,204,21,150,64,95,33,95,111,50,61,3,3,3,1,1,0.22,13,13,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/dbcp2/TestBasicDataSource.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,55,0,0,0,0,0,0.0,0.0,5.577999999999999,0.0,1,1,1,1,15,1,11,2,3,3,4,45,45,42,1,45,0,0,2,43,851,122,595,169,406,142,392,470,130,340,5,5,5,1,2,0.24,68,68,68,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/dbcp2/managed/TestManagedDataSource.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,33,0,0,0,0,0,0.0,0.0,3.0380000000000003,0.0,1,1,1,1,12,1,9,1,1,0,0,14,14,14,3,14,0,0,1,13,262,34,181,82,107,47,127,148,70,78,3,3,3,1,1,0.26,18,18,18,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/dbcp2/managed/TestManagedConnection.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,1,0,0,0,0,0,0.0,0.0,0.23800000000000002,0.0,1,1,1,1,7,0,6,0,4,0,0,15,15,15,4,15,0,0,0,15,213,36,144,81,49,33,71,93,55,38,2,2,2,1,1,0.23,18,18,18,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/dbcp2/TestPoolingDriver.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,29,0,0,0,0,0,0.0,0.0,2.9610000000000003,0.0,1,1,1,1,18,1,16,0,1,0,0,10,10,10,1,10,0,0,1,9,254,32,196,78,131,26,151,166,64,102,4,4,4,1,2,0.13,14,14,14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/dbcp2/TestPStmtPooling.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,5,0,0,0,0,0,0.0,0.0,0.004,0.0,1,1,1,1,24,2,20,2,1,0,0,7,7,7,0,7,0,2,0,5,230,31,169,84,119,39,123,138,69,69,4,4,4,4,2,0.23,11,11,11,10,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/dbcp2/TestPoolableConnection.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,5,0,0,0,0,0,0.0,0.0,0.004,0.0,1,1,1,1,20,3,13,3,1,0,0,7,7,7,1,7,0,0,0,7,197,34,119,41,79,47,73,86,33,53,4,4,4,1,1,0.39,12,12,12,7,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/dbcp2/TestDriverManagerConnectionFactory.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,3,0,0,0,0,0,0.0,0.0,0.204,0.0,1,1,1,1,8,0,8,0,2,2,1,10,10,8,2,10,0,1,0,9,151,22,105,47,52,25,55,75,38,37,7,7,7,1,2,0.24,19,19,19,10,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/dbcp2/managed/TestBasicManagedDataSource.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,56,0,0,0,0,0,0.0,0.0,5.382999999999999,0.0,1,1,1,1,16,0,13,4,1,0,0,2,2,2,0,2,0,0,1,1,71,6,38,17,21,29,27,31,15,16,2,2,2,1,1,0.76,3,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/dbcp2/managed/TestTransactionContext.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,8,0,7,1,2,0,0,3,3,3,0,3,0,0,0,3,66,7,33,18,14,26,20,25,15,10,1,1,1,1,0,0.79,3,3,3,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/dbcp2/managed/TestDataSourceXAConnectionFactory.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,56,0,0,0,0,0,0.0,0.0,5.6229999999999976,0.0,2,2,2,2,12,0,11,1,2,0,0,4,4,4,2,4,0,0,1,3,112,14,69,34,32,31,41,51,28,23,5,5,5,5,1,0.45,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/dbcp2/TestBasicDataSourceFactory.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,4,0,0,0,0,0,0.0,0.0,0.023,0.0,1,1,1,1,23,0,22,0,1,0,0,6,6,6,0,6,0,2,0,4,194,14,157,40,120,26,124,138,36,102,3,3,3,1,3,0.17,9,9,9,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/dbcp2/TestPStmtPoolingBasicDataSource.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,61,0,0,0,0,0,0.0,0.0,16.186,0.0,1,1,1,1,27,4,19,3,1,0,0,7,7,7,0,7,0,0,0,7,249,43,159,63,119,50,126,137,55,82,3,3,3,1,1,0.31,10,10,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/dbcp2/TestJndi.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,3,0,0,0,0,0,0.0,0.0,0.039,0.0,1,1,1,1,9,0,4,4,1,0,2,9,9,9,1,9,0,0,4,5,148,18,65,38,27,65,36,47,32,15,2,2,2,1,1,1.0,10,10,10,9,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/dbcp2/TestAbandonedBasicDataSource.java,43a6189c381c64f6c4308b4b19f5f05ab42c257d,64,0,0,0,0,0,0.0,0.0,13.652000000000001,0.0,1,1,1,1,17,0,13,4,1,0,0,14,14,14,1,14,0,4,0,10,319,32,218,67,151,85,150,184,54,130,3,3,3,1,2,0.39,18,18,19,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/dbcp2/TestJndi.java,4475a0022d22d7a0433983546f89e7f58c713382,3,0,0,0,0,0,0.039,0.0,0.033,1.031617351373037,1,1,1,1,9,0,4,4,1,0,2,9,9,9,1,9,0,0,4,5,148,18,65,38,27,65,36,47,32,15,2,2,2,1,1,1.0,10,10,10,9,0.0,1.0,0.0,1.0,0.0,1.0,1.0
