test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,time_0,failures_%,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/apache/commons/text/similarity/JaroWinklerDistanceTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,4,0,1,0,0,0,0.114,0,0.001,0.358616769,1,1,1,1,5,0,5,0,1,1,1,8,8,4,0,5,0,0,0,5,73,10,44,17,21,19,23,29,12,17,1,1,1,1,0,0.43,8,8,8,8,0,1,2,5,0,1,1
org/apache/commons/text/similarity/ParameterizedSimilarityScoreFromTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,4,0,0,0,0,0,0.004,0,0.007,0.62934736,1,1,1,1,8,0,8,0,2,1,0,3,3,2,0,3,0,0,0,3,60,7,32,13,16,21,10,14,11,3,1,1,3,1,0,0.66,3,3,5,3,0,1,0,1,0,1,1
org/apache/commons/text/similarity/StringMetricFromTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,3,0,0,0,0,0,0.121,0,0.122,0.62919358,1,1,1,1,8,0,7,0,1,0,0,4,4,3,0,3,0,0,0,3,66,9,38,23,20,19,22,29,20,9,3,3,4,1,2,0.5,6,6,7,4,0,0,0,0,0,0,0
org/apache/commons/text/similarity/LevenshteinDistanceTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,9,0,0,0,0,0,0.001,0,0.001,0.628426532,1,1,1,1,6,0,5,0,1,0,1,15,15,9,0,9,0,0,0,9,144,25,89,24,56,30,60,70,15,55,1,1,1,1,0,0.34,15,15,15,15,0,1,0,1,0,1,1
org/apache/commons/text/similarity/ParameterizedLevenshteinDistanceTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,38,0,0,0,0,0,0.053,0,0.055,0.629128981,1,1,1,1,34,5,23,5,1,1,0,2,2,1,0,2,0,0,0,2,104,18,56,13,41,30,9,12,10,2,1,1,1,1,0,0.54,2,2,2,2,0,0,0,0,0,0,0
org/apache/commons/text/similarity/ParameterizedEditDistanceFromTest.java,4464ac0190dbf4bd3c244103608c4910376864ac,10,0,0,0,0,0,0.063,0,0.073,0.62980111,1,1,1,1,11,1,10,0,2,1,0,3,3,2,0,3,0,0,0,3,69,11,37,13,21,21,10,14,11,3,1,1,3,1,0,0.57,3,3,5,3,0,0,0,0,0,0,0
org/apache/commons/text/lookup/InterpolatorStringLookupTest.java,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,2,0,0,0,0,0,0,0,0.047,0,1,1,1,1,9,0,9,0,1,2,3,5,5,3,0,5,0,1,0,4,95,11,68,33,40,16,52,58,29,29,1,1,1,1,0,0.24,5,5,5,5,0,0,0,0,0,0,0
org/apache/commons/text/StringSubstitutorWithInterpolatorStringLookupTest.java,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,7,0,0,0,0,0,0,0,0.005,0,1,1,1,1,6,0,6,0,1,0,0,8,8,8,0,8,0,1,0,7,101,12,73,48,38,16,39,49,35,14,2,2,2,1,1,0.22,9,9,9,8,0,1,0,1,0,1,1
org/apache/commons/text/StringSubstitutorTest.java,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,39,0,0,0,0,0,0,0,0.03,0,1,1,1,1,10,0,7,2,2,0,0,46,46,45,1,45,0,3,1,41,608,72,409,151,247,131,238,293,107,186,9,9,9,1,1,0.32,55,55,55,46,0,0,0,0,0,0,0
org/apache/commons/text/StrSubstitutorTest.java,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,49,0,0,0,0,0,0,0,0.21,0,1,1,1,1,12,0,9,2,2,0,0,56,56,55,1,55,0,3,1,51,829,96,574,188,376,163,339,410,133,277,9,9,9,1,1,0.28,71,71,71,56,0,0,0,0,0,0,0
org/apache/commons/text/StrLookupTest.java,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,8,0,0,0,0,0,0,0,0.002,0,1,1,1,1,10,0,8,1,1,0,0,8,8,8,0,8,0,0,0,8,139,16,91,40,52,32,55,67,31,36,2,2,2,1,1,0.35,9,9,9,8,0,1,0,1,0,1,1
