test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,time_0,failures_%,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/apache/commons/csv/CSVFileParserTest.java,5d5458d7f60190df9c2c54e17e489218acd18783,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,4.0,4.0,4.0,1.0,18.0,0.0,17.0,1.0,2.0,1.0,1.0,6.0,6.0,5.0,2.0,6.0,0.0,1.0,0.0,5.0,171.0,15.0,130.0,59.0,76.0,28.0,82.0,109.0,60.0,49.0,9.0,9.0,9.0,1.0,3.0,0.22,24.0,24.0,26.0,6.0,0,1,0,1,0,1,1
org/apache/commons/csv/FercGovTest.java,5d5458d7f60190df9c2c54e17e489218acd18783,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.0,9.0,1.0,2.0,0.0,1.0,4.0,2.0,4.0,32.0,4.0,0.0,0.0,0.0,4.0,89.0,7.0,58.0,30.0,32.0,24.0,35.0,40.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,0.41,4.0,4.0,4.0,4.0,0,1,0,1,0,1,1
org/apache/commons/csv/CSVParserTest.java,5d5458d7f60190df9c2c54e17e489218acd18783,51.0,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.03,0.609556691,1.0,1.0,1.0,1.0,12.0,0.0,11.0,1.0,1.0,0.0,2.0,53.0,53.0,53.0,0.0,53.0,0.0,2.0,0.0,51.0,846.0,107.0,693.0,351.0,439.0,86.0,372.0,461.0,225.0,236.0,3.0,3.0,3.0,1.0,2.0,0.12,77.0,77.0,77.0,53.0,0,0,0,0,0,0,0
org/apache/commons/csv/perf/PerformanceTest.java,5d5458d7f60190df9c2c54e17e489218acd18783,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.194000000000003,0.0,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,1.0,8.0,8.0,7.0,1.0,8.0,0.0,4.0,0.0,4.0,129.0,14.0,91.0,45.0,45.0,24.0,57.0,76.0,46.0,30.0,4.0,4.0,4.0,1.0,3.0,0.26,15.0,15.0,15.0,8.0,0,0,0,0,0,0,0
org/apache/commons/csv/CSVPrinterTest.java,5d5458d7f60190df9c2c54e17e489218acd18783,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.035,0.0,1.0,1.0,1.0,1.0,9.0,0.0,8.0,0.0,1.0,1.0,0.0,41.0,41.0,40.0,1.0,41.0,0.0,4.0,0.0,37.0,502.0,57.0,418.0,189.0,271.0,27.0,278.0,329.0,158.0,171.0,11.0,4.0,11.0,1.0,2.0,0.06,57.0,49.0,58.0,41.0,0,0,0,0,0,0,0
SMOTE,5d5458d7f60190df9c2c54e17e489218acd18783,56.0,0.0,0.0,0.0,0.0,1.0,0.016044999523872346,0.017857143,0.020438332222368807,1.0714487213372605,1.0,1.0,1.0,1.0,14.0,3.0,11.0,0.0,3.0,2.0,0.0,62.0,58.0,60.0,3.0,62.0,0.0,2.0,0.0,60.0,1099.0,297.0,779.0,226.0,577.0,25.0,531.0,594.0,150.0,444.0,2.0,2.0,2.0,1.0,1.0,0.03,63.0,63.0,63.0,62.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
org/apache/commons/csv/CSVFormatTest.java,5d5458d7f60190df9c2c54e17e489218acd18783,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,2.0,0.0,40.0,40.0,38.0,0.0,40.0,0.0,2.0,0.0,38.0,381.0,61.0,295.0,149.0,158.0,26.0,132.0,173.0,96.0,77.0,1.0,1.0,1.0,1.0,0.0,0.09,40.0,40.0,40.0,40.0,0,0,0,0,0,0,0
org/apache/commons/csv/LexerTest.java,5d5458d7f60190df9c2c54e17e489218acd18783,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.0,1.0,1.0,1.0,10.0,0.0,9.0,1.0,1.0,0.0,0.0,28.0,28.0,28.0,1.0,28.0,0.0,1.0,0.0,27.0,396.0,44.0,304.0,123.0,196.0,79.0,186.0,215.0,93.0,122.0,1.0,1.0,1.0,1.0,0.0,0.26,28.0,28.0,28.0,28.0,0,1,0,1,0,1,1
org/apache/commons/csv/CSVRecordTest.java,5d5458d7f60190df9c2c54e17e489218acd18783,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,19.0,17.0,19.0,5.0,19.0,0.0,1.0,0.0,18.0,176.0,25.0,132.0,60.0,59.0,19.0,75.0,97.0,45.0,52.0,2.0,2.0,2.0,1.0,1.0,0.14,21.0,21.0,21.0,19.0,0,1,0,1,0,1,1
SMOTE,5d5458d7f60190df9c2c54e17e489218acd18783,56.0,0.0,0.0,0.0,0.0,1.0,0.016005045289572015,0.017857143,0.020345105675668034,1.0717477881569255,1.0,1.0,1.0,1.0,14.0,3.0,11.0,0.0,3.0,2.0,0.0,62.0,58.0,60.0,3.0,62.0,0.0,2.0,0.0,60.0,1099.0,297.0,779.0,226.0,577.0,25.0,531.0,594.0,150.0,444.0,2.0,2.0,2.0,1.0,1.0,0.03,63.0,63.0,63.0,62.0,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE,SMOTE
