step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.0;0.6;-1.0;1;37835
2;bcel;DeepOrder;0.0;0.6;-1.0;1;28096
3;bcel;DeepOrder;0.0;0.5931372549019608;-1.0;1;16799
4;bcel;DeepOrder;0.0;0.5980392156862745;-1.0;1;19808
5;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;1;22514
6;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;1;21837
7;bcel;DeepOrder;0.0;0.5980392156862745;-1.0;1;19947
8;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;1;20033
9;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;1;21983
10;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;1;21615
11;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;1;27097
12;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;1;29845
13;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;1;32818
14;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;1;30990
15;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;1;46224
16;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;1;28769
17;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;20068
18;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;1;18078
19;bcel;DeepOrder;0.0;0.5789473684210527;-1.0;1;18101
20;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;1;17477
21;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;1;17248
22;bcel;DeepOrder;0.0;0.5789473684210527;-1.0;1;17229
23;bcel;DeepOrder;0.0;0.5789473684210527;-1.0;1;17351
24;bcel;DeepOrder;0.0;0.5931372549019608;-1.0;1;19609
25;bcel;DeepOrder;0.0;0.5931372549019608;-1.0;1;23460
26;bcel;DeepOrder;0.0;0.5671936758893281;-1.0;1;17584
27;bcel;DeepOrder;0.0;0.5824561403508772;-1.0;1;17613
28;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;17330
29;bcel;DeepOrder;0.0;0.5789473684210527;-1.0;1;17410
30;bcel;DeepOrder;0.0;0.5789473684210527;-1.0;1;17650
31;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;20605
32;bcel;DeepOrder;0.0;0.5740259740259741;-1.0;1;17487
33;bcel;DeepOrder;0.0;0.5599999999999998;-1.0;1;17218
34;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;18068
35;bcel;DeepOrder;0.0;0.5599999999999998;-1.0;1;22346
36;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;17543
37;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;17371
38;bcel;DeepOrder;0.0;0.5671936758893281;-1.0;1;21118
39;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;18478
40;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;17806
41;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;18408
42;bcel;DeepOrder;0.0;0.5789473684210527;-1.0;1;17988
43;bcel;DeepOrder;0.0;0.5789473684210527;-1.0;1;17737
44;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;17905
45;bcel;DeepOrder;0.0;0.5714285714285715;-1.0;1;23586
46;bcel;DeepOrder;0.0;0.5652173913043479;-1.0;1;19103
47;bcel;DeepOrder;0.0;0.5599999999999998;-1.0;1;17888
48;bcel;DeepOrder;0.0;0.5555555555555556;-1.0;1;17667
49;bcel;DeepOrder;0.0;0.5517241379310345;-1.0;1;17422
50;bcel;DeepOrder;0.0;0.5517241379310345;-1.0;1;18025
51;bcel;DeepOrder;0.0;0.5517241379310345;-1.0;1;17810
52;bcel;DeepOrder;0.0;0.5483870967741935;-1.0;1;18551
53;bcel;DeepOrder;0.0;0.5483870967741935;-1.0;1;17663
54;bcel;DeepOrder;0.0;0.5517241379310345;-1.0;1;17624
55;bcel;DeepOrder;0.0;0.5491935483870968;-1.0;1;23016
56;bcel;DeepOrder;0.0;0.5483870967741935;-1.0;1;17848
57;bcel;DeepOrder;0.0;0.5454545454545454;-1.0;1;19028
58;bcel;DeepOrder;0.0;0.5454545454545454;-1.0;1;21949
59;bcel;DeepOrder;0.0;0.5428571428571428;-1.0;1;18599
60;bcel;DeepOrder;0.0;0.5405405405405407;-1.0;1;18172
61;bcel;DeepOrder;0.0;0.5384615384615384;-1.0;1;22352
62;bcel;DeepOrder;0.0;0.5365853658536585;-1.0;1;19354
63;bcel;DeepOrder;0.0;0.5365853658536585;-1.0;1;17998
64;bcel;DeepOrder;0.0;0.5348837209302327;-1.0;1;18422
65;bcel;DeepOrder;0.0;0.5351857444880701;-1.0;1;23062
66;bcel;DeepOrder;0.0;0.5348837209302327;-1.0;1;19123
67;bcel;DeepOrder;0.0;0.5333333333333333;-1.0;1;20142
68;bcel;DeepOrder;0.0;0.5319148936170214;-1.0;1;19053
69;bcel;DeepOrder;0.0;0.5319148936170214;-1.0;1;19083
70;bcel;DeepOrder;0.0;0.5306122448979592;-1.0;1;20685
71;bcel;DeepOrder;0.0;0.5306122448979592;-1.0;1;18983
72;bcel;DeepOrder;0.0;0.5294117647058822;-1.0;1;18100
73;bcel;DeepOrder;0.0;0.5306122448979592;-1.0;1;17939
74;bcel;DeepOrder;0.0;0.5294117647058822;-1.0;1;19000
75;bcel;DeepOrder;0.0;0.5283018867924527;-1.0;1;22994
76;bcel;DeepOrder;0.0;0.5274170274170275;-1.0;1;21908
77;bcel;DeepOrder;0.0;0.5274170274170275;-1.0;1;21157
78;bcel;DeepOrder;0.0;0.5274170274170275;-1.0;1;21228
79;bcel;DeepOrder;0.0;0.5272727272727273;-1.0;1;21328
80;bcel;DeepOrder;0.0;0.5254237288135595;-1.0;1;19607
81;bcel;DeepOrder;0.0;0.5263157894736842;-1.0;1;18553
82;bcel;DeepOrder;0.0;0.5263157894736842;-1.0;1;19393
83;bcel;DeepOrder;0.0;0.5135135135135136;-1.0;1;19088
84;bcel;DeepOrder;0.9909090909090909;0.5395928395928398;0.0;1;22584
85;bcel;DeepOrder;0.0;0.5130592598437621;-1.0;1;25947
86;bcel;DeepOrder;0.0;0.5132743362831859;-1.0;1;21440
87;bcel;DeepOrder;0.0;0.5126050420168066;-1.0;1;20610
88;bcel;DeepOrder;0.0;0.5126050420168066;-1.0;1;21484
89;bcel;DeepOrder;0.0;0.5123966942148762;-1.0;1;20645
90;bcel;DeepOrder;0.0;0.5126050420168066;-1.0;1;20452
91;bcel;DeepOrder;0.0;0.5107913669064745;-1.0;1;22733
92;bcel;DeepOrder;0.0;0.5109675733193945;-1.0;1;21133
93;bcel;DeepOrder;0.0;0.5109489051094892;-1.0;1;20971
94;bcel;DeepOrder;0.0;0.5106468598827004;-1.0;1;20886
95;bcel;DeepOrder;0.0;0.5104977182441969;-1.0;1;26875
96;bcel;DeepOrder;0.0;0.5105141337535701;-1.0;1;21879
97;bcel;DeepOrder;0.0;0.5106554218930605;-1.0;1;22657
98;bcel;DeepOrder;0.0;0.5106382978723405;-1.0;1;21607
99;bcel;DeepOrder;0.0;0.5106725459137805;-1.0;1;20856
