step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.6720588235294118;0.6417183212380382;0.28637544501106504;1;31432
2;bcel;DeepOrder;0.8936170212765958;0.7573188289873618;0.0006467891538434216;1;20553
3;bcel;DeepOrder;0.8825863678804855;0.7449318159657896;0.01876503833025572;1;21652
4;bcel;DeepOrder;0.8847368421052632;0.7638674565996143;0.013292892457659976;1;24125
5;bcel;DeepOrder;0.8559204440333025;0.7817451429993421;0.029237884673997752;1;21622
6;bcel;DeepOrder;0.8172817281728173;0.7359697719989325;0.09478503095524414;1;26976
7;bcel;DeepOrder;0.8795652173913043;0.70983274596468;0.04100611866330694;1;21331
8;bcel;DeepOrder;0.8613653699466056;0.7313321275468906;0.04765545073256491;1;24584
9;bcel;DeepOrder;0.7833333333333333;0.6155473294553148;0.19105691056910568;1;20850
10;bcel;DeepOrder;0.8969072164948453;0.751703377623849;0.0006216059291642487;1;30023
11;bcel;DeepOrder;0.9152542372881356;0.7190291692733737;0.00048310475321398954;1;23342
12;bcel;DeepOrder;0.9254658385093167;0.7127793909325747;0.00024676017114580505;1;22177
13;bcel;DeepOrder;0.8861702127659575;0.7524271672088021;0.010096307615764586;1;23354
14;bcel;DeepOrder;0.873936170212766;0.7457615670381627;0.025629908667685594;1;21088
15;bcel;DeepOrder;0.8676823005819925;0.7185213061602594;0.0513800957668034;1;21747
16;bcel;DeepOrder;0.898353614889048;0.7254429133858268;0.01857107266021132;1;21656
17;bcel;DeepOrder;0.8936170212765958;0.758484864643879;0.0006503429404030007;1;21800
18;bcel;DeepOrder;0.9064102564102564;0.7238795343375215;0.010252447192169108;1;21884
19;bcel;DeepOrder;0.8936170212765958;0.7579871664978046;0.0006503429404030007;1;21955
20;bcel;DeepOrder;0.8847368421052632;0.7519564618352162;0.013282373154739114;1;28432
21;bcel;DeepOrder;0.9204761904761906;0.7049617049617052;0.012935532233883044;1;22242
22;bcel;DeepOrder;0.8845744680851064;0.753849161911872;0.012104197021926992;1;21258
23;bcel;DeepOrder;0.8644883485309017;0.7558044046285923;0.031241075308871918;1;24292
24;bcel;DeepOrder;0.8835106382978724;0.7565438418741892;0.013454635914567139;1;21108
