test_id,test_suite,avg_exec_time,verdict,last_exec_time,cycle_id,failure_history,age,complexity_metrics,other_metrics,failure_metric
org/springframework/data/redis/connection/lettuce/LettuceSentinelConnectionUnitTests.java,org/springframework/data/redis/connection/lettuce/LettuceSentinelConnectionUnitTests.java,0.0,0,0.057,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 4, 0, 3, 0, 1, 0, 1, 16, 16, 16, 5, 16, 0, 0, 0, 16, 157, 34, 104, 58, 31, 34, 53, 70, 41, 29, 1, 1, 1, 1, 0, 0.33, 16, 16, 16, 16]","[0.0, 0.0, 15]",0.4666666666666667
org/springframework/data/redis/connection/lettuce/LettuceReactiveClusterServerCommandsTests.java,org/springframework/data/redis/connection/lettuce/LettuceReactiveClusterServerCommandsTests.java,0.0,0,0.015,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 6, 0, 5, 1, 1, 0, 3, 21, 21, 15, 0, 15, 0, 0, 0, 15, 187, 37, 131, 47, 72, 56, 48, 66, 29, 37, 2, 2, 2, 1, 1, 0.43, 22, 22, 22, 21]","[0.0, 0.0, 15]",0.4666666666666667
org/springframework/data/redis/connection/lettuce/LettuceReactiveClusterKeyCommandsTests.java,org/springframework/data/redis/connection/lettuce/LettuceReactiveClusterKeyCommandsTests.java,0.0,0,0.002,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 10, 2, 7, 0, 1, 0, 1, 2, 2, 2, 0, 2, 0, 0, 0, 2, 65, 14, 33, 21, 11, 20, 25, 29, 20, 9, 2, 2, 2, 1, 1, 0.61, 3, 3, 3, 2]","[0.0, 0.0, 2]",0.4666666666666667
org/springframework/data/redis/core/ReactiveStringRedisTemplateIntegrationTests.java,org/springframework/data/redis/core/ReactiveStringRedisTemplateIntegrationTests.java,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 5, 1, 4, 0, 1, 1, 1, 4, 4, 2, 1, 3, 0, 0, 0, 3, 66, 13, 33, 21, 10, 21, 20, 24, 17, 7, 1, 1, 1, 1, 0, 0.64, 4, 4, 4, 4]","[0.0, 0.0, 1]",0.4666666666666667
org/springframework/data/redis/connection/lettuce/LettuceConnectionTransactionIntegrationTests.java,org/springframework/data/redis/connection/lettuce/LettuceConnectionTransactionIntegrationTests.java,0.0,0,0.1,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 13, 1, 11, 0, 1, 0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 2, 71, 8, 39, 19, 17, 24, 24, 29, 15, 14, 2, 2, 2, 1, 1, 0.62, 3, 3, 3, 2]","[0.0, 0.0, 1]",0.4666666666666667
org/springframework/data/redis/connection/lettuce/TransactionalLettuceIntegrationTests.java,org/springframework/data/redis/connection/lettuce/TransactionalLettuceIntegrationTests.java,0.0,0,0.434,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 8, 1, 7, 0, 2, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 46, 5, 22, 15, 5, 19, 12, 15, 11, 4, 1, 1, 1, 1, 0, 0.86, 1, 1, 1, 1]","[0.0, 0.0, 10]",0.4666666666666667
org/springframework/data/redis/core/script/lettuce/LettuceDefaultScriptExecutorTests.java,org/springframework/data/redis/core/script/lettuce/LettuceDefaultScriptExecutorTests.java,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 6, 1, 5, 0, 1, 0, 1, 3, 3, 3, 0, 3, 0, 0, 1, 2, 60, 9, 30, 17, 8, 21, 17, 22, 14, 8, 2, 2, 2, 1, 1, 0.7, 4, 4, 4, 3]","[0.0, 0.0, 1]",0.4666666666666667
org/springframework/data/redis/connection/lettuce/LettuceConnectionUnitTestSuite.java,org/springframework/data/redis/connection/lettuce/LettuceConnectionUnitTestSuite.java,0.0,0,1.187,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 6, 1, 5, 0, 3, 0, 0, 21, 21, 21, 5, 21, 0, 0, 0, 21, 244, 56, 169, 84, 64, 38, 89, 115, 58, 57, 2, 2, 2, 1, 1, 0.22, 23, 23, 23, 21]","[0.0, 0.0, 24]",0.4666666666666667
org/springframework/data/redis/connection/lettuce/AuthenticatingRedisClientTests.java,org/springframework/data/redis/connection/lettuce/AuthenticatingRedisClientTests.java,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 5, 0, 5, 0, 1, 0, 0, 9, 9, 9, 1, 9, 0, 0, 0, 9, 105, 16, 67, 37, 25, 22, 33, 45, 27, 18, 2, 2, 2, 1, 1, 0.33, 11, 11, 11, 9]","[0.0, 0.0, 1]",0.4666666666666667
org/springframework/data/redis/connection/lettuce/LettuceReactiveScriptingCommandsTests.java,org/springframework/data/redis/connection/lettuce/LettuceReactiveScriptingCommandsTests.java,0.006,0,0.012,eff0d29723a5e60759d5e0407fce10b162b8cac5,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 10, 2, 8, 1, 1, 1, 0, 12, 12, 10, 0, 11, 0, 1, 0, 10, 182, 44, 119, 49, 69, 52, 52, 65, 38, 27, 2, 2, 2, 1, 1, 0.44, 13, 13, 13, 12]","[0.0, 4.749167160193125, 20]",0.4666666666666667
