priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9914021441429125,0.109,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,4,0.7973137973137971,0.8461538461538461
1.0,0.9841510964020903,0.002,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,6,0.7973137973137971,0.8461538461538461
1.0,0.9837635701875895,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,11,0.7973137973137971,0.8461538461538461
1.0,0.977341995652414,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,8,0.7973137973137971,0.8461538461538461
1.0,0.9529287290210914,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,10,0.7973137973137971,0.8461538461538461
1.0,0.924307961720993,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,12,0.7973137973137971,0.8461538461538461
1.0,0.9131508163061981,0.001,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,7,0.7973137973137971,0.8461538461538461
0.0,0.9999999999994684,0.34,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,3,0.7973137973137971,0.8461538461538461
0.0,0.9999999999977349,48.123000000000005,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,1,0.7973137973137971,0.8461538461538461
0.0,0.9990925146878343,4.748,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,2,0.7973137973137971,0.8461538461538461
0.0,0.9922288616105326,0.018000000000000002,2.0,1,0.017857143,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,13,0.7973137973137971,0.8461538461538461
0.0,0.7575552990964559,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,9,0.7973137973137971,0.8461538461538461
0.0,0.7030963931511449,0.006999999999999999,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,5,0.7973137973137971,0.8461538461538461
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9997136090692252,46.606,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,1,0.6214896214896214,0.9230769230769231
1.0,0.9950465804532028,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,8,0.6214896214896214,0.9230769230769231
1.0,0.9903388690010546,0.327,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,3,0.6214896214896214,0.9230769230769231
1.0,0.9903245747385435,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,7,0.6214896214896214,0.9230769230769231
1.0,0.9676375718150854,0.171,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,4,0.6214896214896214,0.9230769230769231
1.0,0.9572276850683837,0.002,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,6,0.6214896214896214,0.9230769230769231
1.0,0.8476515892345948,0.003,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,5,0.6214896214896214,0.9230769230769231
1.0,0.6605258790561638,5.095,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,2,0.6214896214896214,0.9230769230769231
0.0,1.0,0.0,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,11,0.6214896214896214,0.9230769230769231
0.0,0.9999999993423669,0.0,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,12,0.6214896214896214,0.9230769230769231
0.0,0.9991822997294145,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,9,0.6214896214896214,0.9230769230769231
0.0,0.911680063751684,0.025,2.0,1,0.017857143,53ead3ffe88a2af0967fce0d92d0c48284d68807,13,0.6214896214896214,0.9230769230769231
0.0,0.5621700051740365,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,10,0.6214896214896214,0.9230769230769231
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9999988389630905,0.133,0.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,4,0.7081807081807081,0.8461538461538461
1.0,0.9999978814858411,0.012,0.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,5,0.7081807081807081,0.8461538461538461
1.0,0.9739699145542109,0.002,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,6,0.7081807081807081,0.8461538461538461
1.0,0.9648152353057171,0.0,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,11,0.7081807081807081,0.8461538461538461
1.0,0.9629392488134061,5.391,0.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,2,0.7081807081807081,0.8461538461538461
1.0,0.878586708410934,0.34600000000000003,0.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,3,0.7081807081807081,0.8461538461538461
1.0,0.8717289181647377,0.0,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,12,0.7081807081807081,0.8461538461538461
1.0,0.531579796674466,0.001,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,8,0.7081807081807081,0.8461538461538461
0.0,1.0,0.0,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,10,0.7081807081807081,0.8461538461538461
0.0,1.0,56.356,0.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,1,0.7081807081807081,0.8461538461538461
0.0,0.9999921706411473,0.017,2.0,2,0.034482759,605bc0154f080e7a98c70256830a7d1d620e1358,13,0.7081807081807081,0.8461538461538461
0.0,0.9999896234663356,0.001,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,9,0.7081807081807081,0.8461538461538461
0.0,0.8716107081214831,0.002,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,7,0.7081807081807081,0.8461538461538461
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9999988396828953,0.019,0.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,5,0.7106227106227108,0.6153846153846154
1.0,0.9999978901587551,46.313,0.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,1,0.7106227106227108,0.6153846153846154
1.0,0.9739900985757237,0.001,1.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,8,0.7106227106227108,0.6153846153846154
1.0,0.9648906836925365,0.252,0.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,3,0.7106227106227108,0.6153846153846154
1.0,0.9629506250284966,0.0,1.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,10,0.7106227106227108,0.6153846153846154
1.0,0.8784551059561805,0.0,1.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,9,0.7106227106227108,0.6153846153846154
1.0,0.8720505763060353,0.012,0.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,6,0.7106227106227108,0.6153846153846154
1.0,0.5321375527147121,0.043,2.0,2,0.034482759,c683594f59030e5515b95ff7d8d0b9fa66eaac42,13,0.7106227106227108,0.6153846153846154
0.0,1.0,0.001,1.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,7,0.7106227106227108,0.6153846153846154
0.0,1.0,5.487,0.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,2,0.7106227106227108,0.6153846153846154
0.0,0.9999987474205714,0.0,1.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,12,0.7106227106227108,0.6153846153846154
0.0,0.9999944760073356,0.0,1.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,11,0.7106227106227108,0.6153846153846154
0.0,0.8694141513048884,0.105,0.0,0,0.0,c683594f59030e5515b95ff7d8d0b9fa66eaac42,4,0.7106227106227108,0.6153846153846154
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9999988519995407,0.001,1.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,10,0.7973137973137971,0.15384615384615385
1.0,0.9999979333411048,0.049,2.0,2,0.034482759,dd5de3807215e1a38a2819027559e074c9e63d5a,13,0.7973137973137971,0.15384615384615385
1.0,0.9742879513782323,0.0,1.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,11,0.7973137973137971,0.15384615384615385
1.0,0.9651847662517319,0.361,0.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,3,0.7973137973137971,0.15384615384615385
1.0,0.9633107607269794,5.346,0.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,2,0.7973137973137971,0.15384615384615385
1.0,0.8797745497575735,0.133,0.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,4,0.7973137973137971,0.15384615384615385
1.0,0.8731305933128697,0.012,0.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,5,0.7973137973137971,0.15384615384615385
1.0,0.5345417493450328,48.376999999999995,0.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,1,0.7973137973137971,0.15384615384615385
0.0,1.0,0.001,1.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,8,0.7973137973137971,0.15384615384615385
0.0,1.0,0.001,1.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,7,0.7973137973137971,0.15384615384615385
0.0,0.9999941320574217,0.001,1.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,9,0.7973137973137971,0.15384615384615385
0.0,0.9999797726595585,0.0,1.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,12,0.7973137973137971,0.15384615384615385
0.0,0.8648269903730011,0.001,1.0,0,0.0,dd5de3807215e1a38a2819027559e074c9e63d5a,6,0.7973137973137971,0.15384615384615385
