priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.8985593967294642,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,56,0.6896426627970254,0.6306306306306306
1.0,0.8710522688435998,0.02,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,12,0.6896426627970254,0.6306306306306306
1.0,0.856519769238079,0.003,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,27,0.6896426627970254,0.6306306306306306
1.0,0.8563032444436586,0.002,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,30,0.6896426627970254,0.6306306306306306
1.0,0.843287187529546,0.118,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,6,0.6896426627970254,0.6306306306306306
1.0,0.8273552151918898,0.619,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,2,0.6896426627970254,0.6306306306306306
1.0,0.8135835936103376,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,54,0.6896426627970254,0.6306306306306306
1.0,0.8129536575053834,0.037000000000000005,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,9,0.6896426627970254,0.6306306306306306
1.0,0.8129536575053834,0.606,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,3,0.6896426627970254,0.6306306306306306
1.0,0.811365249283441,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,57,0.6896426627970254,0.6306306306306306
1.0,0.8063578380885283,0.009000000000000001,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,18,0.6896426627970254,0.6306306306306306
1.0,0.8052757737724625,0.001,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,31,0.6896426627970254,0.6306306306306306
1.0,0.8020504369939417,0.003,3.0,5,0.5555555560000001,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,69,0.6896426627970254,0.6306306306306306
1.0,0.8004116546091671,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,49,0.6896426627970254,0.6306306306306306
1.0,0.798386756826316,0.182,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,5,0.6896426627970254,0.6306306306306306
1.0,0.7873899294712335,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,42,0.6896426627970254,0.6306306306306306
1.0,0.785237201174709,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,46,0.6896426627970254,0.6306306306306306
1.0,0.7822619734487521,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,51,0.6896426627970254,0.6306306306306306
1.0,0.7619574012367071,0.004,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,24,0.6896426627970254,0.6306306306306306
1.0,0.7606070753421434,0.015,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,14,0.6896426627970254,0.6306306306306306
