priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
2.0,0.999999999755858,0.009000000000000001,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,30,0.8176779741997136,0.5555555555555556
2.0,0.9999989390855617,0.012,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,28,0.8176779741997136,0.5555555555555556
2.0,0.8761480011998761,0.057,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,20,0.8176779741997136,0.5555555555555556
2.0,0.4376490392625795,1.04,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,3,0.8176779741997136,0.5555555555555556
1.0,1.0,0.002,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,34,0.8176779741997136,0.5555555555555556
1.0,1.0,0.009000000000000001,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,31,0.8176779741997136,0.5555555555555556
1.0,1.0,0.081,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,17,0.8176779741997136,0.5555555555555556
1.0,0.9709269412822549,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,39,0.8176779741997136,0.5555555555555556
1.0,0.9597373210278497,0.173,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,12,0.8176779741997136,0.5555555555555556
1.0,0.9006566874339276,0.024,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,24,0.8176779741997136,0.5555555555555556
1.0,0.8905459634894438,0.001,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,36,0.8176779741997136,0.5555555555555556
1.0,0.871015904134192,0.002,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,32,0.8176779741997136,0.5555555555555556
1.0,0.8654311581758939,0.002,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,33,0.8176779741997136,0.5555555555555556
1.0,0.8624347269109021,0.025,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,23,0.8176779741997136,0.5555555555555556
1.0,0.8453022554784133,0.228,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,10,0.8176779741997136,0.5555555555555556
1.0,0.8446878854141053,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,40,0.8176779741997136,0.5555555555555556
1.0,0.8424012816098461,0.027000000000000003,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,22,0.8176779741997136,0.5555555555555556
1.0,0.7964630870113852,0.065,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,19,0.8176779741997136,0.5555555555555556
1.0,0.7753807448665734,0.159,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,13,0.8176779741997136,0.5555555555555556
1.0,0.7319005034621349,0.016,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,25,0.8176779741997136,0.5555555555555556
1.0,0.6651275763516563,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,43,0.8176779741997136,0.5555555555555556
1.0,0.46061824303079124,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,38,0.8176779741997136,0.5555555555555556
0.0,1.0,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,44,0.8176779741997136,0.5555555555555556
0.0,0.9999921001290301,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,42,0.8176779741997136,0.5555555555555556
0.0,0.9995805462515116,9.897,2.0,1,0.5,eff0d29723a5e60759d5e0407fce10b162b8cac5,45,0.8176779741997136,0.5555555555555556
0.0,0.999211075197144,0.17600000000000002,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,11,0.8176779741997136,0.5555555555555556
