step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;commons-csv;DeepOrder;0.6720588235294118;0.6417183212380382;0.28637544501106504;2;35711
2;commons-csv;DeepOrder;0.873404255319149;0.7461312856609608;0.026305128114005646;2;23948
3;commons-csv;DeepOrder;0.8737161531279178;0.7401122703402933;0.029928375580549678;2;21335
4;commons-csv;DeepOrder;0.8489473684210527;0.7439825020666854;0.058596023703495675;2;21222
5;commons-csv;DeepOrder;0.8434320074005551;0.7635578307470804;0.04576175248305526;2;21655
6;commons-csv;DeepOrder;0.81998199819982;0.7284959733295844;0.09133477218583642;2;21778
7;commons-csv;DeepOrder;0.888695652173913;0.7199264004361459;0.029959301198815163;2;21034
8;commons-csv;DeepOrder;0.885392829900839;0.7590938614811185;0.017569490847178692;2;21720
9;commons-csv;DeepOrder;0.7722222222222223;0.6133262823902699;0.20325203252032517;2;20247
10;commons-csv;DeepOrder;0.838659793814433;0.7207367007072456;0.0739506130673859;2;22658
11;commons-csv;DeepOrder;0.8792372881355932;0.7027831514498101;0.04382833677769117;2;26747
12;commons-csv;DeepOrder;0.9065734989648032;0.7054244021534374;0.02244636271101298;2;22383
13;commons-csv;DeepOrder;0.8462765957446808;0.7304075792317672;0.06073776608976842;2;23124
14;commons-csv;DeepOrder;0.8308510638297872;0.7225759434046104;0.08032268381960933;2;21194
15;commons-csv;DeepOrder;0.8426908592947621;0.7064844835572023;0.08188573722104454;2;21940
16;commons-csv;DeepOrder;0.8679312813171081;0.7113956113941641;0.0553516871128297;2;21313
17;commons-csv;DeepOrder;0.8526595744680852;0.7360457882294387;0.05264224030704679;2;21389
18;commons-csv;DeepOrder;0.8735042735042735;0.7079234745300376;0.049922720247294904;2;21563
19;commons-csv;DeepOrder;0.8569148936170213;0.737734406939334;0.04724048473648686;2;21314
20;commons-csv;DeepOrder;0.8263157894736842;0.7208907412510334;0.08723307268838285;2;42217
21;commons-csv;DeepOrder;0.9221428571428572;0.7052308802308801;0.011003498250874549;2;31076
22;commons-csv;DeepOrder;0.8606382978723405;0.740670826001173;0.04248907210632946;2;22219
23;commons-csv;DeepOrder;0.8416919959473151;0.7410867594518203;0.060576147016825184;2;21009
24;commons-csv;DeepOrder;0.8218085106382979;0.7229172221333479;0.09178009168769306;2;21114
25;commons-csv;DeepOrder;0.8602150537634409;0.7405591299975411;0.04172340502179491;2;21545
26;commons-csv;DeepOrder;0.8542105263157895;0.7323401763571233;0.05193029208597762;2;21944
27;commons-csv;DeepOrder;0.8845598845598845;0.7182575498220822;0.03448641063319971;2;22490
28;commons-csv;DeepOrder;0.90875;0.7252409039470528;0.009921355111917838;2;23824
29;commons-csv;DeepOrder;0.8579787234042554;0.7378872713699139;0.045890045843846386;2;23598
30;commons-csv;DeepOrder;0.8447916666666667;0.7274818385769993;0.06504377314093893;2;55712
31;commons-csv;DeepOrder;0.847872340425532;0.7317335892923797;0.058712107750808123;2;24316
32;commons-csv;DeepOrder;0.8611702127659575;0.7405144065838352;0.04183517537936689;2;20245
33;commons-csv;DeepOrder;0.8376288659793815;0.7201605463755684;0.07523139451483965;2;22456
34;commons-csv;DeepOrder;0.8396656534954408;0.7393768108213796;0.06315887502328199;2;23762
35;commons-csv;DeepOrder;0.8447315096251267;0.740997884782879;0.056683429564785705;2;21015
36;commons-csv;DeepOrder;0.8170212765957447;0.7160418777440052;0.09787838942393169;2;20972
37;commons-csv;DeepOrder;0.8760638297872341;0.7474750706553613;0.022936138455524537;2;20754
38;commons-csv;DeepOrder;0.8686170212765958;0.7425016441813749;0.03235011905184989;2;21137
39;commons-csv;DeepOrder;0.7142857142857142;0.7714285714285714;0.2727272727272727;2;21335
40;commons-csv;DeepOrder;0.8420342034203421;0.7341651580400003;0.06323731855646761;2;20368
41;commons-csv;DeepOrder;0.8390625;0.7231851930986594;0.07227585729609988;2;24220
42;commons-csv;DeepOrder;0.8819538670284939;0.7169998828657215;0.043374340331744046;2;21761
43;commons-csv;DeepOrder;0.9002130681818181;0.7154598565740659;0.017126750945867797;2;23810
44;commons-csv;DeepOrder;0.8714488636363636;0.7078304565197717;0.051818163262655495;2;19430
45;commons-csv;DeepOrder;0.8686079545454546;0.7020447810152931;0.055275057846854006;2;20266
46;commons-csv;DeepOrder;0.8756166314305849;0.7055842962819707;0.04752529848071261;2;21919
47;commons-csv;DeepOrder;0.8746448863636364;0.7072493439507738;0.04798273593815818;2;21202
48;commons-csv;DeepOrder;0.8647017045454546;0.7016941340150215;0.05998445046880556;2;19542
49;commons-csv;DeepOrder;0.8760653409090909;0.7044865849244412;0.04625336086973466;2;20532
50;commons-csv;DeepOrder;0.848404255319149;0.7315522849677384;0.058047549664167086;2;21855
51;commons-csv;DeepOrder;0.8427083333333334;0.7250146893862508;0.06768400290667455;2;24492
52;commons-csv;DeepOrder;0.8567872552273481;0.7029484172113263;0.06756427895435813;2;21878
53;commons-csv;DeepOrder;0.838265306122449;0.7182317320098319;0.07556896726120199;2;21815
54;commons-csv;DeepOrder;0.8709514170040485;0.7013054025437923;0.05362726704190114;2;24707
55;commons-csv;DeepOrder;0.8813502673796791;0.700505805915853;0.04541054800122187;2;22718
56;commons-csv;DeepOrder;0.8651911468812877;0.7266407301618567;0.04629413140051457;2;23173
57;commons-csv;DeepOrder;0.8963374754741661;0.7021792704085578;0.029499432606228684;2;21841
58;commons-csv;DeepOrder;0.8549107142857143;0.7431193579402812;0.04625030215131754;2;23661
59;commons-csv;DeepOrder;0.764033264033264;0.7988620199146514;0.0957647251576967;2;20911
60;commons-csv;DeepOrder;0.8895604395604395;0.7256132539920375;0.022876494574607793;2;21130
61;commons-csv;DeepOrder;0.8915824915824916;0.7060777078359018;0.032553694797362;2;27281
62;commons-csv;DeepOrder;0.7142857142857142;0.8428571428571429;0.2727272727272727;2;20195
63;commons-csv;DeepOrder;0.8786458333333333;0.7538459484001927;0.02220838091283447;2;19132
64;commons-csv;DeepOrder;0.8885416666666667;0.7572812616847394;0.00975466279110003;2;22766
65;commons-csv;DeepOrder;0.8425324675324676;0.7212115465655289;0.07410879546164784;2;22345
66;commons-csv;DeepOrder;0.8711340206185567;0.7425464079366878;0.032948529662898435;2;22048
67;commons-csv;DeepOrder;0.8576332134684538;0.7111006595812022;0.0678792459666144;2;25225
68;commons-csv;DeepOrder;0.8893557422969187;0.7217080974649275;0.027516825088461875;2;24200
69;commons-csv;DeepOrder;0.8671061762664816;0.7234242696901972;0.05906501446309724;2;21171
70;commons-csv;DeepOrder;0.868421052631579;0.71793100056867;0.054780016334995275;2;23695
71;commons-csv;DeepOrder;0.8618556701030928;0.7377526744242506;0.04469756480754102;2;23162
72;commons-csv;DeepOrder;0.8793574846206426;0.7145265477966256;0.04571059994719447;2;28300
73;commons-csv;DeepOrder;0.8467417538213998;0.7211168539648605;0.06975035282573998;2;21901
74;commons-csv;DeepOrder;0.8382944489139179;0.7238560515748848;0.08024759397700018;2;21103
75;commons-csv;DeepOrder;0.895558639833449;0.7302557106783153;0.02488410575113351;2;21858
76;commons-csv;DeepOrder;0.8795975017349063;0.7201787415266648;0.04408222040568862;2;23690
77;commons-csv;DeepOrder;0.896626984126984;0.7260536332773226;0.019631410256410388;2;29664
78;commons-csv;DeepOrder;0.8272277227722773;0.7221525687775965;0.09239585700834466;2;22535
79;commons-csv;DeepOrder;0.8685567010309279;0.7416109663532343;0.036258068923119106;2;21478
80;commons-csv;DeepOrder;0.8556701030927835;0.7339882503358204;0.052477885173673806;2;22375
81;commons-csv;DeepOrder;0.8622448979591837;0.737917871347893;0.045281364847095086;2;21320
82;commons-csv;DeepOrder;0.8724489795918366;0.7412423206476866;0.03252638322263068;2;26760
83;commons-csv;DeepOrder;0.8474747474747475;0.7249276686462619;0.06504544092679483;2;20991
84;commons-csv;DeepOrder;0.8646464646464647;0.7417237703669869;0.04348347148706674;2;22075
85;commons-csv;DeepOrder;0.8494845360824742;0.7300652219650747;0.0602274667850676;2;21529
86;commons-csv;DeepOrder;0.9006734006734006;0.7245713045365746;0.021591061398057616;2;21245
87;commons-csv;DeepOrder;0.7795475530932595;0.6664814685279744;0.16487925239455142;2;21593
88;commons-csv;DeepOrder;0.8798969072164948;0.7473077732282444;0.021885993374090747;2;22425
89;commons-csv;DeepOrder;0.9047138047138047;0.7160046306345413;0.01680426529642436;2;21460
90;commons-csv;DeepOrder;0.8701030927835052;0.7419993850038032;0.034318111957375726;2;20781
91;commons-csv;DeepOrder;0.8680412371134021;0.74008965997184;0.0368660131835105;2;23652
92;commons-csv;DeepOrder;0.8616161616161616;0.7333302878026495;0.04735843403575336;2;27867
93;commons-csv;DeepOrder;0.8719715956558062;0.734104104004077;0.044368085002680815;2;22289
94;commons-csv;DeepOrder;0.87003367003367;0.7023514941031762;0.0582039592896049;2;22588
95;commons-csv;DeepOrder;0.8515463917525773;0.7317127644079043;0.05763516513542097;2;20250
96;commons-csv;DeepOrder;0.8712121212121212;0.7417268158976703;0.035264156596424776;2;21217
97;commons-csv;DeepOrder;0.8805522208883554;0.718724728385078;0.03833113624274397;2;21327
98;commons-csv;DeepOrder;0.0;0.5929824561403508;-1.0;2;19719
99;commons-csv;DeepOrder;0.75;0.7696078431372548;0.23076923076923078;2;17900
100;commons-csv;DeepOrder;0.9164512338425381;0.6904067096398196;0.024640191063821055;2;20114
101;commons-csv;DeepOrder;0.9086270871985158;0.6802591708322995;0.027178988990012736;2;24626
102;commons-csv;DeepOrder;0.0;0.6012864204831336;-1.0;2;29715
103;commons-csv;DeepOrder;0.0;0.5577163952798471;-1.0;2;21886
104;commons-csv;DeepOrder;0.953781512605042;0.5477919201153263;0.04201680672268908;2;25653
105;commons-csv;DeepOrder;0.0;0.5160711851866274;-1.0;2;21910
106;commons-csv;DeepOrder;0.0;0.5195019373430169;-1.0;2;24310
107;commons-csv;DeepOrder;0.0;0.5142725295009558;-1.0;2;21922
108;commons-csv;DeepOrder;0.0;0.5137257440644775;-1.0;2;21732
109;commons-csv;DeepOrder;0.0;0.5278913460557454;-1.0;2;24771
110;commons-csv;DeepOrder;0.0;0.5171610744063931;-1.0;2;22217
111;commons-csv;DeepOrder;0.0;0.5141434444952033;-1.0;2;21250
112;commons-csv;DeepOrder;0.0;0.521086373548531;-1.0;2;26970
113;commons-csv;DeepOrder;0.0;0.524259542425204;-1.0;2;21802
