step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;jsoup;DeepOrder;0.6720588235294118;0.6417183212380382;0.28637544501106504;3;30995
2;jsoup;DeepOrder;0.8936170212765958;0.7573188289873618;0.0006467891538434216;3;22608
3;jsoup;DeepOrder;0.8825863678804855;0.7449318159657896;0.01876503833025572;3;22751
4;jsoup;DeepOrder;0.8947368421052632;0.7645873518875724;0.0006346646095585412;3;24934
5;jsoup;DeepOrder;0.8647086031452359;0.7835190813914216;0.017609977697253518;3;23085
6;jsoup;DeepOrder;0.8514851485148515;0.754153624577178;0.05108175320941285;3;21910
7;jsoup;DeepOrder;0.9130434782608695;0.7247707315173585;0.0005011212935020359;3;21229
8;jsoup;DeepOrder;0.8682303585049581;0.7394681882225974;0.03904436164309032;3;24595
9;jsoup;DeepOrder;0.8166666666666668;0.6245372818614491;0.15447154471544713;3;19756
10;jsoup;DeepOrder;0.8969072164948453;0.751703377623849;0.0006216059291642487;3;19208
11;jsoup;DeepOrder;0.9152542372881356;0.7190291692733737;0.00048310475321398954;3;23518
12;jsoup;DeepOrder;0.9254658385093167;0.7126625885543642;0.00024786177905270596;3;26572
13;jsoup;DeepOrder;0.8936170212765958;0.756728701185588;0.0006432353672838423;3;21470
14;jsoup;DeepOrder;0.8936170212765958;0.7567002612915265;0.0006467891538434216;3;27503
15;jsoup;DeepOrder;0.873844573776104;0.7215551181102362;0.04385815677808628;3;22916
16;jsoup;DeepOrder;0.9133858267716535;0.7295463756368689;0.0003971219895062377;3;22769
17;jsoup;DeepOrder;0.8936170212765958;0.758484864643879;0.0006503429404030007;3;21133
18;jsoup;DeepOrder;0.9145299145299145;0.726623947035054;0.000463678516228749;3;22628
19;jsoup;DeepOrder;0.8936170212765958;0.7579871664978046;0.0006503429404030007;3;20867
20;jsoup;DeepOrder;0.8947368421052632;0.7575158445852852;0.0006241453066376814;3;21920
21;jsoup;DeepOrder;0.9314285714285715;0.7071184371184372;0.00024487756121939095;3;20809
22;jsoup;DeepOrder;0.8936170212765958;0.7589647878561653;0.000625466434485946;3;23230
23;jsoup;DeepOrder;0.8644883485309017;0.7558044046285923;0.031241075308871918;3;21077
24;jsoup;DeepOrder;0.8936170212765958;0.760137933486198;0.000625466434485946;3;31301
25;jsoup;DeepOrder;0.8924731182795699;0.7587086497417963;0.0006556432148132151;3;23066
26;jsoup;DeepOrder;0.8947368421052632;0.7545432626067787;0.0006311581752515879;3;21479
27;jsoup;DeepOrder;0.9126984126984127;0.725488365337732;0.0004103949058077487;3;22009
28;jsoup;DeepOrder;0.90875;0.7225866739823742;0.009921355111917838;3;22782
29;jsoup;DeepOrder;0.8936170212765958;0.7576778826498871;0.0006503429404030007;3;21502
30;jsoup;DeepOrder;0.8958333333333334;0.7548842209283695;0.0006124779404131644;3;43234
31;jsoup;DeepOrder;0.8936170212765958;0.7568957855631986;0.0006432353672838423;3;21376
32;jsoup;DeepOrder;0.8936170212765958;0.758374660054391;0.0006467891538434216;3;21383
33;jsoup;DeepOrder;0.8969072164948453;0.7516418780041755;0.0006045288431981979;3;22341
34;jsoup;DeepOrder;0.8847517730496455;0.7656410529870774;0.0051406220897746305;3;26464
35;jsoup;DeepOrder;0.8882978723404256;0.7667537638422295;0.0005680759918048041;3;24011
36;jsoup;DeepOrder;0.8936170212765958;0.7581613608489305;0.0006467891538434216;3;21715
37;jsoup;DeepOrder;0.8835106382978724;0.7520361186654577;0.013483066207043782;3;21335
38;jsoup;DeepOrder;0.8835106382978724;0.7511687018965851;0.013443974554888398;3;22494
39;jsoup;DeepOrder;0.8571428571428571;0.8499999999999999;0.09090909090909091;3;19931
40;jsoup;DeepOrder;0.8910891089108911;0.7616417683495387;0.000557617578894173;3;19149
41;jsoup;DeepOrder;0.8958333333333334;0.7536857005501846;0.0006124779404131644;3;20411
42;jsoup;DeepOrder;0.917910447761194;0.7331249576158861;0.00037231193417805897;3;21490
43;jsoup;DeepOrder;0.9066051136363636;0.7277127069948423;0.009411363033309078;3;23292
44;jsoup;DeepOrder;0.9140625;0.7281538435435707;0.00038224384559575205;3;27334
45;jsoup;DeepOrder;0.9140625;0.7226127725997646;0.00041007713532359793;3;20085
46;jsoup;DeepOrder;0.9147286821705426;0.7235217328240586;0.0003915405189290529;3;21956
47;jsoup;DeepOrder;0.9140625;0.725300594968781;0.0004045104773780288;3;19034
48;jsoup;DeepOrder;0.9140625;0.7239446656411187;0.0004045104773780288;3;21007
49;jsoup;DeepOrder;0.9140625;0.7218421975386843;0.0003896660561898443;3;20420
50;jsoup;DeepOrder;0.8936170212765958;0.7567784710001952;0.00065389672696258;3;22002
51;jsoup;DeepOrder;0.8958333333333334;0.7543233534533416;0.0006228589224540654;3;19731
52;jsoup;DeepOrder;0.8886491868569532;0.7192697297767976;0.028932488209891763;3;22610
53;jsoup;DeepOrder;0.8979591836734694;0.7496680259551902;0.0006170133854816426;3;21380
54;jsoup;DeepOrder;0.9144736842105263;0.7206921045930331;0.001188242651657284;3;31587
55;jsoup;DeepOrder;0.9191176470588235;0.7150901910455363;0.0003726843105081437;3;190891
56;jsoup;DeepOrder;0.9014084507042254;0.745141009225516;0.0012378110000137515;3;20673
57;jsoup;DeepOrder;0.9208633093525179;0.7192111748389306;0.0003732190139957119;3;24181
58;jsoup;DeepOrder;0.873263888888889;0.7527041824688856;0.02277314479091129;3;19768
59;jsoup;DeepOrder;0.8243243243243242;0.8493314366998578;0.0031129679691979965;3;20878
60;jsoup;DeepOrder;0.9071428571428571;0.7342266364142301;0.001313152256548481;3;19179
61;jsoup;DeepOrder;0.9114478114478114;0.7231133781926053;0.008830333317667506;3;22033
62;jsoup;DeepOrder;0.8571428571428571;0.9214285714285716;0.09090909090909091;3;20563
63;jsoup;DeepOrder;0.8958333333333334;0.7609536082474229;0.0005121284473511204;3;17884
64;jsoup;DeepOrder;0.8859375;0.7545270017627262;0.013041973770718855;3;19101
65;jsoup;DeepOrder;0.9017857142857143;0.7515908133164773;0.00040864402298021604;3;28809
66;jsoup;DeepOrder;0.8969072164948453;0.7556231691725065;0.000502066327401893;3;20988
67;jsoup;DeepOrder;0.883131742399477;0.7227136262591748;0.037061387412683514;3;21910
68;jsoup;DeepOrder;0.9117647058823529;0.73239161773496;0.000319156317213626;3;22381
69;jsoup;DeepOrder;0.916030534351145;0.7444199344033904;0.00029052509252592597;3;21965
70;jsoup;DeepOrder;0.9135338345864662;0.7411544121077474;0.0002451810982551531;3;21545
71;jsoup;DeepOrder;0.8969072164948453;0.7566848468173948;0.0005703746712660963;3;21004
72;jsoup;DeepOrder;0.9172932330827068;0.7293724836996064;0.00027466052844685656;3;24431
73;jsoup;DeepOrder;0.9026548672566371;0.7492721120957635;0.00035444668495092824;3;21372
74;jsoup;DeepOrder;0.9026548672566371;0.755355798173458;0.0003674142465954743;3;21482
75;jsoup;DeepOrder;0.916030534351145;0.7449344693561453;0.00029052509252592597;3;28203
76;jsoup;DeepOrder;0.916030534351145;0.7359169144790139;0.0003139836403696341;3;24126
77;jsoup;DeepOrder;0.9125;0.7320908062137791;0.00040064102564102476;3;22298
78;jsoup;DeepOrder;0.900990099009901;0.760778193148205;0.0004772882236436257;3;20867
79;jsoup;DeepOrder;0.8969072164948453;0.7561022188415417;0.0005669592540728861;3;21317
80;jsoup;DeepOrder;0.8969072164948453;0.7562802440563854;0.0005635438368796759;3;23965
