rank_index,time,class,failures,ranking,nfpa,DDP
0.8230931717885139,76.77199999999999,2,1,25,0.7313336558619578,0.02040816326530612
0.7341808432735522,11.814,2,12,26,0.7313336558619578,0.02040816326530612
0.280400799338563,0.276,1,0,10,0.7313336558619578,0.02040816326530612
0.1607085143039403,0.004,1,0,21,0.7313336558619578,0.02040816326530612
0.08891232851496167,5.5520000000000005,0,0,3,0.7313336558619578,0.02040816326530612
0.08891232851496167,5.428999999999999,0,0,4,0.7313336558619578,0.02040816326530612
0.08891232851496167,0.02,1,0,18,0.7313336558619578,0.02040816326530612
0.08891232851496167,1.3019999999999998,0,0,7,0.7313336558619578,0.02040816326530612
0.08891232851496167,0.71,0,0,8,0.7313336558619578,0.02040816326530612
0.0,0.191,1,0,11,0.7313336558619578,0.02040816326530612
0.0,41.135,0,0,2,0.7313336558619578,0.02040816326530612
0.0,1.7080000000000002,0,0,5,0.7313336558619578,0.02040816326530612
0.0,1.675,0,0,6,0.7313336558619578,0.02040816326530612
0.0,0.355,1,0,9,0.7313336558619578,0.02040816326530612
0.0,0.121,1,0,13,0.7313336558619578,0.02040816326530612
0.0,0.14800000000000002,1,0,12,0.7313336558619578,0.02040816326530612
0.0,0.055,1,0,14,0.7313336558619578,0.02040816326530612
0.0,0.044000000000000004,1,0,15,0.7313336558619578,0.02040816326530612
0.0,0.044000000000000004,1,0,16,0.7313336558619578,0.02040816326530612
0.0,0.024,1,0,17,0.7313336558619578,0.02040816326530612
0.0,0.018000000000000002,1,0,19,0.7313336558619578,0.02040816326530612
0.0,0.009000000000000001,1,0,20,0.7313336558619578,0.02040816326530612
0.0,0.001,1,0,22,0.7313336558619578,0.02040816326530612
0.0,0.0,1,0,23,0.7313336558619578,0.02040816326530612
0.0,0.0,1,0,24,0.7313336558619578,0.02040816326530612
0.0,174.639,0,0,1,0.7313336558619578,0.02040816326530612
rank_index,time,class,failures,ranking,nfpa,DDP
0.280400799338563,0.626,0,0,12,0.6524051803885291,0.9565217391304348
0.08891232851496167,0.718,0,0,11,0.6524051803885291,0.9565217391304348
0.08891232851496167,5.486000000000001,0,0,4,0.6524051803885291,0.9565217391304348
0.08891232851496167,5.131,0,0,6,0.6524051803885291,0.9565217391304348
0.08891232851496167,1.27,0,0,9,0.6524051803885291,0.9565217391304348
0.08891232851496167,76.66,0,0,1,0.6524051803885291,0.9565217391304348
0.08891232851496167,0.022000000000000002,1,0,20,0.6524051803885291,0.9565217391304348
0.0,0.12,1,0,17,0.6524051803885291,0.9565217391304348
0.0,1.64,0,0,8,0.6524051803885291,0.9565217391304348
0.0,35.952,0,0,2,0.6524051803885291,0.9565217391304348
0.0,12.770999999999999,0,0,3,0.6524051803885291,0.9565217391304348
0.0,0.012,1,0,21,0.6524051803885291,0.9565217391304348
0.0,5.172000000000001,0,0,5,0.6524051803885291,0.9565217391304348
0.0,2.325,0,0,7,0.6524051803885291,0.9565217391304348
0.0,0.042,1,0,19,0.6524051803885291,0.9565217391304348
0.0,0.134,1,0,16,0.6524051803885291,0.9565217391304348
0.0,0.775,0,0,10,0.6524051803885291,0.9565217391304348
0.0,0.1,1,0,18,0.6524051803885291,0.9565217391304348
0.0,0.011000000000000001,1,0,22,0.6524051803885291,0.9565217391304348
0.0,0.534,0,0,13,0.6524051803885291,0.9565217391304348
0.0,0.366,1,0,14,0.6524051803885291,0.9565217391304348
0.0,0.141,1,0,15,0.6524051803885291,0.9565217391304348
0.0,59.828,2,1,23,0.6524051803885291,0.9565217391304348
