priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.5033645310226442,0.003,2.0,1,0.090909091,96769a28d9b3c14bd60e4596fef4173d991b607f,91,0.7649727154766347,0.4723404255319149
3.0,0.481006268403457,0.003,2.0,1,0.25,96769a28d9b3c14bd60e4596fef4173d991b607f,89,0.7649727154766347,0.4723404255319149
3.0,0.42951617328505404,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,28,0.7649727154766347,0.4723404255319149
3.0,0.42545746345575775,0.049,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,3,0.7649727154766347,0.4723404255319149
3.0,0.4211129045130384,0.001,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,60,0.7649727154766347,0.4723404255319149
3.0,0.41331821790770973,0.003,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,37,0.7649727154766347,0.4723404255319149
3.0,0.40924242605069217,0.011000000000000001,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,13,0.7649727154766347,0.4723404255319149
3.0,0.4034781290498963,0.01,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,18,0.7649727154766347,0.4723404255319149
3.0,0.4028537091199543,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,72,0.7649727154766347,0.4723404255319149
3.0,0.39186762782056833,0.001,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,57,0.7649727154766347,0.4723404255319149
3.0,0.3917533833605946,0.002,3.0,1,0.14285714300000002,96769a28d9b3c14bd60e4596fef4173d991b607f,92,0.7649727154766347,0.4723404255319149
3.0,0.3900071761827242,0.024,2.0,1,0.076923077,96769a28d9b3c14bd60e4596fef4173d991b607f,76,0.7649727154766347,0.4723404255319149
3.0,0.37853015661703154,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,68,0.7649727154766347,0.4723404255319149
3.0,0.3770192053382978,0.003,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,33,0.7649727154766347,0.4723404255319149
3.0,0.3757652157017446,0.001,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,59,0.7649727154766347,0.4723404255319149
3.0,0.37309899678153047,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,38,0.7649727154766347,0.4723404255319149
3.0,0.37300248979040285,0.024,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,7,0.7649727154766347,0.4723404255319149
3.0,0.3698259520107056,0.001,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,56,0.7649727154766347,0.4723404255319149
3.0,0.36735759927393474,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,51,0.7649727154766347,0.4723404255319149
3.0,0.3648893230119739,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,49,0.7649727154766347,0.4723404255319149
3.0,0.35679355381195055,0.003,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,32,0.7649727154766347,0.4723404255319149
3.0,0.3559875955299415,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,25,0.7649727154766347,0.4723404255319149
3.0,0.35467238214139213,0.008,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,20,0.7649727154766347,0.4723404255319149
3.0,0.35341881101339245,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,65,0.7649727154766347,0.4723404255319149
3.0,0.3457856453421268,0.018000000000000002,2.0,1,1.0,96769a28d9b3c14bd60e4596fef4173d991b607f,78,0.7649727154766347,0.4723404255319149
3.0,0.33611527436870464,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,45,0.7649727154766347,0.4723404255319149
3.0,0.3302854954108409,0.01,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,16,0.7649727154766347,0.4723404255319149
3.0,0.32816167382562095,0.003,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,35,0.7649727154766347,0.4723404255319149
3.0,0.32681720691316796,0.011000000000000001,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,14,0.7649727154766347,0.4723404255319149
3.0,0.3239040239329025,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,48,0.7649727154766347,0.4723404255319149
3.0,0.29751768466312534,0.009000000000000001,2.0,1,0.2,96769a28d9b3c14bd60e4596fef4173d991b607f,81,0.7649727154766347,0.4723404255319149
3.0,0.29460550589113665,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,26,0.7649727154766347,0.4723404255319149
1.0,0.5613631215862918,0.022000000000000002,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,9,0.7649727154766347,0.4723404255319149
1.0,0.517733626247754,0.006,2.0,1,0.090909091,96769a28d9b3c14bd60e4596fef4173d991b607f,85,0.7649727154766347,0.4723404255319149
1.0,0.47473345505045256,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,69,0.7649727154766347,0.4723404255319149
1.0,0.3796853471723198,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,46,0.7649727154766347,0.4723404255319149
1.0,0.3785693232510751,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,39,0.7649727154766347,0.4723404255319149
1.0,0.34941277314497715,0.005,2.0,1,1.0,96769a28d9b3c14bd60e4596fef4173d991b607f,87,0.7649727154766347,0.4723404255319149
1.0,0.3490861620665646,0.121,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,2,0.7649727154766347,0.4723404255319149
1.0,0.349055083934967,0.02,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,10,0.7649727154766347,0.4723404255319149
1.0,0.33848159574897896,0.003,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,34,0.7649727154766347,0.4723404255319149
1.0,0.33755686288243575,0.006,2.0,1,0.2,96769a28d9b3c14bd60e4596fef4173d991b607f,86,0.7649727154766347,0.4723404255319149
1.0,0.3373888046259939,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,27,0.7649727154766347,0.4723404255319149
1.0,0.3324324086868985,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,71,0.7649727154766347,0.4723404255319149
1.0,0.3277758563585008,0.027000000000000003,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,6,0.7649727154766347,0.4723404255319149
1.0,0.3260097464554994,0.023,2.0,1,0.029411765,96769a28d9b3c14bd60e4596fef4173d991b607f,77,0.7649727154766347,0.4723404255319149
1.0,0.3228755969939584,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,66,0.7649727154766347,0.4723404255319149
1.0,0.32214069871286954,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,61,0.7649727154766347,0.4723404255319149
1.0,0.3212960360900156,0.047,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,4,0.7649727154766347,0.4723404255319149
1.0,0.3212253655871315,0.01,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,17,0.7649727154766347,0.4723404255319149
1.0,0.31732908217321437,0.006,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,22,0.7649727154766347,0.4723404255319149
1.0,0.3159836482224184,0.004,2.0,1,0.25,96769a28d9b3c14bd60e4596fef4173d991b607f,88,0.7649727154766347,0.4723404255319149
1.0,0.30635905374556316,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,31,0.7649727154766347,0.4723404255319149
1.0,0.30497101823502,0.001,3.0,1,0.090909091,96769a28d9b3c14bd60e4596fef4173d991b607f,94,0.7649727154766347,0.4723404255319149
1.0,0.2974983366134645,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,41,0.7649727154766347,0.4723404255319149
1.0,0.2964682562242059,0.024,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,8,0.7649727154766347,0.4723404255319149
1.0,0.29566045183160927,0.006,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,21,0.7649727154766347,0.4723404255319149
1.0,0.2955493310586293,0.001,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,55,0.7649727154766347,0.4723404255319149
1.0,0.29413281952274073,0.012,2.0,1,0.111111111,96769a28d9b3c14bd60e4596fef4173d991b607f,80,0.7649727154766347,0.4723404255319149
1.0,0.2919792630428465,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,29,0.7649727154766347,0.4723404255319149
1.0,0.29089756753857554,0.01,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,15,0.7649727154766347,0.4723404255319149
1.0,0.28853229014923426,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,42,0.7649727154766347,0.4723404255319149
1.0,0.28640732668891167,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,53,0.7649727154766347,0.4723404255319149
1.0,0.2845343053644267,0.006999999999999999,2.0,1,0.14285714300000002,96769a28d9b3c14bd60e4596fef4173d991b607f,82,0.7649727154766347,0.4723404255319149
1.0,0.27880551517434615,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,50,0.7649727154766347,0.4723404255319149
1.0,0.2756395168441102,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,67,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.002,3.0,1,0.090909091,96769a28d9b3c14bd60e4596fef4173d991b607f,93,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.003,2.0,1,1.0,96769a28d9b3c14bd60e4596fef4173d991b607f,90,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.006999999999999999,2.0,1,0.090909091,96769a28d9b3c14bd60e4596fef4173d991b607f,84,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.006999999999999999,2.0,1,0.25,96769a28d9b3c14bd60e4596fef4173d991b607f,83,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.015,2.0,1,0.333333333,96769a28d9b3c14bd60e4596fef4173d991b607f,79,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.361,2.0,1,0.025641026,96769a28d9b3c14bd60e4596fef4173d991b607f,75,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,74,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,73,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,70,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,64,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,63,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,62,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.001,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,58,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,54,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,52,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,47,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,44,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,43,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,40,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.003,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,36,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,30,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,24,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.006,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,23,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.009000000000000001,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,19,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.016,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,12,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.018000000000000002,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,11,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.039,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,5,0.7649727154766347,0.4723404255319149
1.0,0.2742588529549453,0.13699999999999998,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,1,0.7649727154766347,0.4723404255319149
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
2.0,0.7303212453189938,0.006,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,23,0.7352453650178993,0.5784313725490197
2.0,0.68548133801606,0.004,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,34,0.7352453650178993,0.5784313725490197
2.0,0.6771194219796363,0.01,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,15,0.7352453650178993,0.5784313725490197
2.0,0.5653186612178227,0.012,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,9,0.7352453650178993,0.5784313725490197
2.0,0.5645435991452706,0.0,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,72,0.7352453650178993,0.5784313725490197
2.0,0.44964066863393215,0.01,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,16,0.7352453650178993,0.5784313725490197
2.0,0.44446407822157225,0.016,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,7,0.7352453650178993,0.5784313725490197
2.0,0.43586799613099403,0.0,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,80,0.7352453650178993,0.5784313725490197
2.0,0.42604972204601177,0.001,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,61,0.7352453650178993,0.5784313725490197
2.0,0.42150021882842287,0.008,2.0,1,0.2,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,89,0.7352453650178993,0.5784313725490197
2.0,0.3799350779435437,0.006,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,21,0.7352453650178993,0.5784313725490197
2.0,0.3789894086335493,0.001,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,64,0.7352453650178993,0.5784313725490197
2.0,0.37254590843731133,0.001,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,63,0.7352453650178993,0.5784313725490197
2.0,0.36772385550620323,0.002,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,48,0.7352453650178993,0.5784313725490197
2.0,0.3646223928157717,0.004,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,32,0.7352453650178993,0.5784313725490197
1.0,0.784523601396528,0.002,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,45,0.7352453650178993,0.5784313725490197
1.0,0.7625539810046421,0.023,2.0,1,1.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,84,0.7352453650178993,0.5784313725490197
1.0,0.7435918934926413,0.001,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,70,0.7352453650178993,0.5784313725490197
1.0,0.7375939855080018,0.004,2.0,1,0.166666667,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,95,0.7352453650178993,0.5784313725490197
1.0,0.733813470307528,0.01,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,13,0.7352453650178993,0.5784313725490197
1.0,0.7288965165389807,0.002,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,42,0.7352453650178993,0.5784313725490197
1.0,0.7282651526578677,0.011000000000000001,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,10,0.7352453650178993,0.5784313725490197
1.0,0.7221101833717286,0.0,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,77,0.7352453650178993,0.5784313725490197
1.0,0.7215038170601561,0.0,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,79,0.7352453650178993,0.5784313725490197
1.0,0.7208539791162645,0.001,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,57,0.7352453650178993,0.5784313725490197
1.0,0.7147228368728858,0.011000000000000001,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,11,0.7352453650178993,0.5784313725490197
1.0,0.7106729884639225,0.002,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,50,0.7352453650178993,0.5784313725490197
1.0,0.7033939721787115,0.006,2.0,1,0.090909091,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,92,0.7352453650178993,0.5784313725490197
1.0,0.7033430350957558,0.003,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,41,0.7352453650178993,0.5784313725490197
1.0,0.7027863131781069,0.001,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,68,0.7352453650178993,0.5784313725490197
1.0,0.6987656934582457,0.02,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,4,0.7352453650178993,0.5784313725490197
1.0,0.6957510788816552,0.002,1.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,43,0.7352453650178993,0.5784313725490197
1.0,0.6955203867022617,0.005,0.0,0,0.0,2d5f9f7706d2f94ece669cdae9f8e7e79fd6c48b,24,0.7352453650178993,0.5784313725490197
