priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.9943619348951952,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,28,0.7614817184805986,0.500531914893617
3.0,0.9734229933561351,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,48,0.7614817184805986,0.500531914893617
3.0,0.9019181956193602,0.008,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,20,0.7614817184805986,0.500531914893617
3.0,0.870413045129576,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,24,0.7614817184805986,0.500531914893617
3.0,0.8655214523511238,0.005,2.0,1,1.0,96769a28d9b3c14bd60e4596fef4173d991b607f,87,0.7614817184805986,0.500531914893617
3.0,0.5759028280755266,0.001,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,59,0.7614817184805986,0.500531914893617
3.0,0.48895552884886645,0.0,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,74,0.7614817184805986,0.500531914893617
3.0,0.48199462352424793,0.006999999999999999,2.0,1,0.25,96769a28d9b3c14bd60e4596fef4173d991b607f,84,0.7614817184805986,0.500531914893617
3.0,0.46709102736784813,0.361,2.0,1,0.025641026,96769a28d9b3c14bd60e4596fef4173d991b607f,75,0.7614817184805986,0.500531914893617
3.0,0.44799923987867113,0.003,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,36,0.7614817184805986,0.500531914893617
3.0,0.4162534649246143,0.004,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,26,0.7614817184805986,0.500531914893617
3.0,0.35122896430331085,0.024,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,8,0.7614817184805986,0.500531914893617
2.0,0.44649374872902725,0.047,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,4,0.7614817184805986,0.500531914893617
2.0,0.4225037624339776,0.006,0.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,21,0.7614817184805986,0.500531914893617
2.0,0.41889190168568585,0.004,2.0,1,0.25,96769a28d9b3c14bd60e4596fef4173d991b607f,88,0.7614817184805986,0.500531914893617
2.0,0.41887641331710895,0.012,2.0,1,0.111111111,96769a28d9b3c14bd60e4596fef4173d991b607f,80,0.7614817184805986,0.500531914893617
2.0,0.3826157128276959,0.002,1.0,0,0.0,96769a28d9b3c14bd60e4596fef4173d991b607f,46,0.7614817184805986,0.500531914893617
