step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.7418207681365575;0.8836415362731151;0.005524014116924955;1;31168
2;bcel;DeepOrder;0.8035714285714286;0.8917552501944516;0.004545454545454546;1;19169
3;bcel;DeepOrder;0.8214285714285714;0.8926108374384236;0.010869565217391304;1;18220
4;bcel;DeepOrder;0.7647058823529412;0.892436974789916;0.01272015655577299;1;21922
5;bcel;DeepOrder;0.6956521739130435;0.872698516904897;0.0016815967311016938;1;20034
6;bcel;DeepOrder;0.7746913580246914;0.8861471861471862;0.009877783358446338;1;19195
7;bcel;DeepOrder;0.7790178571428572;0.8819930069930071;0.007383920427398684;1;36755
8;bcel;DeepOrder;0.810344827586207;0.869316189362946;0.004020100502512563;1;17904
9;bcel;DeepOrder;0.736111111111111;0.9177465136369244;0.0018049238322142783;1;21787
10;bcel;DeepOrder;0.7418207681365575;0.8884779516358463;0.005234173870049265;1;19042
11;bcel;DeepOrder;0.7142857142857142;0.8938296445338697;0.0023430669697499604;1;18519
12;bcel;DeepOrder;0.6819887429643527;0.8672180009235548;0.004698012984458004;1;18398
13;bcel;DeepOrder;0.6848290598290598;0.857497565725414;0.021749166967762662;1;25751
14;bcel;DeepOrder;0.8714285714285714;0.7964361220175176;0.024691358024691357;1;20936
15;bcel;DeepOrder;0.6955882352941176;0.8740226525392767;0.02770181681962915;1;17805
16;bcel;DeepOrder;0.9;0.807792207792208;0.0;1;18122
17;bcel;DeepOrder;0.7297297297297297;0.8931436699857753;0.002284303133199572;1;17928
18;bcel;DeepOrder;0.7580645161290323;0.8878648233486944;0.0037146808931041255;1;17441
19;bcel;DeepOrder;0.7727272727272727;0.8869822012930001;0.0034440344403443993;1;18069
20;bcel;DeepOrder;0.70414673046252;0.867347753212547;0.02214337341481042;1;18754
21;bcel;DeepOrder;0.7692307692307693;0.8998778998778998;0.017054263565891473;1;18054
22;bcel;DeepOrder;0.8666666666666667;0.8330645161290321;0.014814814814814814;1;17512
23;bcel;DeepOrder;0.7695852534562212;0.8851766513056836;0.012276426502367918;1;21207
24;bcel;DeepOrder;0.7124999999999999;0.8855916892502258;0.001986367669597476;1;21121
25;bcel;DeepOrder;0.7727272727272727;0.9229249011857709;0.009677419354838712;1;18327
26;bcel;DeepOrder;0.7962962962962963;0.8491228070175438;0.10526315789473684;1;17479
27;bcel;DeepOrder;0.8500000000000001;0.8571428571428572;0.0303030303030303;1;17963
28;bcel;DeepOrder;0.75;0.9236605026078712;0.005758807588075883;1;17932
29;bcel;DeepOrder;0.71875;0.8776737967914439;0.07307692307692307;1;18610
30;bcel;DeepOrder;0.7705570291777188;0.8779661016949155;0.013801987486198005;1;18884
31;bcel;DeepOrder;0.7571428571428571;0.8790322580645162;0.03425229741019215;1;19703
32;bcel;DeepOrder;0.7368421052631579;0.8975708502024288;0.008791208791208793;1;17530
33;bcel;DeepOrder;0.8392857142857143;0.8549390718174747;0.003714470284237727;1;23814
34;bcel;DeepOrder;0.7008856682769726;0.8695055354958074;0.015270433558371292;1;18990
35;bcel;DeepOrder;0.7303571428571428;0.8851400180668478;0.01697619047619047;1;18185
36;bcel;DeepOrder;0.7727272727272727;0.8576103440019156;0.02975676009383874;1;18349
37;bcel;DeepOrder;0.7947368421052631;0.7676113360323885;0.11267605633802817;1;18017
38;bcel;DeepOrder;0.8166666666666667;0.7991935483870968;0.08888888888888889;1;17411
39;bcel;DeepOrder;0.7529239766081871;0.8743887691256111;0.02170803686202089;1;18677
40;bcel;DeepOrder;0.8333333333333334;0.8532258064516128;0.01764705882352941;1;21522
41;bcel;DeepOrder;0.7916666666666666;0.9184615384615384;0.02222222222222222;1;17280
42;bcel;DeepOrder;0.7142857142857143;0.8867411658109334;0.008062274117319983;1;17737
43;bcel;DeepOrder;0.6823529411764706;0.8767507002801121;0.06541471048513302;1;22393
44;bcel;DeepOrder;0.8214285714285714;0.8748768472906403;0.017391304347826087;1;18033
45;bcel;DeepOrder;0.7916666666666666;0.9138461538461536;0.011111111111111112;1;17683
46;bcel;DeepOrder;0.725563909774436;0.8945674044265592;0.009241683443581622;1;19965
47;bcel;DeepOrder;0.7857142857142857;0.921441534871662;0.0038467577327680924;1;18870
48;bcel;DeepOrder;0.7857142857142857;0.8935960591133005;0.019047619047619046;1;18368
49;bcel;DeepOrder;0.8448275862068966;0.8502630040911747;0.0046040515653775335;1;18859
50;bcel;DeepOrder;0.7352941176470588;0.8929971988795518;0.01179604261796043;1;20255
51;bcel;DeepOrder;0.7556818181818182;0.8738775510204083;0.03295454545454546;1;18449
52;bcel;DeepOrder;0.7619047619047619;0.8952511237052961;0.001754385964912284;1;18462
53;bcel;DeepOrder;0.7209492635024549;0.8857782754759238;0.0069469835466179205;1;23343
54;bcel;DeepOrder;0.8088235294117647;0.8729265619291194;0.0029477821448624336;1;19703
55;bcel;DeepOrder;0.7625;0.8971996386630536;0.001885964912280696;1;18160
56;bcel;DeepOrder;0.8125;0.8742132867132868;0.0034578146611341605;1;20312
57;bcel;DeepOrder;0.8400000000000001;0.8504977375565611;0.004953076120959331;1;19873
58;bcel;DeepOrder;0.7962962962962963;0.8907647907647909;0.005238828967642528;1;18186
59;bcel;DeepOrder;0.7500000000000001;0.8900000000000001;0.005956112852664572;1;19293
60;bcel;DeepOrder;0.7142857142857142;0.8934272300469482;0.002727749606574581;1;18828
61;bcel;DeepOrder;0.6363636363636364;0.8276679841897234;0.008676975945017177;1;19363
62;bcel;DeepOrder;0.8529411764705882;0.8549019607843138;0.016393442622950817;1;17899
63;bcel;DeepOrder;0.671875;0.856206293706294;0.0037561576354679716;1;20324
64;bcel;DeepOrder;0.7592592592592592;0.8963924963924964;0.004413619167717524;1;17919
65;bcel;DeepOrder;0.7444444444444445;0.8887083930562193;0.0017307107608110885;1;18043
