step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.34491978609625673;0.5473389355742297;0.9402985074626846;0;30786
2;bcel;DeepOrder;0.25000000000000006;0.5599999999999998;0.9981981981981994;0;27982
3;bcel;DeepOrder;0.55;0.7064935064935065;0.44000000000000006;0;27814
4;bcel;DeepOrder;0.5;0.6736842105263158;0.5263157894736843;0;27775
5;bcel;DeepOrder;0.5545454545454545;0.7391304347826088;0.40645161290322573;0;28340
6;bcel;DeepOrder;0.0;0.5931372549019608;-1.0;0;27792
7;bcel;DeepOrder;0.6147959183673469;0.7810474462017112;0.2720477492051101;0;27756
8;bcel;DeepOrder;0.5740740740740742;0.7192982456140351;0.4035087719298246;0;17961
9;bcel;DeepOrder;0.6111111111111112;0.6877076411960135;0.3487179487179487;0;22013
10;bcel;DeepOrder;0.14285714285714288;0.5397160978556329;0.9941391941391938;0;18898
11;bcel;DeepOrder;0.5439560439560439;0.7191697191697193;0.41306755260243627;0;17864
12;bcel;DeepOrder;0.55;0.7532467532467533;0.38666666666666655;0;17674
13;bcel;DeepOrder;0.125;0.6274509803921567;1.0;0;18140
14;bcel;DeepOrder;0.5625;0.6617647058823529;0.375;0;23209
15;bcel;DeepOrder;0.6166666666666667;0.7142857142857143;0.3484848484848485;0;21751
16;bcel;DeepOrder;0.17857142857142855;0.5360383717915479;0.9976672805402071;0;23819
17;bcel;DeepOrder;0.28125;0.5789335664335665;0.9977007930972134;0;40888
18;bcel;DeepOrder;0.25641025641025644;0.5397760467380721;0.9990192015471688;0;28499
19;bcel;DeepOrder;0.3294117647058824;0.596078431372549;0.9101721439749623;0;24993
20;bcel;DeepOrder;0.3055555555555556;0.543859649122807;0.9986013986013972;0;19671
21;bcel;DeepOrder;0.5732323232323232;0.7629208155523944;0.31608391608391634;0;17998
22;bcel;DeepOrder;0.3304195804195804;0.5731225296442688;0.9135158626684041;0;17871
23;bcel;DeepOrder;0.5574162679425837;0.7291497975708502;0.3679264555669053;0;18297
24;bcel;DeepOrder;0.5947368421052631;0.7457489878542508;0.3057387057387057;0;17792
25;bcel;DeepOrder;0.6335470085470085;0.7907733775658308;0.22284596840809628;0;18275
26;bcel;DeepOrder;0.5748663101604278;0.7490196078431374;0.29633649932157424;0;18772
27;bcel;DeepOrder;0.38235294117647056;0.5956561085972851;0.8660369257191884;0;17843
28;bcel;DeepOrder;0.11111111111111113;0.5789473684210527;1.0;0;22973
29;bcel;DeepOrder;0.3157894736842105;0.5396761133603237;0.9991087344028523;0;17789
30;bcel;DeepOrder;0.6282051282051282;0.778998778998779;0.2697674418604651;0;17812
31;bcel;DeepOrder;0.5416666666666666;0.7137096774193548;0.41729323308270666;0;17597
32;bcel;DeepOrder;0.8333333333333334;0.6842105263157896;0.1111111111111111;0;17400
33;bcel;DeepOrder;0.3967391304347826;0.6022201665124884;0.8382005899705046;0;17339
34;bcel;DeepOrder;0.30952380952380953;0.545152521896708;0.9984126984126973;0;17449
35;bcel;DeepOrder;0.625;0.8126891975948581;0.19108120588429317;0;18115
36;bcel;DeepOrder;0.2578125;0.5574866310160428;0.9813186813186809;0;19517
37;bcel;DeepOrder;0.5578125;0.729895104895105;0.34706267744048974;0;16746
38;bcel;DeepOrder;0.16666666666666663;0.55;0.9980392156862747;0;23505
39;bcel;DeepOrder;0.35714285714285715;0.5368161783769769;0.9990846681922284;0;17862
40;bcel;DeepOrder;0.6157894736842106;0.7809716599190283;0.26080586080586077;0;18695
41;bcel;DeepOrder;0.2708333333333333;0.533469387755102;0.9992877492877553;0;17836
42;bcel;DeepOrder;0.2105263157894737;0.5388663967611336;0.9995987158908526;0;17805
43;bcel;DeepOrder;0.25;0.5461229946524064;0.999450549450552;0;18095
44;bcel;DeepOrder;0.2557603686635944;0.528609831029186;0.9456066945606735;0;18102
45;bcel;DeepOrder;0.07142857142857142;0.6071428571428571;0.8571428571428571;0;17551
46;bcel;DeepOrder;0.2105263157894737;0.5388663967611336;1.000000000000002;0;20021
47;bcel;DeepOrder;0.1666666666666667;0.5929824561403508;0.9999999999999998;0;17373
48;bcel;DeepOrder;0.6111111111111112;0.7438596491228072;0.3333333333333333;0;22508
49;bcel;DeepOrder;0.28;0.533393665158371;0.9992910315491016;0;17243
50;bcel;DeepOrder;0.2083333333333333;0.5800000000000001;0.9861111111111113;0;17649
51;bcel;DeepOrder;0.577922077922078;0.7526427061310783;0.3393939393939393;0;18272
52;bcel;DeepOrder;0.6256795131845841;0.7928891789100513;0.19636650582601656;0;20034
53;bcel;DeepOrder;0.5625;0.7226173541963016;0.38977072310405625;0;23888
54;bcel;DeepOrder;0.6288927335640138;0.7828279137742054;0.24350912778904663;0;19318
55;bcel;DeepOrder;0.5357142857142857;0.6551724137931034;0.46341463414634165;0;18535
56;bcel;DeepOrder;0.5735930735930735;0.7478103292056781;0.3479115479115478;0;18261
57;bcel;DeepOrder;0.6237373737373737;0.8189046427578538;0.18240219194830068;0;20539
58;bcel;DeepOrder;0.2738095238095238;0.5485245260895056;0.9991336834695902;0;25653
59;bcel;DeepOrder;0.25;0.5472027972027972;0.9984435797665349;0;16370
60;bcel;DeepOrder;0.24242424242424243;0.5229467635086599;0.9999694749694716;0;19317
61;bcel;DeepOrder;0.2553191489361702;0.529773785937942;0.9999275634125838;0;19705
62;bcel;DeepOrder;0.28378378378378377;0.5546514935988621;0.998629362724314;0;19719
63;bcel;DeepOrder;0.6166666666666667;0.7878048780487806;0.20964615095049868;0;19496
64;bcel;DeepOrder;0.5086580086580087;0.6985804892781637;0.4838656838656835;0;17942
65;bcel;DeepOrder;0.5625;0.7259364627785682;0.3906525573192241;0;17191
66;bcel;DeepOrder;0.525974025974026;0.7148897614013894;0.44684684684684667;0;17488
67;bcel;DeepOrder;0.44545454545454544;0.632411067193676;0.6023875114784214;0;17343
68;bcel;DeepOrder;0.6639097744360902;0.8449362843729039;0.14284344741635516;0;23440
69;bcel;DeepOrder;0.25;0.5456293706293707;0.9986057068741871;0;18175
70;bcel;DeepOrder;0.6337792642140467;0.8338364167478092;0.17491993101749215;0;18198
71;bcel;DeepOrder;0.16666666666666666;0.5707692307692307;0.9797979797979797;0;18568
72;bcel;DeepOrder;0.22727272727272724;0.5928853754940712;0.9806451612903228;0;17417
73;bcel;DeepOrder;0.22727272727272724;0.5948616600790514;0.9774193548387098;0;17313
74;bcel;DeepOrder;0.25000000000000006;0.5661538461538462;1.0000000000000013;0;17318
75;bcel;DeepOrder;0.23333333333333328;0.5548387096774193;0.9983291562238942;0;17008
76;bcel;DeepOrder;0.5740740740740741;0.7913703176861073;0.28268991282689937;0;16937
77;bcel;DeepOrder;0.23333333333333334;0.5257535695399261;0.9997069597069638;0;17388
78;bcel;DeepOrder;0.2616279069767442;0.5406455261413518;0.9997630694813562;0;22472
