step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.7661904761904762;0.8472684915550378;0.04252146760343497;1;29667
2;bcel;DeepOrder;0.7089743589743589;0.8604820411832698;0.028855355171144816;1;21592
3;bcel;DeepOrder;0.7345098039215686;0.866406009752669;0.04117767537122381;1;19354
4;bcel;DeepOrder;0.7857142857142857;0.7142857142857143;0.14285714285714285;1;17451
5;bcel;DeepOrder;0.8037475345167653;0.8286270691333983;0.0465925421677634;1;17743
6;bcel;DeepOrder;0.7007722007722008;0.8663522582985671;0.036287881731711796;1;22387
7;bcel;DeepOrder;0.8885135135135135;0.7650071123755334;0.007510729613733905;1;20442
8;bcel;DeepOrder;0.71875;0.8658880501353085;0.023030486667909994;1;18131
9;bcel;DeepOrder;0.7336182336182336;0.857659160411454;0.05056874538356005;1;18756
10;bcel;DeepOrder;0.7371794871794872;0.8596052265777036;0.04373113854595309;1;18580
11;bcel;DeepOrder;0.6776204920795417;0.8670628714419769;0.02929565533219125;1;20420
12;bcel;DeepOrder;0.7111276701440635;0.8564445189666068;0.04099508599508575;1;19845
13;bcel;DeepOrder;0.6983367983367983;0.8608231463193293;0.040355205736112114;1;19001
14;bcel;DeepOrder;0.7196007259528131;0.8550777242957469;0.053947854749483125;1;19853
15;bcel;DeepOrder;0.7232304900181489;0.854935690049712;0.046661698144074386;1;18897
16;bcel;DeepOrder;0.7423941798941799;0.8630314724865261;0.03301064015349733;1;25284
17;bcel;DeepOrder;0.7687499999999999;0.8518041237113403;0.04070738343184179;1;18355
18;bcel;DeepOrder;0.6744897959183673;0.838751658889507;0.0644564765832136;1;21044
19;bcel;DeepOrder;0.7343304843304843;0.8549161338152165;0.049218106995885115;1;19239
20;bcel;DeepOrder;0.7021553325901153;0.861164484561419;0.03575844952985516;1;19564
21;bcel;DeepOrder;0.7017495899398578;0.8470018515880927;0.07576623730155732;1;20049
22;bcel;DeepOrder;0.6987179487179487;0.8490044306838198;0.05539910382015635;1;19174
23;bcel;DeepOrder;0.7283163265306123;0.8627486858739771;0.044356822700771376;1;18633
24;bcel;DeepOrder;0.7536363636363637;0.8480372743156668;0.0485171230714181;1;19704
25;bcel;DeepOrder;0.7012694512694513;0.8615704797951454;0.042679551059439234;1;19755
26;bcel;DeepOrder;0.6978021978021978;0.8644688644688644;0.08859357696566998;1;25347
27;bcel;DeepOrder;0.6989795918367346;0.8807881773399013;0.11047619047619044;1;17508
28;bcel;DeepOrder;0.5583778966131907;0.7886575325695514;0.3796824180878625;1;18200
29;bcel;DeepOrder;0.6783037475345167;0.8425345646719693;0.0550567399932195;1;19721
30;bcel;DeepOrder;0.676470588235294;0.8464985994397759;0.08294209702660406;1;19883
31;bcel;DeepOrder;0.7088572990705303;0.8526990457199827;0.06082631129589033;1;18371
32;bcel;DeepOrder;0.7625;0.8472806648432574;0.05138380711136155;1;18565
33;bcel;DeepOrder;0.7531969309462916;0.8621227430479289;0.040022060851181214;1;18838
34;bcel;DeepOrder;0.6957465277777778;0.85641771019678;0.05334371607909727;1;43488
35;bcel;DeepOrder;0.7424999999999999;0.8684682585905649;0.034933333333333316;1;25123
36;bcel;DeepOrder;0.7387041773231031;0.8461977770944077;0.06637864999846808;1;18631
37;bcel;DeepOrder;0.8125;0.696078431372549;0.125;1;18298
38;bcel;DeepOrder;0.7041359541359542;0.8575101253812958;0.03621498593565626;1;18300
39;bcel;DeepOrder;0.7676767676767676;0.8444671433435481;0.048747857351895976;1;20382
40;bcel;DeepOrder;0.7563636363636363;0.8588235294117648;0.04346544865183443;1;18876
41;bcel;DeepOrder;0.6741843971631206;0.8625862669919835;0.03400349938925721;1;18586
42;bcel;DeepOrder;0.6867647058823529;0.8635353855918755;0.04707449850179604;1;19623
43;bcel;DeepOrder;0.7697916666666667;0.8541973490427097;0.03893423398067367;1;19718
44;bcel;DeepOrder;0.7653061224489796;0.8548917748917751;0.037157409653165295;1;18137
45;bcel;DeepOrder;0.7303030303030302;0.8614426114426116;0.04864004335602774;1;23867
46;bcel;DeepOrder;0.7122781065088757;0.8388140161725072;0.07666401545278984;1;18937
47;bcel;DeepOrder;0.7522796352583586;0.8498880179171335;0.04560807869765831;1;19992
