step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.3600012704058947;0.5758226065957879;0.7953558434062239;1;33535
2;bcel;DeepOrder;0.28306159420289856;0.5502936530072755;0.904508600815694;1;20918
3;bcel;DeepOrder;0.30610706207589844;0.5407372857357032;0.9140967421964518;1;23924
4;bcel;DeepOrder;0.277861571979219;0.5273878577193387;0.9531395511569181;1;24393
5;bcel;DeepOrder;0.3919290999827913;0.5969338510920073;0.7268148593297074;1;24328
6;bcel;DeepOrder;0.6920167541885471;0.8402490984646137;0.08204259592506453;1;24643
7;bcel;DeepOrder;0.3559457302474063;0.5872115279874259;0.7714401738553384;1;21020
8;bcel;DeepOrder;0.7552516565628085;0.8864402817165156;0.014831252426151246;1;25334
9;bcel;DeepOrder;0.2821739130434783;0.5406173558532323;0.9031620553359765;1;25332
10;bcel;DeepOrder;0.28564034309375924;0.5293775786439672;0.9481878222872405;1;19429
11;bcel;DeepOrder;0.2892841312056738;0.5389908989973762;0.9128206855011994;1;41543
12;bcel;DeepOrder;0.2829384531590414;0.5368560338743823;0.93094711228497;1;26322
13;bcel;DeepOrder;0.2711309523809524;0.5240742950324145;0.9453482484776015;1;20620
14;bcel;DeepOrder;0.29054433221099885;0.5258413297677106;0.9585207448619028;1;24613
15;bcel;DeepOrder;0.2790569243840271;0.5293069460424383;0.9546189869645195;1;22236
16;bcel;DeepOrder;0.2622153319790442;0.5213329806929384;0.9506497927592207;1;21435
17;bcel;DeepOrder;0.28321220930232555;0.5266630870145701;0.9686911256949536;1;21016
18;bcel;DeepOrder;0.2717048145224941;0.5308890005022598;0.925984111049431;1;28646
19;bcel;DeepOrder;0.2802631578947368;0.523204329937735;0.945395711501111;1;20647
20;bcel;DeepOrder;0.24500907441016337;0.5205130888600003;0.9521747370032989;1;20374
21;bcel;DeepOrder;0.19476190476190477;0.5460234210234209;0.8537631184407881;1;21982
22;bcel;DeepOrder;0.14361702127659579;0.5200127979523275;0.9526848857457539;1;20849
23;bcel;DeepOrder;0.15982776089159065;0.5223342043050889;0.9379834854411053;1;21757
24;bcel;DeepOrder;0.14148936170212764;0.5221209050996283;0.9553857635310343;1;19603
25;bcel;DeepOrder;0.14462365591397852;0.5182321009766608;0.9527432544399929;1;19863
26;bcel;DeepOrder;0.1421052631578947;0.5179422705979607;0.9533293593744439;1;18889
27;bcel;DeepOrder;0.15800865800865804;0.5330885022771362;0.9143466115943222;1;19751
