step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.5925925925925926;0.7318221725596616;0.29853122060632376;1;29907
2;bcel;DeepOrder;0.5083333333333334;0.6642468239564429;0.4839650145772597;1;33118
3;bcel;DeepOrder;0.292127659574468;0.5606818464601219;0.9438782000760382;1;18280
4;bcel;DeepOrder;0.42569976822963096;0.6461652506129894;0.667459052873885;1;20813
5;bcel;DeepOrder;0.3406698564593301;0.5923448807589602;0.7953476744337223;1;20824
6;bcel;DeepOrder;0.5152777777777777;0.6697380307136408;0.47305773694868414;1;20427
7;bcel;DeepOrder;0.7193877551020408;0.8903720193501433;0.06156387514222737;1;18694
8;bcel;DeepOrder;0.30837209302325586;0.5531935604989545;0.9575718705027919;1;21295
9;bcel;DeepOrder;0.3429144385026738;0.5989415124983665;0.804991415015212;1;20110
10;bcel;DeepOrder;0.5403361344537815;0.6841716968477529;0.4229737497604905;1;24608
11;bcel;DeepOrder;0.29272863568215896;0.5766458361432061;0.8430937926029127;1;17714
12;bcel;DeepOrder;0.2705223880597015;0.5540044873670862;0.9388614716123187;1;18316
13;bcel;DeepOrder;0.48798798798798804;0.6662621022938244;0.5222201944117215;1;18172
14;bcel;DeepOrder;0.4702797202797202;0.6274536557532608;0.551726467229499;1;19696
15;bcel;DeepOrder;0.34161309175920507;0.622546645776955;0.8110404777929183;1;18248
16;bcel;DeepOrder;0.2881773399014778;0.5619295958279008;0.9090903371521613;1;19748
17;bcel;DeepOrder;0.35763888888888884;0.5755347593582888;0.8268229166666671;1;19745
18;bcel;DeepOrder;0.4083333333333334;0.643076923076923;0.6638888888888891;1;18694
19;bcel;DeepOrder;0.3609617209743752;0.6217578575753772;0.7970582841483626;1;18148
20;bcel;DeepOrder;0.4583333333333333;0.6232823437905106;0.5912536443148695;1;23266
21;bcel;DeepOrder;0.3813236313236313;0.6306983493560676;0.7507493533924887;1;187553
22;bcel;DeepOrder;0.4678571428571429;0.6334674714956404;0.5604098360655733;1;19820
23;bcel;DeepOrder;0.4651206636500754;0.6525191179952922;0.5712007158170472;1;20603
24;bcel;DeepOrder;0.31180445151033387;0.578929191479829;0.912451214280478;1;25952
25;bcel;DeepOrder;0.28289241622574957;0.5578032983738073;0.9468230686598387;1;21170
