priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
2.0,0.9985403007231003,0.003,1.0,0.0,0.0,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,7,0.8031914893617023,0.5093167701863355
2.0,0.9345443729766657,0.062,0.0,0.0,0.0,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,3,0.8031914893617023,0.5093167701863355
1.0,0.9999999983476269,0.019645817169205104,3.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,22,0.8031914893617023,0.5093167701863355
1.0,0.9999999983456413,0.023120475432382537,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,15,0.8031914893617023,0.5093167701863355
1.0,0.9999999983454153,0.018258194218875784,3.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,23,0.8031914893617023,0.5093167701863355
1.0,0.999999998344951,0.022991322354440232,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,16,0.8031914893617023,0.5093167701863355
1.0,0.9999999983438412,0.020902519449222737,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,19,0.8031914893617023,0.5093167701863355
1.0,0.9999999983433556,0.908,0.0,0.0,0.0,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,2,0.8031914893617023,0.5093167701863355
1.0,0.9999999983412462,0.02473967249951818,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,12,0.8031914893617023,0.5093167701863355
1.0,0.9999999983408445,0.003,1.0,0.0,0.0,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,6,0.8031914893617023,0.5093167701863355
1.0,0.9999999983406591,0.0,1.0,0.0,0.0,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,8,0.8031914893617023,0.5093167701863355
1.0,0.9999999983390104,0.0242680251176592,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,14,0.8031914893617023,0.5093167701863355
1.0,0.9999999983388788,0.022711478685633446,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,17,0.8031914893617023,0.5093167701863355
1.0,0.9999999983383323,0.019803780219578498,3.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,21,0.8031914893617023,0.5093167701863355
1.0,0.9999999983381718,0.02498968324539582,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,10,0.8031914893617023,0.5093167701863355
1.0,0.9999999983379726,0.020127855673623456,3.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,20,0.8031914893617023,0.5093167701863355
1.0,0.7069245958121427,0.004,1.0,0.0,0.0,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,5,0.8031914893617023,0.5093167701863355
1.0,0.5536988898443292,0.02485111412404729,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,11,0.8031914893617023,0.5093167701863355
0.0,0.9999521972567827,0.02435959213821572,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,13,0.8031914893617023,0.5093167701863355
0.0,0.9950126617238437,0.024,0.0,0.0,0.0,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,4,0.8031914893617023,0.5093167701863355
0.0,0.9939054926167051,27.123,0.0,0.0,0.0,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,1,0.8031914893617023,0.5093167701863355
0.0,0.6035580729041627,0.0,1.0,0.0,0.0,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,9,0.8031914893617023,0.5093167701863355
0.0,0.6014826676486658,0.021241179039746108,2.0,1.0,0.017857143,0fbefc96be314b86a2e07cfa9bceb88ca94fe0d1,18,0.8031914893617023,0.5093167701863355
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
2.0,0.39524745460703725,0.022048088795942528,2.0,1.0,0.017857143,1933f8abaf844b402a07bbcd90361d4ee1dca0e3,9,0.8051948051948054,0.55
