priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.8275355433473117,0.21,0.0,0.0,0.0,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,1,0.643076923076923,0.625
2.0,1.0,0.047,0.0,0.0,0.0,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,2,0.643076923076923,0.625
2.0,0.999999999972625,0.03501054398018948,2.0,1.0,0.8729600846338623,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,7,0.643076923076923,0.625
2.0,0.9984698872944926,0.03,0.0,0.0,0.0,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,3,0.643076923076923,0.625
2.0,0.9661933766643158,0.020007966687595368,2.0,1.0,0.9523388005470724,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,9,0.643076923076923,0.625
2.0,0.8254447599029839,0.002,1.0,0.0,0.0,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,5,0.643076923076923,0.625
2.0,0.6896946309815004,0.011,3.0,1.0,0.9453858380054376,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,10,0.643076923076923,0.625
0.0,0.9740567600202135,0.005,1.0,0.0,0.0,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,4,0.643076923076923,0.625
0.0,0.9652843243613574,0.006939378157313819,3.0,1.0,0.7099555826652727,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,12,0.643076923076923,0.625
0.0,0.8159329590826193,0.028655307383479788,2.0,1.0,0.8373657298187123,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,8,0.643076923076923,0.625
0.0,0.8055656703139714,0.01065321419402707,3.0,1.0,0.7851377511725888,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,11,0.643076923076923,0.625
0.0,0.5404547343515115,0.001,1.0,0.0,0.0,2aa5ab960c0e3845060cba2cc26ffce06b8912f7,6,0.643076923076923,0.625
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.8166271892421777,0.022718522886694632,2.0,1.0,0.9379972333417294,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,10,0.7369230769230768,0.6527777777777778
2.0,0.942764212947474,0.001,1.0,0.0,0.0,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,6,0.7369230769230768,0.6527777777777778
2.0,0.91216894669676,0.048,0.0,0.0,0.0,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,2,0.7369230769230768,0.6527777777777778
2.0,0.9119991007374377,0.034,0.0,0.0,0.0,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,3,0.7369230769230768,0.6527777777777778
2.0,0.562705166920589,0.011,3.0,1.0,0.9000225504153254,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,11,0.7369230769230768,0.6527777777777778
1.0,0.988476431319014,0.001,1.0,0.0,0.0,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,5,0.7369230769230768,0.6527777777777778
1.0,0.9840103501334454,0.009000000000000001,1.0,0.0,0.0,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,4,0.7369230769230768,0.6527777777777778
1.0,0.7392450558599584,0.023699187453468263,2.0,1.0,0.8268765871359159,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,9,0.7369230769230768,0.6527777777777778
0.0,0.9999999999999825,0.191,0.0,0.0,0.0,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,1,0.7369230769230768,0.6527777777777778
0.0,0.9980037358615241,0.024086799752511268,2.0,1.0,0.8276969306239033,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,8,0.7369230769230768,0.6527777777777778
0.0,0.9312942717872988,0.03509907214213481,2.0,1.0,0.8510033271574331,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,7,0.7369230769230768,0.6527777777777778
0.0,0.9270469558224272,0.011,3.0,1.0,0.9990875032382621,6c52769fedf8e5ec38d2e92d4d45e1a488c6f130,12,0.7369230769230768,0.6527777777777778
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.9224092088926271,0.239,0.0,0.0,0.0,3363205b673093d52d51719d5f9371376dad991b,1,0.7130647130647131,0.5824175824175823
3.0,0.6034031263578938,0.005,1.0,0.0,0.0,3363205b673093d52d51719d5f9371376dad991b,5,0.7130647130647131,0.5824175824175823
2.0,0.9650329551345211,0.011,3.0,1.0,0.873687955981496,3363205b673093d52d51719d5f9371376dad991b,12,0.7130647130647131,0.5824175824175823
2.0,0.9619926183396881,0.026940019837828736,2.0,1.0,0.8337354916359337,3363205b673093d52d51719d5f9371376dad991b,9,0.7130647130647131,0.5824175824175823
2.0,0.957831354777631,0.013,1.0,0.0,0.0,3363205b673093d52d51719d5f9371376dad991b,4,0.7130647130647131,0.5824175824175823
2.0,0.5143004833067808,0.027613046676884655,2.0,1.0,0.8351598870589462,3363205b673093d52d51719d5f9371376dad991b,8,0.7130647130647131,0.5824175824175823
1.0,0.9902300893547262,0.03,0.0,0.0,0.0,3363205b673093d52d51719d5f9371376dad991b,3,0.7130647130647131,0.5824175824175823
1.0,0.9659675614202816,0.018285159443461787,3.0,1.0,0.9614541828002808,3363205b673093d52d51719d5f9371376dad991b,10,0.7130647130647131,0.5824175824175823
1.0,0.9365874637046798,0.03605372292803582,2.0,1.0,0.8530237520960879,3363205b673093d52d51719d5f9371376dad991b,7,0.7130647130647131,0.5824175824175823
0.0,0.9999919828965772,0.054000000000000006,0.0,0.0,0.0,3363205b673093d52d51719d5f9371376dad991b,2,0.7130647130647131,0.5824175824175823
0.0,0.9905828395512908,0.011,3.0,1.0,0.8202841656898433,3363205b673093d52d51719d5f9371376dad991b,11,0.7130647130647131,0.5824175824175823
0.0,0.9515494446942787,0.010789384322750895,3.0,1.0,0.9849560230536352,3363205b673093d52d51719d5f9371376dad991b,13,0.7130647130647131,0.5824175824175823
0.0,0.6390197705816322,0.0,1.0,0.0,0.0,3363205b673093d52d51719d5f9371376dad991b,6,0.7130647130647131,0.5824175824175823
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.7291144941662009,0.021758045258904752,2.0,1.0,0.8227683496973749,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,7,0.8831168831168833,0.4
3.0,0.7222472013441439,0.011,3.0,1.0,0.9780516106035604,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,9,0.8831168831168833,0.4
2.0,0.9247267664393656,0.035,0.0,0.0,0.0,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,3,0.8831168831168833,0.4
1.0,0.9648414620643058,0.008144127173456217,3.0,1.0,0.5435307476029261,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,10,0.8831168831168833,0.4
1.0,0.8258044346574434,0.001,1.0,0.0,0.0,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,5,0.8831168831168833,0.4
1.0,0.7343100482338656,0.001,1.0,0.0,0.0,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,4,0.8831168831168833,0.4
0.0,0.9915129313418212,0.001,1.0,0.0,0.0,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,6,0.8831168831168833,0.4
0.0,0.9856539736831641,0.199,0.0,0.0,0.0,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,1,0.8831168831168833,0.4
0.0,0.9433033318239746,0.019675911169840757,2.0,1.0,0.9540957080501764,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,8,0.8831168831168833,0.4
0.0,0.7378759384306296,0.054000000000000006,0.0,0.0,0.0,89f1ccb28613c54bd9fed865c68ac5dd771c8f9d,2,0.8831168831168833,0.4
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.9708398245411843,0.045,0.0,0.0,0.0,915645f37cfc0d2f5b8bdc7490661bace7e150a0,3,0.7126050420168067,0.5751633986928105
3.0,0.8983736402399549,0.124,0.0,0.0,0.0,915645f37cfc0d2f5b8bdc7490661bace7e150a0,2,0.7126050420168067,0.5751633986928105
