priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.9992454178608847,0.014,1.0,0.0,0.0,c68b61da474eb30896e8dc95e2c78558dcccb78d,4,0.7692307692307692,0.5833333333333333
3.0,0.9959333095789529,0.01,1.0,0.0,0.0,c68b61da474eb30896e8dc95e2c78558dcccb78d,5,0.7692307692307692,0.5833333333333333
2.0,0.998964467604276,0.053,1.0,0.0,0.0,c68b61da474eb30896e8dc95e2c78558dcccb78d,2,0.7692307692307692,0.5833333333333333
2.0,0.9908740255731215,0.635694116657963,2.0,1.0,0.25,c68b61da474eb30896e8dc95e2c78558dcccb78d,11,0.7692307692307692,0.5833333333333333
2.0,0.949252461391536,4.1881833124945285,2.0,1.0,0.21211283474452303,c68b61da474eb30896e8dc95e2c78558dcccb78d,10,0.7692307692307692,0.5833333333333333
1.0,0.9833310737806052,0.001,1.0,0.0,0.0,c68b61da474eb30896e8dc95e2c78558dcccb78d,7,0.7692307692307692,0.5833333333333333
1.0,0.9721353544958293,5.185072288143336,2.0,1.0,0.1444643784255989,c68b61da474eb30896e8dc95e2c78558dcccb78d,9,0.7692307692307692,0.5833333333333333
1.0,0.8437623399246466,0.3354678438613965,3.0,1.0,0.25,c68b61da474eb30896e8dc95e2c78558dcccb78d,12,0.7692307692307692,0.5833333333333333
1.0,0.8282198477863887,0.28600000000000003,1.0,0.0,0.0,c68b61da474eb30896e8dc95e2c78558dcccb78d,1,0.7692307692307692,0.5833333333333333
1.0,0.7320497619764984,0.025,1.0,0.0,0.0,c68b61da474eb30896e8dc95e2c78558dcccb78d,3,0.7692307692307692,0.5833333333333333
0.0,0.9866676423025353,8.359067344240158,2.0,1.0,0.06581590325137776,c68b61da474eb30896e8dc95e2c78558dcccb78d,8,0.7692307692307692,0.5833333333333333
0.0,0.8326193270404137,0.002,1.0,0.0,0.0,c68b61da474eb30896e8dc95e2c78558dcccb78d,6,0.7692307692307692,0.5833333333333333
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
2.0,0.8959000097076848,0.7065651117767768,2.0,1.0,0.25,a88c7d41a15dfabcd708cf63008799666c5c0cae,15,0.8295454545454546,0.453125
2.0,0.6866104041356478,0.8522935164998299,2.0,1.0,0.2646243022232826,a88c7d41a15dfabcd708cf63008799666c5c0cae,13,0.8295454545454546,0.453125
2.0,0.6520028515578256,0.469,0.0,0.0,0.0,a88c7d41a15dfabcd708cf63008799666c5c0cae,1,0.8295454545454546,0.453125
1.0,0.5213917220180875,0.069,1.0,0.0,0.0,a88c7d41a15dfabcd708cf63008799666c5c0cae,2,0.8295454545454546,0.453125
1.0,0.5118809478492427,0.8543024874087582,2.0,1.0,0.2642256968858039,a88c7d41a15dfabcd708cf63008799666c5c0cae,12,0.8295454545454546,0.453125
1.0,0.51125167991855,0.0,1.0,0.0,0.0,a88c7d41a15dfabcd708cf63008799666c5c0cae,8,0.8295454545454546,0.453125
1.0,0.488835055647818,0.0,1.0,0.0,0.0,a88c7d41a15dfabcd708cf63008799666c5c0cae,7,0.8295454545454546,0.453125
1.0,0.40982443666821444,8.844783638811952,2.0,1.0,0.05268875060106131,a88c7d41a15dfabcd708cf63008799666c5c0cae,9,0.8295454545454546,0.453125
1.0,0.40914803142793943,0.7686897377805758,2.0,1.0,0.2812123534901157,a88c7d41a15dfabcd708cf63008799666c5c0cae,14,0.8295454545454546,0.453125
1.0,0.39872557047045204,4.262672413962647,2.0,1.0,0.15813835473700116,a88c7d41a15dfabcd708cf63008799666c5c0cae,10,0.8295454545454546,0.453125
1.0,0.37769042980521444,0.6924295047290353,2.0,1.0,0.25,a88c7d41a15dfabcd708cf63008799666c5c0cae,16,0.8295454545454546,0.453125
1.0,0.37769042980521444,1.5144728087019947,2.0,1.0,0.300133580034649,a88c7d41a15dfabcd708cf63008799666c5c0cae,11,0.8295454545454546,0.453125
1.0,0.37769042980521444,0.001,1.0,0.0,0.0,a88c7d41a15dfabcd708cf63008799666c5c0cae,6,0.8295454545454546,0.453125
1.0,0.37769042980521444,0.005,1.0,0.0,0.0,a88c7d41a15dfabcd708cf63008799666c5c0cae,5,0.8295454545454546,0.453125
1.0,0.37769042980521444,0.006,1.0,0.0,0.0,a88c7d41a15dfabcd708cf63008799666c5c0cae,4,0.8295454545454546,0.453125
1.0,0.37769042980521444,0.053,1.0,0.0,0.0,a88c7d41a15dfabcd708cf63008799666c5c0cae,3,0.8295454545454546,0.453125
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
2.0,0.8678513394716575,0.023,1.0,0.0,0.0,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,3,0.6955665024630542,0.6547619047619048
2.0,0.7814496405153316,0.042,1.0,0.0,0.0,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,1,0.6955665024630542,0.6547619047619048
2.0,0.7668325569263754,0.7445196414377232,2.0,1.0,0.25,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,13,0.6955665024630542,0.6547619047619048
2.0,0.7421065902746142,0.031,1.0,0.0,0.0,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,2,0.6955665024630542,0.6547619047619048
2.0,0.6176463751321568,0.0,1.0,0.0,0.0,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,8,0.6955665024630542,0.6547619047619048
2.0,0.5864890056993619,0.001,1.0,0.0,0.0,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,7,0.6955665024630542,0.6547619047619048
1.0,0.988877722293672,0.7894706226973472,2.0,1.0,0.25,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,12,0.6955665024630542,0.6547619047619048
1.0,0.8205765506661034,0.003,1.0,0.0,0.0,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,4,0.6955665024630542,0.6547619047619048
1.0,0.7594166930296612,7.418301679482273,2.0,1.0,0.08912715097602236,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,10,0.6955665024630542,0.6547619047619048
1.0,0.7082479701076652,0.6886858017168378,2.0,1.0,0.25,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,14,0.6955665024630542,0.6547619047619048
1.0,0.7054237226042673,0.001,1.0,0.0,0.0,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,6,0.6955665024630542,0.6547619047619048
1.0,0.6640234141898744,2.97743361689578,2.0,1.0,0.1991674930053613,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,11,0.6955665024630542,0.6547619047619048
1.0,0.6002059144150702,0.003,1.0,0.0,0.0,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,5,0.6955665024630542,0.6547619047619048
0.0,0.6210165353715388,8.389961711528256,2.0,1.0,0.06505037122132187,80d9e0c2f433cc727ebe021bd7f0cc7bbae5136e,9,0.6955665024630542,0.6547619047619048
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.3916884502759748,0.39842075331101023,2.0,1.0,0.2470676250889586,7f2f34aa86840d3ac81bacd424af93d722a89be0,19,0.7934158864391424,0.49816849816849823
2.0,0.8326539120734663,7.8079909890227475,2.0,1.0,0.07947103322997179,7f2f34aa86840d3ac81bacd424af93d722a89be0,12,0.7934158864391424,0.49816849816849823
2.0,0.7981229284406183,0.0,1.0,0.0,0.0,7f2f34aa86840d3ac81bacd424af93d722a89be0,8,0.7934158864391424,0.49816849816849823
2.0,0.7760257544250805,8.965224490099605,2.0,1.0,0.05079592546463568,7f2f34aa86840d3ac81bacd424af93d722a89be0,10,0.7934158864391424,0.49816849816849823
2.0,0.760287811059101,0.004,1.0,0.0,0.0,7f2f34aa86840d3ac81bacd424af93d722a89be0,6,0.7934158864391424,0.49816849816849823
2.0,0.7353162012260663,0.7014721649180594,2.0,1.0,0.32689822881981423,7f2f34aa86840d3ac81bacd424af93d722a89be0,16,0.7934158864391424,0.49816849816849823
2.0,0.6399940193981514,2.8677038384224574,2.0,1.0,0.1902412166830523,7f2f34aa86840d3ac81bacd424af93d722a89be0,14,0.7934158864391424,0.49816849816849823
2.0,0.47434169490331696,0.5055815143265896,2.0,1.0,0.25,7f2f34aa86840d3ac81bacd424af93d722a89be0,17,0.7934158864391424,0.49816849816849823
1.0,0.9813119290896685,0.064,1.0,0.0,0.0,7f2f34aa86840d3ac81bacd424af93d722a89be0,2,0.7934158864391424,0.49816849816849823
1.0,0.8988768881985616,0.027000000000000003,1.0,0.0,0.0,7f2f34aa86840d3ac81bacd424af93d722a89be0,3,0.7934158864391424,0.49816849816849823
1.0,0.8280955498576555,0.28570273792157114,3.0,1.0,0.25521373683076604,7f2f34aa86840d3ac81bacd424af93d722a89be0,20,0.7934158864391424,0.49816849816849823
1.0,0.8226395343849993,0.405065471432521,2.0,1.0,0.25,7f2f34aa86840d3ac81bacd424af93d722a89be0,18,0.7934158864391424,0.49816849816849823
1.0,0.7932203959065085,0.015,1.0,0.0,0.0,7f2f34aa86840d3ac81bacd424af93d722a89be0,4,0.7934158864391424,0.49816849816849823
1.0,0.7862405125872409,9.355838148855637,2.0,1.0,0.04198939413514141,7f2f34aa86840d3ac81bacd424af93d722a89be0,9,0.7934158864391424,0.49816849816849823
1.0,0.7130851554058955,0.7559893903332874,2.0,1.0,0.2837322636878314,7f2f34aa86840d3ac81bacd424af93d722a89be0,15,0.7934158864391424,0.49816849816849823
1.0,0.49559199572644475,0.065,1.0,0.0,0.0,7f2f34aa86840d3ac81bacd424af93d722a89be0,1,0.7934158864391424,0.49816849816849823
1.0,0.4630817554010018,8.089862803675738,2.0,1.0,0.07006198737178265,7f2f34aa86840d3ac81bacd424af93d722a89be0,11,0.7934158864391424,0.49816849816849823
1.0,0.39115991541891004,0.001,1.0,0.0,0.0,7f2f34aa86840d3ac81bacd424af93d722a89be0,7,0.7934158864391424,0.49816849816849823
1.0,0.39050795609231675,4.93020086156248,2.0,1.0,0.1507798416546794,7f2f34aa86840d3ac81bacd424af93d722a89be0,13,0.7934158864391424,0.49816849816849823
1.0,0.3672606666339207,0.2808854815516589,3.0,1.0,0.2535054898979138,7f2f34aa86840d3ac81bacd424af93d722a89be0,21,0.7934158864391424,0.49816849816849823
0.0,0.5163915869834673,0.013,1.0,0.0,0.0,7f2f34aa86840d3ac81bacd424af93d722a89be0,5,0.7934158864391424,0.49816849816849823
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
2.0,0.5782732691147431,0.006,1.0,0.0,0.0,004f4bbb9703f704183a738c9d6258d11f18733e,5,0.6571428571428571,0.75
2.0,0.4924951649606974,0.179,1.0,0.0,0.0,004f4bbb9703f704183a738c9d6258d11f18733e,1,0.6571428571428571,0.75
1.0,0.9935674209967472,0.006999999999999999,1.0,0.0,0.0,004f4bbb9703f704183a738c9d6258d11f18733e,4,0.6571428571428571,0.75
1.0,0.9740896944997516,0.001,1.0,0.0,0.0,004f4bbb9703f704183a738c9d6258d11f18733e,7,0.6571428571428571,0.75
1.0,0.9187638787310711,0.048,1.0,0.0,0.0,004f4bbb9703f704183a738c9d6258d11f18733e,2,0.6571428571428571,0.75
1.0,0.8745883021552839,0.03,1.0,0.0,0.0,004f4bbb9703f704183a738c9d6258d11f18733e,3,0.6571428571428571,0.75
1.0,0.844410040083942,3.1604751442385237,2.0,1.0,0.2459458315414204,004f4bbb9703f704183a738c9d6258d11f18733e,9,0.6571428571428571,0.75
1.0,0.8321336200002172,1.0241127336982174,2.0,1.0,0.316276636360729,004f4bbb9703f704183a738c9d6258d11f18733e,10,0.6571428571428571,0.75
1.0,0.8165015505674457,0.005,1.0,0.0,0.0,004f4bbb9703f704183a738c9d6258d11f18733e,6,0.6571428571428571,0.75
1.0,0.7180351784360941,0.0,1.0,0.0,0.0,004f4bbb9703f704183a738c9d6258d11f18733e,8,0.6571428571428571,0.75
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.3880495712797289,0.022,1.0,0.0,0.0,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,3,0.6971659919028339,0.5885167464114832
3.0,0.37042709512427613,0.7705246748625771,2.0,1.0,0.2808482786737146,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,13,0.6971659919028339,0.5885167464114832
2.0,0.8383802876521215,0.4774818296953903,2.0,1.0,0.25,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,17,0.6971659919028339,0.5885167464114832
2.0,0.773347639477691,0.003,1.0,0.0,0.0,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,5,0.6971659919028339,0.5885167464114832
2.0,0.760437616092774,0.013,1.0,0.0,0.0,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,4,0.6971659919028339,0.5885167464114832
2.0,0.7514409378960333,0.0,1.0,0.0,0.0,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,7,0.6971659919028339,0.5885167464114832
2.0,0.7370597450828175,0.032,1.0,0.0,0.0,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,2,0.6971659919028339,0.5885167464114832
2.0,0.7346113347930773,7.486628458967997,2.0,1.0,0.10352531201931696,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,10,0.6971659919028339,0.5885167464114832
2.0,0.728072169675762,0.6922196060392588,2.0,1.0,0.2963849986161944,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,14,0.6971659919028339,0.5885167464114832
2.0,0.708353099065649,0.4086768489693184,2.0,1.0,0.2988215774534082,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,19,0.6971659919028339,0.5885167464114832
2.0,0.70474089992295,0.06,1.0,0.0,0.0,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,1,0.6971659919028339,0.5885167464114832
1.0,0.9996988218187116,8.66126523532852,2.0,1.0,0.05832773678769315,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,9,0.6971659919028339,0.5885167464114832
1.0,0.9678847757787383,0.8430087494695562,2.0,1.0,0.2664665178965236,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,12,0.6971659919028339,0.5885167464114832
1.0,0.9460996487628549,0.003,1.0,0.0,0.0,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,6,0.6971659919028339,0.5885167464114832
1.0,0.8702047426516628,1.6170420706930857,2.0,1.0,0.21902309949720292,00def960f977d212f9a0d2e2ca1fe75c3eb1121f,11,0.6971659919028339,0.5885167464114832
