priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.9965049447853332,25.77857555722566,2.0,1.0,0.1944131479968441,db2d5aa85352fe63531540ef396b944e2fe58e2c,24,0.74794476813792,0.563973063973064
3.0,0.9940753182111265,32.934223771689936,2.0,1.0,0.15065391166969344,db2d5aa85352fe63531540ef396b944e2fe58e2c,20,0.74794476813792,0.563973063973064
3.0,0.9372528163392583,0.001,1.0,0.0,0.0,db2d5aa85352fe63531540ef396b944e2fe58e2c,11,0.74794476813792,0.563973063973064
3.0,0.936233345334328,0.003,1.0,0.0,0.0,db2d5aa85352fe63531540ef396b944e2fe58e2c,9,0.74794476813792,0.563973063973064
3.0,0.9312356194307325,0.15,0.0,0.0,0.0,db2d5aa85352fe63531540ef396b944e2fe58e2c,1,0.74794476813792,0.563973063973064
3.0,0.9144832486406658,0.001,1.0,0.0,0.0,db2d5aa85352fe63531540ef396b944e2fe58e2c,12,0.74794476813792,0.563973063973064
3.0,0.8738658038824655,0.0307243888285924,2.0,1.0,0.057888978778951085,db2d5aa85352fe63531540ef396b944e2fe58e2c,32,0.74794476813792,0.563973063973064
3.0,0.8475823125222043,0.004,1.0,0.0,0.0,db2d5aa85352fe63531540ef396b944e2fe58e2c,8,0.74794476813792,0.563973063973064
3.0,0.7312693293670168,31.498058885404983,2.0,1.0,0.190152395890952,db2d5aa85352fe63531540ef396b944e2fe58e2c,21,0.74794476813792,0.563973063973064
3.0,0.7273362373831849,0.001,1.0,0.0,0.0,db2d5aa85352fe63531540ef396b944e2fe58e2c,10,0.74794476813792,0.563973063973064
3.0,0.6626080690937303,0.06546954159836453,2.0,1.0,0.04294735771196826,db2d5aa85352fe63531540ef396b944e2fe58e2c,30,0.74794476813792,0.563973063973064
3.0,0.6593504141832653,0.0,1.0,0.0,0.0,db2d5aa85352fe63531540ef396b944e2fe58e2c,14,0.74794476813792,0.563973063973064
