priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.838078359720334,1.409,0.0,0.0,0.0,520a90cd2d3da4461981c64168335956dee1ab70,6,0.8978065802592221,0.3813559322033897
2.0,0.8698804681338328,0.002,1.0,0.0,0.0,520a90cd2d3da4461981c64168335956dee1ab70,22,0.8978065802592221,0.3813559322033897
2.0,0.7140696335319023,0.009257372588187913,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,47,0.8978065802592221,0.3813559322033897
2.0,0.7140312874882904,0.16041709176118413,3.0,1.0,0.2544003950316725,520a90cd2d3da4461981c64168335956dee1ab70,42,0.8978065802592221,0.3813559322033897
2.0,0.6951352040964229,40.343839905439694,2.0,1.0,0.09354819251322133,520a90cd2d3da4461981c64168335956dee1ab70,27,0.8978065802592221,0.3813559322033897
2.0,0.6823160457085865,23.02668420540493,2.0,1.0,0.1392496244318512,520a90cd2d3da4461981c64168335956dee1ab70,35,0.8978065802592221,0.3813559322033897
2.0,0.6319980935387771,0.009900536499397856,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,46,0.8978065802592221,0.3813559322033897
2.0,0.5693963501926397,0.0014372573088133039,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,59,0.8978065802592221,0.3813559322033897
2.0,0.49521489968049887,6.286163502897699,2.0,1.0,0.1834154705816043,520a90cd2d3da4461981c64168335956dee1ab70,39,0.8978065802592221,0.3813559322033897
2.0,0.4878582121703361,0.003,1.0,0.0,0.0,520a90cd2d3da4461981c64168335956dee1ab70,21,0.8978065802592221,0.3813559322033897
2.0,0.46589857003331925,29.835411862620784,2.0,1.0,0.12127656170152905,520a90cd2d3da4461981c64168335956dee1ab70,32,0.8978065802592221,0.3813559322033897
2.0,0.44983148782796517,0.188,1.0,0.0,0.0,520a90cd2d3da4461981c64168335956dee1ab70,11,0.8978065802592221,0.3813559322033897
2.0,0.3820972000673309,0.041,1.0,0.0,0.0,520a90cd2d3da4461981c64168335956dee1ab70,16,0.8978065802592221,0.3813559322033897
1.0,0.9981176100611684,36.800941143393075,2.0,1.0,0.10289850533359336,520a90cd2d3da4461981c64168335956dee1ab70,29,0.8978065802592221,0.3813559322033897
0.0,0.38766004538518073,0.009237201348193695,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,48,0.8978065802592221,0.3813559322033897
0.0,0.3825941000619668,0.005930985679512155,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,55,0.8978065802592221,0.3813559322033897
